score_bin,candidate_count,accepted_count,mean_forward_5_bar_return,mean_forward_10_bar_return,mean_forward_20_bar_return,mean_forward_30_bar_return,mean_forward_20_bar_MFE,mean_forward_20_bar_MAE
LT_50,3013,0,0.003953233102406063,0.010376826695710304,0.02564630896252456,0.047621940926672476,0.16781570069040205,-0.13300845162737246
50_60,441,0,0.010907415403170839,0.016837211231899518,0.049850062396131954,0.0928011999288628,0.16973249469215407,-0.12891571475164906
60_70,212,0,0.029487195683873344,0.0591435747439162,0.1212730571509341,0.16503505671121257,0.21398520194387663,-0.08914889946334384
70_80,58,16,0.03531391681948139,0.06596280331931395,0.1466607912653168,0.1870224374738125,0.24654187321375942,-0.0886515135169243
80_90,14,6,0.07366621636461576,0.1427406812748331,0.25787690873831987,0.28387695054193796,0.3375618042601718,-0.03453974046895248
90_100,2,1,0.07230002899483301,0.07741818610221568,0.061584794044878766,0.14076774079051246,0.1846460650455809,-0.08816955194642379
