period_type,period,start_equity,end_equity,return
quarter,2020Q1,102094.3601055668,98838.67324358571,-0.03188899816419499
quarter,2020Q2,98838.67324358571,100698.45772556943,0.018816364292955745
quarter,2020Q3,100578.44138710808,109401.10389130184,0.08771922076458649
quarter,2020Q4,109427.09564754923,146867.58687603445,0.3421500955218284
quarter,2021Q1,145508.91385644555,366633.9815982689,1.519666815463816
quarter,2021Q2,368746.8618821255,410903.18641180784,0.1143232089203734
quarter,2021Q3,419755.0152282877,555715.2217000502,0.32390370940015867
quarter,2021Q4,572714.8807492347,565416.2617091339,-0.012743896283177847
quarter,2022Q1,563307.0960152051,475466.9578440576,-0.1559365021185114
quarter,2022Q2,475466.9578440576,475466.9578440576,0.0
quarter,2022Q3,475466.9578440576,475466.9578440576,0.0
quarter,2022Q4,475466.9578440576,475466.9578440576,0.0
quarter,2023Q1,475466.9578440576,485195.1037461404,0.020460193377461522
quarter,2023Q2,486827.4533787492,486580.7325517073,-0.0005067931673318204
quarter,2023Q3,486650.90161427745,470898.29560835694,-0.03236941707837648
quarter,2023Q4,470898.29560835694,502947.1560403638,0.0680589858381262
quarter,2024Q1,502301.62887298054,562857.3540605146,0.1205564977430067
quarter,2024Q2,567102.6123797975,505539.8067297883,-0.10855673083865047
quarter,2024Q3,509054.92672153556,490116.1876937251,-0.03720372406526251
quarter,2024Q4,486581.1655565597,543848.9630975309,0.11769423396293477
