configuration_id,asset,closed_trades,net_pnl,win_rate,expectancy,profit_factor
RD14_S0_PRIMARY,ADA/USDT,6,287997.7082459722,0.5,47999.61804099536,19.693504604345655
RD14_S0_PRIMARY,BTC/USDT,10,35148.03607638731,0.3,3514.803607638731,2.477084716321707
RD14_S0_PRIMARY,ETH/USDT,7,120703.21877517154,0.14285714285714285,17243.31696788165,7.48093600090285
RD14_S1_ENTRY_THRESHOLD_65,ADA/USDT,8,365423.46047226514,0.5,45677.93255903314,22.949590317775442
RD14_S1_ENTRY_THRESHOLD_65,BTC/USDT,10,31419.808139768673,0.3,3141.9808139768675,2.1244511322886312
RD14_S1_ENTRY_THRESHOLD_65,ETH/USDT,10,66395.2331854908,0.2,6639.52331854908,3.34580781434215
RD14_S2_ENTRY_THRESHOLD_75,ADA/USDT,3,175794.91726047275,0.3333333333333333,58598.30575349092,35.53278717529661
RD14_S2_ENTRY_THRESHOLD_75,BTC/USDT,8,15948.701363388478,0.375,1993.5876704235598,2.066232328950974
RD14_S2_ENTRY_THRESHOLD_75,ETH/USDT,6,118848.36680998997,0.16666666666666666,19808.061134998326,7.436718242051437
RD14_S3_HEALTH_EXIT_30,ADA/USDT,6,197367.606814899,0.5,32894.6011358165,15.955839270965956
RD14_S3_HEALTH_EXIT_30,BTC/USDT,7,86937.246557593,0.2857142857142857,12419.606651084714,7.851585202346333
RD14_S3_HEALTH_EXIT_30,ETH/USDT,7,137867.63782602738,0.14285714285714285,19695.376832289625,9.595576501238925
RD14_S4_HEALTH_EXIT_40,ADA/USDT,7,45350.91388746793,0.5714285714285714,6478.701983923989,5.33830459878391
RD14_S4_HEALTH_EXIT_40,BTC/USDT,13,83358.74754241561,0.38461538461538464,6412.211349416586,5.444553878641573
RD14_S4_HEALTH_EXIT_40,ETH/USDT,11,138329.97484000874,0.36363636363636365,12575.452258182613,8.592013015073771
RD14_S5_BREAKOUT_WEIGHT_SHIFT,ADA/USDT,8,297414.15057215135,0.5,37176.76882151892,21.18648200599889
RD14_S5_BREAKOUT_WEIGHT_SHIFT,BTC/USDT,10,46980.683857013675,0.3,4698.068385701367,3.5789901410697986
RD14_S5_BREAKOUT_WEIGHT_SHIFT,ETH/USDT,10,65260.914984391944,0.2,6526.091498439195,3.6044971730661786
RD14_S6_RELATIVE_STRENGTH_WEIGHT_SHIFT,ADA/USDT,5,277471.9632207713,0.4,55494.39264415426,19.473068394798233
RD14_S6_RELATIVE_STRENGTH_WEIGHT_SHIFT,BTC/USDT,9,34590.03751561453,0.3333333333333333,3843.337501734948,2.560360946838721
RD14_S6_RELATIVE_STRENGTH_WEIGHT_SHIFT,ETH/USDT,9,111326.84253605647,0.1111111111111111,12369.649170672941,5.013263484240659
