policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,max_hold_exits,time_failure_exits,profit_trail_gap_exits,profit_trail_touch_exits,risk_off_suppressed_entries,entry_bar_adaptive_exits,adaptive_stagnation_exits,adaptive_protection_gap_exits,adaptive_protection_touch_exits,entry_state_RISK_ON,entry_state_TRANSITION,entry_state_RISK_OFF
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,2249,0,0,1640,154,0,0,17,0,455,210,245,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,2.0,2249,0,0,1640,154,0,0,8,0,455,210,245,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,780,115,0,0,5,0,384,172,212,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,780,115,0,0,4,0,384,172,212,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,705,4,0,0,13,0,338,156,182,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,705,4,0,0,8,0,338,156,182,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,D2,1.0,2306,0,0,1686,161,0,0,16,0,459,208,251,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,D2,2.0,2306,0,0,1686,161,0,0,9,0,459,208,251,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,787,128,0,0,8,0,388,172,216,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,787,128,0,0,6,0,388,172,216,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,739,3,0,0,15,0,337,156,181,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,739,3,0,0,11,0,337,156,181,0.0,0.0,,,,,,,,
