policy_id,portfolio_id,universe_id,cost_multiplier,exit_reason,trade_count,net_pnl,mean_holding_hours
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,1.0,ADAPTIVE_PROTECTION_GAP,56,19464.728825171886,20.517857142857142
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,1.0,ADAPTIVE_PROTECTION_TOUCH,486,-21674.1557469968,21.580246913580247
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,1.0,ADAPTIVE_STAGNATION_24H_CLOSE_NOT_ABOVE_ENTRY,29,-9186.167281905533,31.75862068965517
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,1.0,ADAPTIVE_STAGNATION_48H_CLOSE_NOT_ABOVE_ENTRY,70,-15493.753025180311,54.885714285714286
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,1.0,ADAPTIVE_STAGNATION_72H_CLOSE_NOT_ABOVE_ENTRY,5,-1066.9421755002097,78.4
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,1.0,MAX_HOLD_168H,1,1644.5001990788235,168.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,2.0,ADAPTIVE_PROTECTION_GAP,56,14648.885416266263,20.517857142857142
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,2.0,ADAPTIVE_PROTECTION_TOUCH,486,-34748.08587026977,21.580246913580247
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,2.0,ADAPTIVE_STAGNATION_24H_CLOSE_NOT_ABOVE_ENTRY,29,-9432.156696513357,31.75862068965517
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,2.0,ADAPTIVE_STAGNATION_48H_CLOSE_NOT_ABOVE_ENTRY,70,-15943.31365898318,54.885714285714286
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,2.0,ADAPTIVE_STAGNATION_72H_CLOSE_NOT_ABOVE_ENTRY,5,-1038.9540585077048,78.4
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,2.0,MAX_HOLD_168H,1,1557.3075144780453,168.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,1.0,ADAPTIVE_PROTECTION_GAP,56,21149.066006258126,19.482142857142858
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,1.0,ADAPTIVE_PROTECTION_TOUCH,498,-25391.420752402242,21.632530120481928
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,1.0,ADAPTIVE_STAGNATION_24H_CLOSE_NOT_ABOVE_ENTRY,31,-9631.16648414463,31.70967741935484
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,1.0,ADAPTIVE_STAGNATION_48H_CLOSE_NOT_ABOVE_ENTRY,71,-16012.865896741088,54.88732394366197
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,1.0,ADAPTIVE_STAGNATION_72H_CLOSE_NOT_ABOVE_ENTRY,5,-1056.793241070965,78.4
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,1.0,MAX_HOLD_168H,1,1644.5001990788235,168.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,2.0,ADAPTIVE_PROTECTION_GAP,56,15999.543119467462,19.482142857142858
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,2.0,ADAPTIVE_PROTECTION_TOUCH,498,-37832.95906757506,21.632530120481928
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,2.0,ADAPTIVE_STAGNATION_24H_CLOSE_NOT_ABOVE_ENTRY,31,-9852.860258854209,31.70967741935484
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,2.0,ADAPTIVE_STAGNATION_48H_CLOSE_NOT_ABOVE_ENTRY,71,-16353.083321548866,54.88732394366197
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,2.0,ADAPTIVE_STAGNATION_72H_CLOSE_NOT_ABOVE_ENTRY,5,-1028.7166761745011,78.4
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,2.0,MAX_HOLD_168H,1,1557.3075144780453,168.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,1.0,ADAPTIVE_PROTECTION_GAP,55,21131.80387020961,19.818181818181817
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,1.0,ADAPTIVE_PROTECTION_TOUCH,491,-22958.238222194865,21.641547861507128
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,1.0,ADAPTIVE_STAGNATION_24H_CLOSE_NOT_ABOVE_ENTRY,31,-9901.29300190238,31.516129032258064
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,1.0,ADAPTIVE_STAGNATION_48H_CLOSE_NOT_ABOVE_ENTRY,71,-15973.455994797429,54.859154929577464
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,1.0,ADAPTIVE_STAGNATION_72H_CLOSE_NOT_ABOVE_ENTRY,5,-1057.1813382945973,78.4
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,1.0,MAX_HOLD_168H,1,1644.5001990788235,168.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,2.0,ADAPTIVE_PROTECTION_GAP,55,16022.482873846935,19.818181818181817
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,2.0,ADAPTIVE_PROTECTION_TOUCH,491,-35820.21771139083,21.641547861507128
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,2.0,ADAPTIVE_STAGNATION_24H_CLOSE_NOT_ABOVE_ENTRY,31,-10063.0167491839,31.516129032258064
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,2.0,ADAPTIVE_STAGNATION_48H_CLOSE_NOT_ABOVE_ENTRY,71,-16331.448191034093,54.859154929577464
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,2.0,ADAPTIVE_STAGNATION_72H_CLOSE_NOT_ABOVE_ENTRY,5,-1029.4538924332392,78.4
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,2.0,MAX_HOLD_168H,1,1557.3075144780453,168.0
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,1.0,ADAPTIVE_PROTECTION_GAP,35,29142.456115122204,34.57142857142857
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,1.0,ADAPTIVE_PROTECTION_TOUCH,346,13230.00639800728,24.5
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,1.0,ADAPTIVE_STAGNATION_24H_CLOSE_NOT_ABOVE_ENTRY,87,-23739.545077725583,33.275862068965516
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,1.0,ADAPTIVE_STAGNATION_48H_CLOSE_NOT_ABOVE_ENTRY,64,-19492.310406074772,54.9375
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,1.0,ADAPTIVE_STAGNATION_72H_CLOSE_NOT_ABOVE_ENTRY,6,-1188.5415641214781,73.83333333333333
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,1.0,MAX_HOLD_168H,1,709.5980131889795,168.0
