policy_id,portfolio_id,universe_id,cost_multiplier,pair,signal_time,entry_time,exit_time,holding_hours,exit_reason,entry_price,exit_price,quantity,entry_notional,exit_notional,entry_cost,exit_cost,gross_pnl,net_pnl,period_id,membership_rank,support_families,support_count,atr24_at_signal,high_water_at_exit,entry_market_state,exit_market_state,protection_floor_at_exit
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,113.531,107.591,158.54700478283465,18000.0,17058.230791589962,22.5,21.322788489487454,-941.7692084100381,-985.5919968995256,ROBUSTNESS_2022,4,MOMENTUM_BREAKOUT,1,2.0215,117.5,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-05 18:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3839.21,3792.5,4.7030346984743305,18055.937844729633,17836.259093963898,22.56992230591204,22.295323867454872,-219.67875076573546,-264.5439969391024,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,24.1875,3894.35,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,XRP-USDT,2022-01-03 21:00:00+00:00,2022-01-03 22:00:00+00:00,2022-01-06 22:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,0.82554,0.78001,21462.410572994326,17718.078424429736,16740.894871041302,22.14759803053717,20.92611858880163,-977.1835533884332,-1020.257270007772,ROBUSTNESS_2022,3,RELATIVE_STRENGTH_ROTATION,1,0.0062054166666666,0.84595,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,BTC-USDT,2022-01-12 14:00:00+00:00,2022-01-12 15:00:00+00:00,2022-01-15 15:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,43928.5,42906.9,0.38150961900391644,16759.145298413543,16369.395071639143,20.94893162301693,20.46174383954893,-389.7502267744003,-431.16090223696614,ROBUSTNESS_2022,1,MOMENTUM_BREAKOUT,1,405.1125000000011,44421.0,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,SAND-USDT,2022-01-09 10:00:00+00:00,2022-01-09 11:00:00+00:00,2022-01-16 11:00:00+00:00,168,MAX_HOLD_168H,4.81412,4.82948,3654.1110758576124,17591.329212507648,17647.456358632822,21.98916151563456,22.05932044829103,56.12714612517448,12.078664161248884,ROBUSTNESS_2022,7,RELATIVE_STRENGTH_ROTATION,1,0.0841520833333333,5.21172,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,AVAX-USDT,2022-01-10 04:00:00+00:00,2022-01-10 05:00:00+00:00,2022-01-17 05:00:00+00:00,168,MAX_HOLD_168H,89.237,89.746,196.29307257659448,17516.60491751756,17616.51809145905,21.895756146896954,22.020647614323813,99.91317394148791,55.99677018026714,ROBUSTNESS_2022,4,RELATIVE_STRENGTH_ROTATION,1,1.584083333333334,97.234,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,ETH-USDT,2022-01-11 17:00:00+00:00,2022-01-11 18:00:00+00:00,2022-01-18 18:00:00+00:00,168,MAX_HOLD_168H,3219.25,3132.22,5.423717059568714,17460.301144016583,16988.275048322317,21.82537643002073,21.235343810402895,-472.0260956942657,-515.0868159346893,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,41.22624999999999,3411.68,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,SHIB-USDT,2022-01-12 13:00:00+00:00,2022-01-12 14:00:00+00:00,2022-01-19 14:00:00+00:00,168,MAX_HOLD_168H,2.932e-05,2.76e-05,617766107.6689267,18112.902276852932,17050.34457166238,22.641127846066166,21.312930714577973,-1062.557705190553,-1106.5117637511971,ROBUSTNESS_2022,7,MOMENTUM_BREAKOUT,1,4.175000000000002e-07,3.293e-05,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,BTC-USDT,2022-01-17 04:00:00+00:00,2022-01-17 05:00:00+00:00,2022-01-20 05:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,42646.6,41926.5,0.41164144622816057,17555.10810071387,17258.685095284975,21.94388512589234,21.573356369106218,-296.42300542889643,-339.94024692389496,ROBUSTNESS_2022,1,RELATIVE_STRENGTH_ROTATION,1,248.7833333333325,42967.4,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,DOT-USDT,2022-01-17 11:00:00+00:00,2022-01-17 12:00:00+00:00,2022-01-20 12:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,26.7771,24.5346,656.972837846152,17591.827376290195,16118.5657874202,21.989784220362743,20.14820723427525,-1473.2615888699947,-1515.3995803246328,ROBUSTNESS_2022,4,RELATIVE_STRENGTH_ROTATION,1,0.3583999999999996,26.8212,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,BTC-USDT,2022-01-20 15:00:00+00:00,2022-01-20 16:00:00+00:00,2022-01-23 16:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,42973.1,35329.3,0.3932721845768229,16900.12491503827,13894.03099056995,21.125156143797835,17.36753873821244,-3006.0939244683177,-3044.586619350328,ROBUSTNESS_2022,1,MOMENTUM_BREAKOUT,1,298.9874999999996,43498.3,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,ETH-USDT,2022-01-20 16:00:00+00:00,2022-01-20 17:00:00+00:00,2022-01-23 17:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3261.19,2432.9,5.1880127211393665,16919.09520605249,12621.916149259965,21.148869007565615,15.777395186574957,-4297.179056792525,-4334.105320986666,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,29.56833333333329,3275.01,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,AVAX-USDT,2022-01-25 18:00:00+00:00,2022-01-25 19:00:00+00:00,2022-01-28 19:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,68.16,64.862,228.4618598265495,15571.960365777613,14818.493152069652,19.464950457222017,18.523116440087065,-753.4672137079615,-791.4552806052706,ROBUSTNESS_2022,7,MOMENTUM_BREAKOUT,1,1.6737500000000007,73.624,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,DOT-USDT,2022-01-26 14:00:00+00:00,2022-01-26 15:00:00+00:00,2022-01-29 15:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,19.2231,18.8899,815.9129656034887,15684.376529092422,15412.514328953343,19.605470661365526,19.26564291119168,-271.8622001390795,-310.7333137116367,ROBUSTNESS_2022,4,MOMENTUM_BREAKOUT,1,0.3473458333333331,20.0448,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,ETH-USDT,2022-01-26 14:00:00+00:00,2022-01-26 15:00:00+00:00,2022-01-29 15:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,2622.47,2607.11,5.98211087562936,15687.906308011727,15596.021084962062,19.60988288501466,19.495026356202576,-91.885223049665,-130.99013229088223,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,41.05083333333331,2722.53,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,BTC-USDT,2022-01-26 05:00:00+00:00,2022-01-26 06:00:00+00:00,2022-02-02 06:00:00+00:00,168,MAX_HOLD_168H,37788.5,38423.6,0.4138436428104136,15638.530496341313,15901.362593890206,19.54816312042664,19.87670324236276,262.8320975488932,223.40723118610381,ROBUSTNESS_2022,1,MOMENTUM_BREAKOUT,1,478.6249999999994,39286.0,,,
