trade_id,symbol,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,entry_fee,exit_fee,gross_pnl,net_pnl,holding_bars,exit_reason
TRADE-000001,BTC/USDT,2023-02-17T00:00:00Z,2023-02-26T00:00:00Z,24339.763799999997,22805.834235714286,0.6568054151842504,15.986488668145586,14.978995423811513,-1007.4932443340724,-1038.4587284260297,9,stop_loss
TRADE-000002,BTC/USDT,2023-03-16T00:00:00Z,2023-04-15T00:00:00Z,24688.838249999997,30357.4137,0.4317460260157132,10.659307801382234,13.106692725089971,2447.3849237077347,2423.6189231812627,30,time_stop_30_bars
TRADE-000003,BTC/USDT,2023-06-22T00:00:00Z,2023-07-22T00:00:00Z,28319.45265,29785.79965,0.5623953103972823,15.926727363377887,16.751394039593013,824.6666762151245,791.9885548121537,30,time_stop_30_bars
TRADE-000004,BTC/USDT,2023-12-03T00:00:00Z,2024-01-02T00:00:00Z,38700.140400000004,42257.6606,0.4687829168492583,18.141964699187827,19.809669395293984,1667.7046961061565,1629.7530620116747,30,time_stop_30_bars
TRADE-000005,BTC/USDT,2024-01-04T00:00:00Z,2024-01-04T00:00:00Z,44967.6726,42092.11484285714,0.3636603931033861,16.352961494660363,15.307235030306302,-1045.7264643540632,-1077.38666087903,0,stop_loss
TRADE-000006,BTC/USDT,2024-01-10T00:00:00Z,2024-01-13T00:00:00Z,46972.67459999999,43029.51733571428,0.2619560476013882,12.304776183482115,11.271842291459128,-1032.933892022988,-1056.510510497929,3,stop_loss
TRADE-000007,BTC/USDT,2024-02-28T00:00:00Z,2024-03-21T00:00:00Z,54499.43609999999,61900.83410000001,0.3082100530556159,16.797274091882144,19.07845936214788,2281.1852702657343,2245.309536811704,22,trailing_stop_close
TRADE-000008,BTC/USDT,2024-05-17T00:00:00Z,2024-06-15T00:00:00Z,66243.9054,66742.0123,0.19950453355492453,13.215959447683547,13.315334032428536,99.3745847449892,72.84329126487712,29,momentum_failure_close_below_ema50
TRADE-000009,BTC/USDT,2024-07-17T00:00:00Z,2024-08-04T00:00:00Z,64752.05984999999,61463.053100000005,0.18837896012644778,12.197925700588508,11.578346029174643,-619.579671413865,-643.3559431436281,18,momentum_failure_close_below_ema50
TRADE-000010,BTC/USDT,2024-08-25T00:00:00Z,2024-08-28T00:00:00Z,64073.0205,58626.11513571429,0.19076385856951214,12.222816620783451,11.183743936229336,-1039.0726845541162,-1062.479245111129,3,stop_loss
TRADE-000011,BTC/USDT,2024-09-20T00:00:00Z,2024-10-03T00:00:00Z,61785.77745,60784.1927,0.21783133130340637,13.458878157549485,13.240701618043795,-218.17653950568985,-244.87611928128314,13,momentum_failure_close_below_ema50
TRADE-000012,BTC/USDT,2024-10-30T00:00:00Z,2024-11-29T00:00:00Z,69996.48075,95806.37285000001,0.2659384367479297,18.614754668511555,25.4785970262183,6863.842357706744,6819.749006012014,30,time_stop_30_bars
TRADE-000013,BTC/USDT,2024-12-18T00:00:00Z,2024-12-20T00:00:00Z,106113.33015,96759.16764285715,0.1169815362997539,12.413300382829993,11.319036081946866,-1094.2643008831274,-1117.9966373479042,2,stop_loss
