policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,risk_off_suppressed_entries,entry_bar_adaptive_exits,max_hold_exits,time_failure_exits,adaptive_stagnation_exits,adaptive_protection_gap_exits,adaptive_protection_touch_exits,entry_state_RISK_ON,entry_state_TRANSITION,entry_state_RISK_OFF,same_pair_cooldown_rejections,family_quality_suppressed_entries,risk_off_or_router_suppressed_entries,thesis_failure_exits,profit_giveback_exits,pair_cooldowns_created,pair_cooldowns_released,max_active_pair_cooldowns,entry_context_SUPPORTIVE,entry_context_MIXED,entry_context_STRESSED,entry_context_UNAVAILABLE
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,1.0,2249,0,0,1513,140,0,0,7,0,422,174.0,0.0,198,224.0,0.0,0.0,0.0,131.0,291.0,174.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,2.0,2249,0,0,1513,140,0,0,6,0,422,174.0,0.0,198,224.0,0.0,0.0,0.0,131.0,291.0,174.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,745,103,0,0,4,0,354,77.0,0.0,163,191.0,0.0,0.0,0.0,121.0,233.0,77.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,745,103,0,0,3,0,354,77.0,0.0,163,191.0,0.0,0.0,0.0,121.0,233.0,77.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,624,3,0,0,4,0,302,118.0,0.0,137,165.0,0.0,0.0,0.0,83.0,219.0,118.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,624,3,0,0,3,0,302,118.0,0.0,137,165.0,0.0,0.0,0.0,83.0,219.0,118.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,1.0,2306,0,0,1574,143,0,0,8,0,425,164.0,0.0,201,224.0,0.0,0.0,0.0,131.0,294.0,164.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,2.0,2306,0,0,1574,143,0,0,8,0,425,164.0,0.0,201,224.0,0.0,0.0,0.0,131.0,294.0,164.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,755,111,0,0,7,0,364,73.0,0.0,165,199.0,0.0,0.0,0.0,121.0,243.0,73.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,755,111,0,0,5,0,364,73.0,0.0,165,199.0,0.0,0.0,0.0,121.0,243.0,73.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,657,2,0,0,6,0,300,120.0,0.0,141,159.0,0.0,0.0,0.0,81.0,219.0,120.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,657,2,0,0,5,0,300,120.0,0.0,141,159.0,0.0,0.0,0.0,81.0,219.0,120.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,E2,1.0,2289,0,0,1540,152,0,0,8,0,427,170.0,0.0,198,229.0,0.0,0.0,0.0,132.0,295.0,170.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,E2,2.0,2289,0,0,1540,152,0,0,6,0,427,170.0,0.0,198,229.0,0.0,0.0,0.0,132.0,295.0,170.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,750,109,0,0,5,0,357,76.0,0.0,164,193.0,0.0,0.0,0.0,121.0,236.0,76.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,750,109,0,0,4,0,357,76.0,0.0,164,193.0,0.0,0.0,0.0,121.0,236.0,76.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,649,2,0,0,3,0,303,119.0,0.0,136,167.0,0.0,0.0,0.0,84.0,219.0,119.0,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,649,2,0,0,3,0,303,119.0,0.0,136,167.0,0.0,0.0,0.0,84.0,219.0,119.0,,,,,,,,,,,,
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,C2,1.0,2249,0,0,1277,60,0,0,9,0,682,,,9,,,,,,,,0.0,0.0,230.0,331.0,342.0,0.0,0.0,0.0,194.0,387.0,331.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,C2,2.0,2249,0,0,1277,60,0,0,5,0,682,,,9,,,,,,,,0.0,0.0,230.0,331.0,342.0,0.0,0.0,0.0,194.0,387.0,331.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,616,51,0,0,5,0,521,,,6,,,,,,,,0.0,0.0,91.0,222.0,293.0,0.0,0.0,0.0,171.0,305.0,136.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,616,51,0,0,3,0,521,,,6,,,,,,,,0.0,0.0,91.0,222.0,293.0,0.0,0.0,0.0,171.0,305.0,136.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,492,0,0,0,7,0,399,,,3,,,,,,,,0.0,0.0,156.0,223.0,173.0,0.0,0.0,0.0,93.0,226.0,236.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,492,0,0,0,7,0,399,,,3,,,,,,,,0.0,0.0,156.0,223.0,173.0,0.0,0.0,0.0,93.0,226.0,236.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,D2,1.0,2306,0,0,1311,73,0,0,11,0,690,,,8,,,,,,,,0.0,0.0,232.0,338.0,344.0,0.0,0.0,0.0,202.0,388.0,332.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,D2,2.0,2306,0,0,1311,73,0,0,6,0,690,,,8,,,,,,,,0.0,0.0,232.0,338.0,344.0,0.0,0.0,0.0,202.0,388.0,332.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,630,53,0,0,8,0,533,,,6,,,,,,,,0.0,0.0,87.0,231.0,296.0,0.0,0.0,0.0,177.0,314.0,129.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,630,53,0,0,5,0,533,,,6,,,,,,,,0.0,0.0,87.0,231.0,296.0,0.0,0.0,0.0,177.0,314.0,129.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,513,1,0,0,8,0,404,,,2,,,,,,,,0.0,0.0,161.0,222.0,180.0,0.0,0.0,0.0,99.0,226.0,240.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,513,1,0,0,8,0,404,,,2,,,,,,,,0.0,0.0,161.0,222.0,180.0,0.0,0.0,0.0,99.0,226.0,240.0,0.0
