policy_id,portfolio_id,universe_id,cost_multiplier,total_net_pnl,positive_net_pnl_pool,largest_winner_net_pnl,largest_winner_positive_pnl_share,net_pnl_without_largest_winner,top_asset,top_asset_positive_contribution_share,minimum_loao_remaining_net_pnl,minimum_loyo_remaining_net_pnl
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,1.0,11728.529364432183,147416.98719584945,10790.636931405175,0.07319805632080499,937.8924330270074,SOL-USDT,0.1198340121404995,-5937.0396689111,-34996.60047399663
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,2.0,-1359.9146664609507,134141.48827776156,9492.538588829537,0.07076512055072556,-10852.453255290488,SOL-USDT,0.09996426178078044,-14769.269516322598,-38383.36504138607
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,18868.414642521806,130294.9050126346,9212.966740485863,0.0707085725231734,9655.447902035943,SOL-USDT,0.1739271785623833,-3793.410567379462,-34231.13268059932
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,6794.875168005528,119058.7343809307,8238.99378508528,0.069201086572317,-1444.1186170797519,SOL-USDT,0.16022172884810196,-12280.921088974144,-37215.09390323591
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,2118.048464428255,101308.24943358956,9701.946873832601,0.09576660270092321,-7583.898409404346,SOL-USDT,0.1989726145970862,-18039.518805626838,-33251.51521106108
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,-6301.915693923856,94195.28926952544,8863.221588153334,0.09409410658310713,-15165.13728207719,SOL-USDT,0.1793251723966313,-23193.50218113206,-35654.67432437773
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,1.0,23965.90422968232,158618.31073507667,11239.918091291425,0.07086141593112959,12725.986138390896,SOL-USDT,0.10731436075144958,6943.881609672775,-34996.60047399663
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,2.0,9879.445482786461,144483.13274727738,9924.507235786794,0.0686897290159554,-45.06175300033283,SOL-USDT,0.08894868896498692,-2972.1397526380315,-38383.36504138607
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,20322.382801856795,133153.1480499557,9182.264722255903,0.06896017748533402,11140.118079600892,SOL-USDT,0.16065602339402263,-1069.472466244646,-34231.13268059932
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,8192.50613135416,121866.20332228928,8218.371712505073,0.067437661045127,-25.865581150914295,SOL-USDT,0.1471257023805047,-9737.144628883048,-37215.0939032359
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,1.0,7772.1792220898205,103097.1143962313,7714.578340581764,0.07482826639485235,57.60088150805677,SOL-USDT,0.14948497615863893,-7639.290465455288,-33251.51521106109
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,2.0,-1000.8105154621335,95809.6129684478,7102.084563155699,0.07412705618062115,-8102.895078617832,SOL-USDT,0.13156320272191258,-13605.830049138014,-35654.67432437773
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,E2,1.0,18561.357478680253,155245.2436963939,10911.701951606292,0.07028686800186815,7649.655527073961,SOL-USDT,0.1082441602716343,1756.9664385988654,-34996.60047399663
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,E2,2.0,4904.0072236727865,141385.51268265262,9617.551265725142,0.06802359791495931,-4713.5440420523555,SOL-USDT,0.08919485010842003,-7706.852387558532,-38383.36504138607
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,1.0,26199.25312677746,136919.703370218,9630.99580311215,0.07034046646355085,16568.25732366531,SOL-USDT,0.1695607118347713,2983.050759117563,-34231.13268059933
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,2.0,13627.401783504429,125280.99217664078,8631.448374928861,0.06889671150399969,4995.953408575568,SOL-USDT,0.15628820471803725,-5952.5395690772275,-37215.09390323591
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,1.0,2232.986591717792,102905.96213334077,9608.217915688463,0.09336891387535524,-7375.231323970671,SOL-USDT,0.1870936957619716,-17020.070179750437,-33251.51521106108
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,2.0,-6235.534734011173,95659.6925501366,8771.032130967438,0.0916899469060118,-15006.566864978611,SOL-USDT,0.16777690658490252,-22285.022034935937,-35654.67432437773
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,C2,1.0,-8546.166948614844,139324.42693777173,4418.997673103868,0.03171732172332983,-12965.164621718712,SOL-USDT,0.09154062902545038,-21300.01262910887,-24564.057313632118
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,C2,2.0,-25376.171409682054,118616.09668385322,4019.685003046945,0.0338881915307042,-29395.856412729,SOL-USDT,0.0646515547046888,-33044.88647329484,-30485.79037475253
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,C2,1.0,-9744.279094763326,105423.5453390864,4389.992223433298,0.041641477805676515,-14134.271318196625,SOL-USDT,0.11775207610253348,-22158.120428530317,-24016.16167390522
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,C2,2.0,-23008.81618225257,90955.39568150337,4072.2353419054148,0.044771784140932955,-27081.051524157985,SOL-USDT,0.09527109630740024,-31674.236443902773,-28629.63701536775
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,C2,1.0,519.683877327494,94663.98031566787,4138.309256024665,0.04371577491486202,-3618.625378697171,JASMY-USDT,0.043613078772302,-3608.903753079375,-13030.989767136081
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,C2,2.0,-10320.698457792085,84705.07178756475,4031.7010263944644,0.04759692591378388,-14352.39948418655,JASMY-USDT,0.0464873038800391,-14258.408870161134,-17158.027627946645
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,D2,1.0,-10451.640100565965,140441.98842752285,4418.997673103868,0.031464932407905606,-14870.637773669832,SOL-USDT,0.038793169764825275,-15899.829999744485,-24564.057313632118
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,D2,2.0,-26980.36528941283,119678.21318507241,4019.685003046945,0.03358744165766275,-31000.050292459775,JASMY-USDT,0.02220899752801888,-29638.29843019782,-30485.790374752527
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,D2,1.0,-9643.16013015017,109918.60452269722,4389.992223433298,0.039938573115043535,-14033.152353583468,SOL-USDT,0.1119990748719662,-21953.94214790978,-24016.16167390521
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,D2,2.0,-23144.207808987478,94847.1986482618,4072.2353419054148,0.0429346928527345,-27216.443150892894,SOL-USDT,0.09033922715959088,-31712.63043312364,-28629.63701536775
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,D2,1.0,1576.912887234148,94210.44915101702,4138.309256024665,0.043926223612319876,-2561.396368790517,JASMY-USDT,0.04382303308828137,-2551.674743172721,-13030.989767136083
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,D2,2.0,-9526.879074752585,84187.21261959945,4031.7010263944644,0.04788970796089586,-13558.58010114705,JASMY-USDT,0.0467732603306588,-13464.589487121635,-17158.027627946645
