period_id,universe_id,landmark_age_hours,market_context,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,resolved_target_count,right_censored_target_count,minimum_unique_positions_gate,minimum_unique_pairs_gate,minimum_unique_signal_days_gate,numeric_support_pass,primary_context_eligible,primary_support_pass
ROBUSTNESS_2022,C2,24,SUPPORTIVE,35,35,8,16,35,0,20,5,10,True,True,True
ROBUSTNESS_2022,C2,24,MIXED,6,6,4,4,6,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,24,STRESSED,4,4,4,4,4,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,24,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,C2,48,SUPPORTIVE,29,29,8,12,29,0,20,5,10,True,True,True
ROBUSTNESS_2022,C2,48,MIXED,2,2,2,2,2,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,48,STRESSED,14,14,7,11,14,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,48,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,C2,72,SUPPORTIVE,15,15,7,7,15,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,72,MIXED,2,2,2,2,2,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,72,STRESSED,4,4,3,4,4,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,72,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,C2,96,SUPPORTIVE,9,9,6,5,9,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,96,MIXED,2,2,2,2,2,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,96,STRESSED,10,10,7,5,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,96,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,C2,120,SUPPORTIVE,10,10,6,6,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,120,MIXED,1,1,1,1,1,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,120,STRESSED,10,10,7,5,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,120,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,C2,144,SUPPORTIVE,10,10,6,6,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,144,MIXED,1,1,1,1,1,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,144,STRESSED,10,10,7,5,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,C2,144,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,D2,24,SUPPORTIVE,35,35,8,16,35,0,20,5,10,True,True,True
ROBUSTNESS_2022,D2,24,MIXED,6,6,4,4,6,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,24,STRESSED,4,4,4,4,4,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,24,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,D2,48,SUPPORTIVE,29,29,8,12,29,0,20,5,10,True,True,True
ROBUSTNESS_2022,D2,48,MIXED,2,2,2,2,2,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,48,STRESSED,14,14,7,11,14,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,48,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,D2,72,SUPPORTIVE,15,15,7,7,15,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,72,MIXED,2,2,2,2,2,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,72,STRESSED,4,4,3,4,4,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,72,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,D2,96,SUPPORTIVE,9,9,6,5,9,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,96,MIXED,2,2,2,2,2,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,96,STRESSED,10,10,7,5,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,96,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,D2,120,SUPPORTIVE,10,10,6,6,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,120,MIXED,1,1,1,1,1,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,120,STRESSED,10,10,7,5,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,120,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,D2,144,SUPPORTIVE,10,10,6,6,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,144,MIXED,1,1,1,1,1,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,144,STRESSED,10,10,7,5,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,D2,144,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,E2,24,SUPPORTIVE,35,35,8,16,35,0,20,5,10,True,True,True
ROBUSTNESS_2022,E2,24,MIXED,6,6,4,4,6,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,24,STRESSED,4,4,4,4,4,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,24,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,E2,48,SUPPORTIVE,29,29,8,12,29,0,20,5,10,True,True,True
ROBUSTNESS_2022,E2,48,MIXED,2,2,2,2,2,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,48,STRESSED,14,14,7,11,14,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,48,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,E2,72,SUPPORTIVE,15,15,7,7,15,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,72,MIXED,2,2,2,2,2,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,72,STRESSED,4,4,3,4,4,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,72,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,E2,96,SUPPORTIVE,9,9,6,5,9,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,96,MIXED,2,2,2,2,2,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,96,STRESSED,10,10,7,5,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,96,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,E2,120,SUPPORTIVE,10,10,6,6,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,120,MIXED,1,1,1,1,1,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,120,STRESSED,10,10,7,5,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,120,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2022,E2,144,SUPPORTIVE,10,10,6,6,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,144,MIXED,1,1,1,1,1,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,144,STRESSED,10,10,7,5,10,0,20,5,10,False,True,False
ROBUSTNESS_2022,E2,144,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2023,C2,24,SUPPORTIVE,71,71,11,40,71,0,20,5,10,True,True,True
ROBUSTNESS_2023,C2,24,MIXED,29,29,9,22,29,0,20,5,10,True,True,True
ROBUSTNESS_2023,C2,24,STRESSED,24,24,9,15,24,0,20,5,10,True,True,True
ROBUSTNESS_2023,C2,24,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
ROBUSTNESS_2023,C2,48,SUPPORTIVE,81,81,11,45,81,0,20,5,10,True,True,True
ROBUSTNESS_2023,C2,48,MIXED,19,19,8,13,19,0,20,5,10,False,True,False
ROBUSTNESS_2023,C2,48,STRESSED,24,24,11,19,24,0,20,5,10,True,True,True
ROBUSTNESS_2023,C2,48,UNAVAILABLE,0,0,0,0,0,0,20,5,10,False,False,False
