family_id,universe_id,period_id,horizon_hours,cost_multiplier,event_count,pair_count,signal_day_count,mean_net_forward_return,median_net_forward_return,trimmed_1pct_mean_net_forward_return,positive_net_forward_share,leave_one_pair_out_min_mean_net_return,largest_pair_event_share,pf1_break_even_cost_multiplier_raw_mean
BASE_RANGE_BREAKOUT,C2,DISCOVERY_2019_2020,24,1.0,146,10,109,0.00278965068676483,-0.006099765927103832,0.0023485360906673313,0.4315068493150685,-0.0008097332636036006,0.3561643835616438,2.1129131299239488
BASE_RANGE_BREAKOUT,C2,DISCOVERY_2019_2020,24,2.0,146,10,109,0.0002830303479828963,-0.0085952605880211,-0.00015753216476529434,0.4041095890410959,-0.0033118487413713077,0.3561643835616438,2.1129131299239488
BASE_RANGE_BREAKOUT,C2,DISCOVERY_2019_2020,72,1.0,146,10,109,0.0003409754083327843,-0.012726705251123918,-0.001048915341190732,0.410958904109589,-0.0024695448530304524,0.3561643835616438,1.1361964558078819
BASE_RANGE_BREAKOUT,C2,DISCOVERY_2019_2020,72,2.0,146,10,109,-0.0021625802555074293,-0.015213905870334025,-0.0035507314671717285,0.3972602739726027,-0.004969582969609887,0.3561643835616438,1.1361964558078819
BASE_RANGE_BREAKOUT,C2,DISCOVERY_2019_2020,168,1.0,146,10,109,0.002870848865228989,-0.012399053263790968,0.0017431419183205775,0.4383561643835616,-0.004658004789434761,0.3561643835616438,2.145260187204566
BASE_RANGE_BREAKOUT,C2,DISCOVERY_2019_2020,168,2.0,146,10,109,0.0003641269016930311,-0.014886663960582218,-0.00076216864728432,0.4383561643835616,-0.007155303907345356,0.3561643835616438,2.145260187204566
BASE_RANGE_BREAKOUT,C2,TEMPORAL_REPLICATION_2021,24,1.0,99,13,78,0.020703216358990795,0.01447911660146781,0.020703216358990802,0.6262626262626263,0.01617875442889201,0.2222222222222222,9.186194655858298
BASE_RANGE_BREAKOUT,C2,TEMPORAL_REPLICATION_2021,24,2.0,99,13,78,0.018174176038140998,0.011957866142642442,0.018174176038141,0.6161616161616161,0.013655376763774497,0.2222222222222222,9.186194655858298
BASE_RANGE_BREAKOUT,C2,TEMPORAL_REPLICATION_2021,72,1.0,99,13,78,0.04269282881454766,0.013446926103842904,0.04269282881454765,0.5656565656565656,0.02901190589961047,0.2222222222222222,17.69931462119041
BASE_RANGE_BREAKOUT,C2,TEMPORAL_REPLICATION_2021,72,2.0,99,13,78,0.040136267076356744,0.010926967497955742,0.04013626707635674,0.5555555555555556,0.026472466718259275,0.2222222222222222,17.69931462119041
BASE_RANGE_BREAKOUT,C2,TEMPORAL_REPLICATION_2021,168,1.0,99,13,78,0.07843127297059993,0.021032742262155665,0.07843127297059993,0.5353535353535354,0.039944801719233224,0.2222222222222222,31.150906560380548
BASE_RANGE_BREAKOUT,C2,TEMPORAL_REPLICATION_2021,168,2.0,99,13,78,0.07582998226600594,0.018503289518398275,0.07582998226600594,0.5252525252525253,0.03739167931407774,0.2222222222222222,31.150906560380548
BASE_RANGE_BREAKOUT,D2,DISCOVERY_2019_2020,24,1.0,156,9,116,0.0016537264429894098,-0.008294343372681954,0.0012265033889271265,0.4230769230769231,-0.001825635008389799,0.3333333333333333,1.6601178867718465
BASE_RANGE_BREAKOUT,D2,DISCOVERY_2019_2020,24,2.0,156,9,116,-0.0008514722133847968,-0.01078709137847334,-0.0012781605702580075,0.391025641025641,-0.004326479019643379,0.3333333333333333,1.6601178867718465
BASE_RANGE_BREAKOUT,D2,DISCOVERY_2019_2020,72,1.0,156,9,116,-0.001582405553350522,-0.015795274921007272,-0.002907022630329439,0.391025641025641,-0.004411989334523048,0.3333333333333333,0.36732840991767
BASE_RANGE_BREAKOUT,D2,DISCOVERY_2019_2020,72,2.0,156,9,116,-0.004083553981944577,-0.018278635027489117,-0.005406513215272705,0.3782051282051282,-0.006909596356632533,0.3333333333333333,0.36732840991767
BASE_RANGE_BREAKOUT,D2,DISCOVERY_2019_2020,168,1.0,156,9,116,0.001897127877651371,-0.015118134032139997,0.0008300029274567981,0.42948717948717946,-0.005205232914545261,0.3333333333333333,1.7571843493528845
BASE_RANGE_BREAKOUT,D2,DISCOVERY_2019_2020,168,2.0,156,9,116,-0.0006083754113068885,-0.01760234162408976,-0.0016741647858441613,0.42948717948717946,-0.007701847141185381,0.3333333333333333,1.7571843493528845
BASE_RANGE_BREAKOUT,D2,TEMPORAL_REPLICATION_2021,24,1.0,97,13,76,0.021807668949206528,0.01447911660146781,0.021807668949206535,0.6185567010309279,0.0173896553843331,0.2268041237113402,9.618192401788626
BASE_RANGE_BREAKOUT,D2,TEMPORAL_REPLICATION_2021,24,2.0,97,13,76,0.01927724633475196,0.011957866142642442,0.019277246334751957,0.6082474226804123,0.014864762198620547,0.2268041237113402,9.618192401788626
BASE_RANGE_BREAKOUT,D2,TEMPORAL_REPLICATION_2021,72,1.0,97,13,76,0.04572295188369673,0.02332782085814688,0.04572295188369672,0.5876288659793815,0.031866352805113934,0.2268041237113402,18.858057720589443
BASE_RANGE_BREAKOUT,D2,TEMPORAL_REPLICATION_2021,72,2.0,97,13,76,0.04316259775117646,0.020795495675596007,0.04316259775117646,0.5773195876288659,0.029323341099475497,0.2268041237113402,18.858057720589443
BASE_RANGE_BREAKOUT,D2,TEMPORAL_REPLICATION_2021,168,1.0,97,13,76,0.08505752613465621,0.021032742262155665,0.08505752613465623,0.5463917525773195,0.04656480806961716,0.2268041237113402,33.594286982373305
BASE_RANGE_BREAKOUT,D2,TEMPORAL_REPLICATION_2021,168,2.0,97,13,76,0.0824479422471285,0.018503289518398275,0.0824479422471285,0.5360824742268041,0.044003400299817884,0.2268041237113402,33.594286982373305
