symbol,target_timeframe,required_children,source_rows,source_missing_intervals,candidate_groups,accepted_groups,dropped_edge_groups,dropped_gap_groups,target_missing_intervals,first_target_close,last_target_close,derived_sha256
BTC/USDT,4h,4,52608,0,13152,13152,0,0,0,2019-01-01T04:00:00+00:00,2025-01-01T00:00:00+00:00,0e17cfdc31262f20783e01d09d7aaca5dbdb65ece94cf14a4c874b26396c7b88
BTC/USDT,1d,24,52608,0,2192,2192,0,0,0,2019-01-02T00:00:00+00:00,2025-01-01T00:00:00+00:00,715c13f26cde6c5d96243e94e1b06b59231891524bcd89f960de823759477954
BTC/USDT,1w,168,52608,0,314,312,2,0,0,2019-01-14T00:00:00+00:00,2024-12-30T00:00:00+00:00,0e8bf56e6496871c345fd7207cb9bc3090a94b4a06e2eb96cf9669154c231314
ETH/USDT,4h,4,52608,0,13152,13152,0,0,0,2019-01-01T04:00:00+00:00,2025-01-01T00:00:00+00:00,548f53726155781a4396cd6613a77ab84539ada8dbd65c1d3826fabb2ed49a12
ETH/USDT,1d,24,52608,0,2192,2192,0,0,0,2019-01-02T00:00:00+00:00,2025-01-01T00:00:00+00:00,ae0bb93e540ad5138673a3a2071d07a6a5505213a263603cd25f3a3bdc563777
ETH/USDT,1w,168,52608,0,314,312,2,0,0,2019-01-14T00:00:00+00:00,2024-12-30T00:00:00+00:00,93911a498adba6685715f8d07b5bd9c66769e1633d63529a386ecaa2267c783d
SOL/USDT,4h,4,28848,0,7212,7212,0,0,0,2021-09-17T04:00:00+00:00,2025-01-01T00:00:00+00:00,e834f37769059cebd54a01d954b2c469cabf78d367492b1ae58b5e6ba7693006
SOL/USDT,1d,24,28848,0,1202,1202,0,0,0,2021-09-18T00:00:00+00:00,2025-01-01T00:00:00+00:00,b61bcab4900c21c82840d28f518be002ef2fec589c095636a5e98592479899b8
SOL/USDT,1w,168,28848,0,173,171,2,0,0,2021-09-27T00:00:00+00:00,2024-12-30T00:00:00+00:00,34410834935c472a14f801a767b622b1b21f941b2ed8c8e8c163a7260e880d9e
LINK/USDT,4h,4,37488,0,9372,9372,0,0,0,2020-09-22T04:00:00+00:00,2025-01-01T00:00:00+00:00,dd3dca031823c5f5f98e742077389516c35fdf1d3ae67307490646a42dac067d
LINK/USDT,1d,24,37488,0,1562,1562,0,0,0,2020-09-23T00:00:00+00:00,2025-01-01T00:00:00+00:00,0b17a35594956aeedc177e23dd5ecbddef0db9bbb8fb725d0b436555b808cf1e
LINK/USDT,1w,168,37488,0,224,222,2,0,0,2020-10-05T00:00:00+00:00,2024-12-30T00:00:00+00:00,f338ce6a5c031c91b973f02da24ab96c724596ae3a140d09c72c9d6d93d2da8b
AVAX/USDT,4h,4,33168,0,8292,8292,0,0,0,2021-03-21T04:00:00+00:00,2025-01-01T00:00:00+00:00,bac8d6733ccb3b9baeae89d78c93ad4882aabb54df2139de0faab0352cd301de
AVAX/USDT,1d,24,33168,0,1382,1382,0,0,0,2021-03-22T00:00:00+00:00,2025-01-01T00:00:00+00:00,ee3a46dc5311de5ea106f5e8fa731ec1c0585b593f78e2d991cc2ef800a2303c
AVAX/USDT,1w,168,33168,0,199,197,2,0,0,2021-03-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,27caa99b6b65bfa4bf5b2d94fccfb94cc5f669c773d5ef5a8e08508dfd7808ad
NEAR/USDT,4h,4,28848,0,7212,7212,0,0,0,2021-09-17T04:00:00+00:00,2025-01-01T00:00:00+00:00,1f915d5727f742a36b4d5b231f43a507804d10422332065d33e4b4c79f87dcd8
NEAR/USDT,1d,24,28848,0,1202,1202,0,0,0,2021-09-18T00:00:00+00:00,2025-01-01T00:00:00+00:00,9722eda2827245be711fcd6a3dacfc4140e938f1ae6347ea7e13e06513930309
NEAR/USDT,1w,168,28848,0,173,171,2,0,0,2021-09-27T00:00:00+00:00,2024-12-30T00:00:00+00:00,a2c5dbaec778e5644c568d1387275756f6abf9b9e58347f5e966739e52d691e3
