asset,canonical_symbol,day,source_timestamp,available_at,market_cap_usd,rebalance_time,market_cap_rank,top6_member,top10_member,fixed6_symbol,fixed10_symbol
btc,BTC,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,618626936448.978,2021-01-04 00:00:00+00:00,1,True,True,True,True
eth,ETH,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,113022171397.96152,2021-01-04 00:00:00+00:00,2,True,True,True,True
xrp,XRP,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,22697316038.74482,2021-01-04 00:00:00+00:00,3,True,True,False,True
xlm,XLM,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,14369176581.40838,2021-01-04 00:00:00+00:00,4,True,True,False,False
link,LINK,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,13804014049.6833,2021-01-04 00:00:00+00:00,5,True,True,True,True
ltc,LTC,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,10737693162.064533,2021-01-04 00:00:00+00:00,6,True,True,False,True
dot,DOT,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,10492233044.669643,2021-01-04 00:00:00+00:00,7,False,True,False,False
bch,BCH,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,7894877072.046677,2021-01-04 00:00:00+00:00,8,False,True,False,False
ada,ADA,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,6582025469.578494,2021-01-04 00:00:00+00:00,9,False,True,False,True
cro,CRO,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,6036316279.05837,2021-01-04 00:00:00+00:00,10,False,True,False,False
uni,UNI,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,5502748606.98052,2021-01-04 00:00:00+00:00,11,False,False,False,False
algo,ALGO,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,4200380059.67589,2021-01-04 00:00:00+00:00,12,False,False,False,False
bsv,BSV,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,3210575665.3563056,2021-01-04 00:00:00+00:00,13,False,False,False,False
ht,HT,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,2463876124.31473,2021-01-04 00:00:00+00:00,14,False,False,False,False
xmr,XMR,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,2409576530.8970337,2021-01-04 00:00:00+00:00,15,False,False,False,False
ftt,FTT,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,2384391495.3653994,2021-01-04 00:00:00+00:00,16,False,False,False,False
snx,SNX,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,2039996302.9698172,2021-01-04 00:00:00+00:00,17,False,False,False,False
xem,XEM,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,1915811802.198963,2021-01-04 00:00:00+00:00,18,False,False,False,False
xtz,XTZ,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,1768911236.3940322,2021-01-04 00:00:00+00:00,19,False,False,False,False
1inch,1INCH,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,1679718479.50206,2021-01-04 00:00:00+00:00,20,False,False,False,False
neo,NEO,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,1610835312.01233,2021-01-04 00:00:00+00:00,21,False,False,False,False
aave,AAVE,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,1502455320.6708224,2021-01-04 00:00:00+00:00,22,False,False,False,False
comp,COMP,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,1480408247.00351,2021-01-04 00:00:00+00:00,23,False,False,False,False
doge,DOGE,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,1278625894.4635656,2021-01-04 00:00:00+00:00,24,False,False,False,False
lend,LEND,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,1220744893.3023024,2021-01-04 00:00:00+00:00,25,False,False,False,False
crv,CRV,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,949362069.0466913,2021-01-04 00:00:00+00:00,26,False,False,False,False
gno,GNO,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,905443158.292061,2021-01-04 00:00:00+00:00,27,False,False,False,False
dash,DASH,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,887866208.4593154,2021-01-04 00:00:00+00:00,28,False,False,False,False
uma,UMA,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,860489168.1662275,2021-01-04 00:00:00+00:00,29,False,False,False,False
etc,ETC,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,824778796.7530739,2021-01-04 00:00:00+00:00,30,False,False,False,False
btc,BTC,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,712801739056.71,2021-01-11 00:00:00+00:00,1,True,True,True,True
eth,ETH,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,144538541298.19492,2021-01-11 00:00:00+00:00,2,True,True,True,True
xrp,XRP,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,31539130512.845234,2021-01-11 00:00:00+00:00,3,True,True,False,True
xlm,XLM,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,30230747391.32418,2021-01-11 00:00:00+00:00,4,True,True,False,False
link,LINK,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,16234920489.1799,2021-01-11 00:00:00+00:00,5,True,True,True,True
ltc,LTC,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,11407839898.868034,2021-01-11 00:00:00+00:00,6,True,True,False,True
bch,BCH,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,11201668375.89551,2021-01-11 00:00:00+00:00,7,False,True,False,False
ada,ADA,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,9687636477.079222,2021-01-11 00:00:00+00:00,8,False,True,False,True
dot,DOT,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,9515690914.13994,2021-01-11 00:00:00+00:00,9,False,True,False,False
cro,CRO,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,7790729576.64061,2021-01-11 00:00:00+00:00,10,False,True,False,False
uni,UNI,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,6011646974.26237,2021-01-11 00:00:00+00:00,11,False,False,False,False
bsv,BSV,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,4720052560.935946,2021-01-11 00:00:00+00:00,12,False,False,False,False
algo,ALGO,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,4610728750.80575,2021-01-11 00:00:00+00:00,13,False,False,False,False
xmr,XMR,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,3208866927.276694,2021-01-11 00:00:00+00:00,14,False,False,False,False
