trade_row_id,symbol,entry_time,rebalance_time,market_cap_rank,tradable_at_entry,fixed6_pit_status,fixed10_pit_status,net_pnl
1,BTC,2019-08-05T01:00:00+00:00,2019-08-05T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,590.7854562271835
2,BTC,2019-08-11T22:00:00+00:00,2019-08-05T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-662.223413719408
3,BTC,2019-08-25T13:00:00+00:00,2019-08-19T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-742.9581549390514
4,BTC,2019-09-03T13:00:00+00:00,2019-09-02T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,44.94393758517081
5,BTC,2019-09-06T12:00:00+00:00,2019-09-02T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-632.4473589988087
6,ETH,2019-10-08T02:00:00+00:00,2019-10-07T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-555.607101476602
7,ETH,2019-10-09T09:00:00+00:00,2019-10-07T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,355.91673766993506
8,ETH,2019-10-14T17:00:00+00:00,2019-10-14T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-442.8541720061467
9,BTC,2019-10-31T13:00:00+00:00,2019-10-28T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-845.6746607421137
10,ETH,2019-11-01T21:00:00+00:00,2019-10-28T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-505.02957498236003
11,BTC,2019-11-02T13:00:00+00:00,2019-10-28T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-554.8834308791053
12,BTC,2019-11-04T12:00:00+00:00,2019-11-04T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,257.67457725218406
13,ETH,2019-11-05T15:00:00+00:00,2019-11-04T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,34.55575463641037
14,BTC,2019-11-10T06:00:00+00:00,2019-11-04T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-468.1140230172534
15,ETH,2019-11-10T06:00:00+00:00,2019-11-04T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-383.558857102761
16,BTC,2020-01-14T01:00:00+00:00,2020-01-13T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,247.37884682796795
17,BTC,2020-01-19T02:00:00+00:00,2020-01-13T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-417.97619982054215
18,ETH,2020-02-05T06:00:00+00:00,2020-02-03T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,4574.864811414947
19,BTC,2020-02-05T06:00:00+00:00,2020-02-03T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,4330.236214091043
20,BTC,2020-02-11T16:00:00+00:00,2020-02-10T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,41.21018035369939
21,ETH,2020-02-11T16:00:00+00:00,2020-02-10T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,657.8853739762345
22,ETH,2020-02-23T04:00:00+00:00,2020-02-17T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,572.310016265392
23,BTC,2020-02-23T04:00:00+00:00,2020-02-17T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,224.43812690369563
24,BTC,2020-03-05T01:00:00+00:00,2020-03-02T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,348.81370792133123
25,ETH,2020-03-05T01:00:00+00:00,2020-03-02T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,73.80427740639428
26,ETH,2020-03-07T00:00:00+00:00,2020-03-02T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,85.37548442480295
27,ETH,2020-04-22T08:00:00+00:00,2020-04-20T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,2333.926471048348
28,BTC,2020-04-23T14:00:00+00:00,2020-04-20T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,1583.1496115113448
29,ETH,2020-04-25T06:00:00+00:00,2020-04-20T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,59.10487616946057
30,BTC,2020-04-26T11:00:00+00:00,2020-04-20T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-333.82984436911147
31,BTC,2020-04-27T01:00:00+00:00,2020-04-27T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-414.8204653063214
32,BTC,2020-04-29T03:00:00+00:00,2020-04-27T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,5947.741946457018
33,BTC,2020-05-05T05:00:00+00:00,2020-05-04T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-563.1233305481355
34,BTC,2020-05-06T11:00:00+00:00,2020-05-04T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-527.3990464494391
35,BTC,2020-05-07T14:00:00+00:00,2020-05-04T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,437.3286437693374
36,ETH,2020-05-07T19:00:00+00:00,2020-05-04T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-821.0995843723142
37,ETH,2020-05-13T13:00:00+00:00,2020-05-11T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,552.8973766305505
38,BTC,2020-05-17T13:00:00+00:00,2020-05-11T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-799.6284204340262
39,ETH,2020-05-17T13:00:00+00:00,2020-05-11T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,539.9293567103346
40,BTC,2020-05-19T09:00:00+00:00,2020-05-18T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-848.3997848620271
41,ETH,2020-05-23T03:00:00+00:00,2020-05-18T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-797.1090861674219
42,ETH,2020-05-24T07:00:00+00:00,2020-05-18T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-650.9872485624344
43,ETH,2020-05-27T06:00:00+00:00,2020-05-25T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,418.87226021416
44,BTC,2020-05-27T09:00:00+00:00,2020-05-25T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,3313.07579442535
45,ETH,2020-05-28T13:00:00+00:00,2020-05-25T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,6833.312064484605
46,BTC,2020-06-01T21:00:00+00:00,2020-06-01T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,334.46349634962587
47,BTC,2020-06-04T00:00:00+00:00,2020-06-01T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-616.9244158364947
48,BTC,2020-06-04T16:00:00+00:00,2020-06-01T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-689.3556188149569
49,ETH,2020-06-06T10:00:00+00:00,2020-06-01T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-691.7196503647561
50,BTC,2020-06-07T20:00:00+00:00,2020-06-01T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-679.0078430239234
51,ETH,2020-06-08T00:00:00+00:00,2020-06-08T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-700.6802500616767
52,ETH,2020-06-09T00:00:00+00:00,2020-06-08T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-562.9184513337757
53,BTC,2020-06-09T00:00:00+00:00,2020-06-08T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-487.6157323259755
54,BTC,2020-06-10T19:00:00+00:00,2020-06-08T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,2.2192564189697848
55,ETH,2020-06-10T19:00:00+00:00,2020-06-08T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,14.510323765616917
56,ETH,2020-06-22T02:00:00+00:00,2020-06-22T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,310.78595473566605
57,ETH,2020-07-01T09:00:00+00:00,2020-06-29T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,12.761163123262186
58,BTC,2020-07-04T18:00:00+00:00,2020-06-29T00:00:00+00:00,,True,UNRESOLVED_MARKET_CAP_RANK,UNRESOLVED_MARKET_CAP_RANK,-321.21477601660763
