symbol,tradable_from,tradable_until,membership_start_resolved,membership_end_resolved,tradability_resolved,evidence_source,first_observed_trade,last_observed_trade
BTC,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,2019-08-05T01:00:00+00:00,2024-12-30T19:00:00+00:00
ETH,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,2019-10-08T02:00:00+00:00,2024-12-31T14:00:00+00:00
SOL,2021-09-17T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,2023-01-29T17:00:00+00:00,2024-12-16T00:00:00+00:00
LINK,2020-09-22T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,2021-05-03T18:00:00+00:00,2024-12-16T10:00:00+00:00
AVAX,2021-03-21T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,2021-10-19T04:00:00+00:00,2024-12-17T10:00:00+00:00
NEAR,2021-09-17T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,2022-04-26T01:00:00+00:00,2024-12-17T10:00:00+00:00
XRP,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,,
ADA,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,,
LTC,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,,
ATOM,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,True,True,True,RD16R_DATA_COVERAGE,,
