source_asset,canonical_symbol,exclusion_reason
1inch,1INCH,
aave,AAVE,
ada,ADA,
algo,ALGO,
alpha,ALPHA,
ant,ANT,
atom,ATOM,
avax,AVAX,
avaxc,AVAXC,
avaxx,AVAXX,
bal,BAL,
bat,BAT,
bch,BCH,
bsv,BSV,
btc,BTC,
btg,BTG,
comp,COMP,
cro,CRO,
crv,CRV,
cvc,CVC,
dash,DASH,
dcr,DCR,
dgb,DGB,
doge,DOGE,
dot,DOT,
drgn,DRGN,
elf,ELF,
etc,ETC,
eth,ETH,
flow,FLOW,
ftt,FTT,
fun,FUN,
gas,GAS,
gno,GNO,
gnt,GNT,
grin,GRIN,
hbtc,HBTC,
hedg,HEDG,
ht,HT,
husd,HUSD,
icp,ICP,
knc,KNC,
ldo,LDO,
lend,LEND,
link,LINK,
lpt,LPT,
ltc,LTC,
maid,MAID,
mana,MANA,
mkr,MKR,
near,NEAR,
neo,NEO,
nxm,NXM,
omg,OMG,
pax,PAX,
paxg,PAXG,
pay,PAY,
perp,PERP,
poly,POLY,
powr,POWR,
ppt,PPT,
qash,QASH,
qnt,QNT,
ren,REN,
renbtc,RENBTC,
rep,REP,
snt,SNT,
snx,SNX,
sol,SOL,
srm,SRM,
sushi,SUSHI,
swrv,SWRV,
uma,UMA,
uni,UNI,
usdk,USDK,
vtc,VTC,
wnxm,WNXM,
wtc,WTC,
xaut,XAUT,
xem,XEM,
xlm,XLM,
xmr,XMR,
xrp,XRP,
xtz,XTZ,
xvg,XVG,
yfi,YFI,
zec,ZEC,
zrx,ZRX,
