timestamp,cash,market_value,equity,open_position_count
2023-01-03T00:00:00Z,96915.96388750336,0.0,96915.96388750336,0
2023-01-04T00:00:00Z,96915.96388750336,0.0,96915.96388750336,0
2023-01-05T00:00:00Z,96915.96388750336,0.0,96915.96388750336,0
2023-01-06T00:00:00Z,96915.96388750336,0.0,96915.96388750336,0
2023-01-07T00:00:00Z,96915.96388750336,0.0,96915.96388750336,0
2023-01-08T00:00:00Z,81893.04698357904,14899.18310099345,96792.2300845725,1
2023-01-09T00:00:00Z,81893.04698357904,16022.30366382795,97915.35064740699,1
2023-01-10T00:00:00Z,64808.408220459016,34354.47609436857,99162.88431482759,2
2023-01-11T00:00:00Z,64808.408220459016,34745.180096358425,99553.58831681745,2
2023-01-12T00:00:00Z,64808.408220459016,35531.129728878455,100339.53794933748,2
2023-01-13T00:00:00Z,64808.408220459016,36229.42650393576,101037.83472439478,2
2023-01-14T00:00:00Z,64808.408220459016,37682.86523801406,102491.27345847308,2
2023-01-15T00:00:00Z,64808.408220459016,40285.71572701502,105094.12394747403,2
2023-01-16T00:00:00Z,64808.408220459016,39845.26377155458,104653.6719920136,2
2023-01-17T00:00:00Z,64808.408220459016,39412.493506640385,104220.90172709941,2
2023-01-18T00:00:00Z,64808.408220459016,39643.62176409028,104452.0299845493,2
2023-01-19T00:00:00Z,64808.408220459016,37559.9756627888,102368.38388324782,2
2023-01-20T00:00:00Z,64808.408220459016,38710.22392726074,103518.63214771976,2
2023-01-21T00:00:00Z,64808.408220459016,41743.25514082644,106551.66336128546,2
2023-01-22T00:00:00Z,64808.408220459016,41896.154436977464,106704.56265743647,2
2023-01-23T00:00:00Z,64808.408220459016,42211.68731863462,107020.09553909363,2
2023-01-24T00:00:00Z,64808.408220459016,43387.649587463995,108196.057807923,2
2023-01-25T00:00:00Z,64808.408220459016,41195.94266835173,106004.35088881075,2
2023-01-26T00:00:00Z,64808.408220459016,42717.73170761882,107526.13992807784,2
2023-01-27T00:00:00Z,64808.408220459016,43309.15284063459,108117.56106109361,2
2023-01-28T00:00:00Z,64808.408220459016,44269.20347425629,109077.6116947153,2
2023-01-29T00:00:00Z,64808.408220459016,43186.62001169015,107995.02823214917,2
2023-01-30T00:00:00Z,64808.408220459016,44787.880074024986,109596.288294484,2
2023-01-31T00:00:00Z,64808.408220459016,41932.13371845451,106740.54193891352,2
2023-02-01T00:00:00Z,64808.408220459016,43148.50764784469,107956.91586830371,2
2023-02-02T00:00:00Z,64808.408220459016,44232.01008084371,109040.41830130274,2
2023-02-03T00:00:00Z,64808.408220459016,44568.49384462768,109376.9020650867,2
2023-02-04T00:00:00Z,64808.408220459016,46489.5509017998,111297.95912225882,2
2023-02-05T00:00:00Z,64808.408220459016,45806.2600327064,110614.66825316541,2
2023-02-06T00:00:00Z,64808.408220459016,44589.80169989588,109398.20992035489,2
2023-02-07T00:00:00Z,64808.408220459016,43519.452792207485,108327.8610126665,2
2023-02-08T00:00:00Z,64808.408220459016,46045.15570683182,110853.56392729084,2
2023-02-09T00:00:00Z,64808.408220459016,45124.55860833822,109932.96682879725,2
2023-02-10T00:00:00Z,64808.408220459016,41543.47841721673,106351.88663767575,2
2023-02-11T00:00:00Z,86821.99510890301,19284.893787246787,106106.88889614979,1
2023-02-12T00:00:00Z,106069.04658745369,0.0,106069.04658745369,0
2023-02-13T00:00:00Z,106069.04658745369,0.0,106069.04658745369,0
2023-02-14T00:00:00Z,106069.04658745369,0.0,106069.04658745369,0
2023-02-15T00:00:00Z,106069.04658745369,0.0,106069.04658745369,0
2023-02-16T00:00:00Z,106069.04658745369,0.0,106069.04658745369,0
2023-02-17T00:00:00Z,79027.58172951388,25665.381996587985,104692.96372610187,2
2023-02-18T00:00:00Z,79027.58172951388,26786.935774446963,105814.51750396084,2
2023-02-19T00:00:00Z,79027.58172951388,26891.080301865317,105918.66203137921,2
2023-02-20T00:00:00Z,79027.58172951388,26470.661862330217,105498.2435918441,2
2023-02-21T00:00:00Z,79027.58172951388,26973.621702479315,106001.2034319932,2
2023-02-22T00:00:00Z,79027.58172951388,26430.627671824317,105458.2094013382,2
2023-02-23T00:00:00Z,79027.58172951388,26158.03569385167,105185.61742336556,2
2023-02-24T00:00:00Z,79027.58172951388,25829.651675218658,104857.23340473254,2
2023-02-25T00:00:00Z,88180.80056947829,15991.750141235856,104172.55071071415,1
2023-02-26T00:00:00Z,103893.93713984641,0.0,103893.93713984641,0
2023-02-27T00:00:00Z,103893.93713984641,0.0,103893.93713984641,0
2023-02-28T00:00:00Z,103893.93713984641,0.0,103893.93713984641,0
2023-03-01T00:00:00Z,103893.93713984641,0.0,103893.93713984641,0
2023-03-02T00:00:00Z,103893.93713984641,0.0,103893.93713984641,0
2023-03-03T00:00:00Z,103893.93713984641,0.0,103893.93713984641,0
2023-03-04T00:00:00Z,103893.93713984641,0.0,103893.93713984641,0
