score_bin,candidate_count,accepted_count,mean_forward_20_bar_return
LT_50,2869,0,0.030707272833068112
50_60,389,0,0.08233301716879862
60_70,161,21,0.07216942268765959
70_80,29,10,0.06273835092485835
80_90,4,4,0.028686330614442285
90_100,0,0,0.0
