timestamp,symbol,quantity,close,position_value
2023-01-08T00:00:00Z,ADA/USDT,53843.45188333563,0.276713,14899.18310099345
2023-01-09T00:00:00Z,ADA/USDT,53843.45188333563,0.297572,16022.30366382795
2023-01-10T00:00:00Z,ADA/USDT,53843.45188333563,0.317205,17079.412154653477
2023-01-10T00:00:00Z,DOT/USDT,3535.5526779466427,4.8861,17275.06393971509
2023-01-11T00:00:00Z,ADA/USDT,53843.45188333563,0.322255,17351.321586664322
2023-01-11T00:00:00Z,DOT/USDT,3535.5526779466427,4.9197,17393.8585096941
2023-01-12T00:00:00Z,ADA/USDT,53843.45188333563,0.322905,17386.31983038849
2023-01-12T00:00:00Z,DOT/USDT,3535.5526779466427,5.1321,18144.809898489966
2023-01-13T00:00:00Z,ADA/USDT,53843.45188333563,0.329242,17727.525784973186
2023-01-13T00:00:00Z,DOT/USDT,3535.5526779466427,5.2331,18501.900718962577
2023-01-14T00:00:00Z,ADA/USDT,53843.45188333563,0.345421,18598.658992993674
2023-01-14T00:00:00Z,DOT/USDT,3535.5526779466427,5.3978,19084.20624502039
2023-01-15T00:00:00Z,ADA/USDT,53843.45188333563,0.35244,18976.586181762807
2023-01-15T00:00:00Z,DOT/USDT,3535.5526779466427,6.0271,21309.12954525221
2023-01-16T00:00:00Z,ADA/USDT,53843.45188333563,0.350616,18878.375725527603
2023-01-16T00:00:00Z,DOT/USDT,3535.5526779466427,5.9303,20966.888046026976
2023-01-17T00:00:00Z,ADA/USDT,53843.45188333563,0.350353,18864.21489768229
2023-01-17T00:00:00Z,DOT/USDT,3535.5526779466427,5.8119,20548.27860895809
2023-01-18T00:00:00Z,ADA/USDT,53843.45188333563,0.345433,18599.305114416275
2023-01-18T00:00:00Z,DOT/USDT,3535.5526779466427,5.9522,21044.31664967401
2023-01-19T00:00:00Z,ADA/USDT,53843.45188333563,0.326598,17585.16369819365
2023-01-19T00:00:00Z,DOT/USDT,3535.5526779466427,5.6497,19974.81196459515
2023-01-20T00:00:00Z,ADA/USDT,53843.45188333563,0.337934,18195.53306874314
2023-01-20T00:00:00Z,DOT/USDT,3535.5526779466427,5.8024,20514.6908585176
2023-01-21T00:00:00Z,ADA/USDT,53843.45188333563,0.365018,19653.829119551403
2023-01-21T00:00:00Z,DOT/USDT,3535.5526779466427,6.2478,22089.426021275034
2023-01-22T00:00:00Z,ADA/USDT,53843.45188333563,0.36858,19845.619495159848
2023-01-22T00:00:00Z,DOT/USDT,3535.5526779466427,6.2368,22050.53494181762
2023-01-23T00:00:00Z,ADA/USDT,53843.45188333563,0.376351,20264.036959745245
2023-01-23T00:00:00Z,DOT/USDT,3535.5526779466427,6.2077,21947.650358889372
2023-01-24T00:00:00Z,ADA/USDT,53843.45188333563,0.374848,20183.110251564594
2023-01-24T00:00:00Z,DOT/USDT,3535.5526779466427,6.5632,23204.539335899404
2023-01-25T00:00:00Z,ADA/USDT,53843.45188333563,0.358701,19313.70003400437
2023-01-25T00:00:00Z,DOT/USDT,3535.5526779466427,6.1892,21882.24263434736
2023-01-26T00:00:00Z,ADA/USDT,53843.45188333563,0.373188,20093.730121438257
2023-01-26T00:00:00Z,DOT/USDT,3535.5526779466427,6.399,22624.001586180566
2023-01-27T00:00:00Z,ADA/USDT,53843.45188333563,0.379661,20442.258785479087
2023-01-27T00:00:00Z,DOT/USDT,3535.5526779466427,6.4677,22866.8940551555
2023-01-28T00:00:00Z,ADA/USDT,53843.45188333563,0.389881,20992.538863726775
2023-01-28T00:00:00Z,DOT/USDT,3535.5526779466427,6.5836,23276.664610529515
2023-01-29T00:00:00Z,ADA/USDT,53843.45188333563,0.381811,20558.022207028258
2023-01-29T00:00:00Z,DOT/USDT,3535.5526779466427,6.4003,22628.597804661895
2023-01-30T00:00:00Z,ADA/USDT,53843.45188333563,0.397728,21415.048430655315
2023-01-30T00:00:00Z,DOT/USDT,3535.5526779466427,6.6108,23372.831643369667
2023-01-31T00:00:00Z,ADA/USDT,53843.45188333563,0.372492,20056.255078927454
2023-01-31T00:00:00Z,DOT/USDT,3535.5526779466427,6.1874,21875.878639527058
2023-02-01T00:00:00Z,ADA/USDT,53843.45188333563,0.390191,21009.230333810614
