variant_id,universe_id,cost_multiplier,net_return,monthly_geometric_return,profit_factor,maximum_drawdown,trade_count,positive_year_count,year_returns_json,minimum_cash,turnover_on_initial_equity,total_fees
RD19_P2_V01,C2,1.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V01,C2,2.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V01,D2,1.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V01,D2,2.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V01,E2,1.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V01,E2,2.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V02,C2,1.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V02,C2,2.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V02,D2,1.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V02,D2,2.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
RD19_P2_V02,E2,1.0,0.0,0.0,,0.0,0,0,"{""2019"": 0.0, ""2020"": 0.0, ""2021"": 0.0, ""2022"": 0.0, ""2023"": 0.0}",100000.0,0.0,0.0
