policy_id,portfolio_id,universe_id,cost_multiplier,entry_market_context,entry_governor_state,family_bucket,trade_count,net_pnl
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,1.0,SUPPORTIVE,NONE,RS,36,36134.32606944459
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,MIXED,NONE,MB,193,-4848.992248958491
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,MIXED,NONE,OVERLAP,19,-4686.204588238665
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,STRESSED,NONE,MB,27,-7392.048919895064
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,STRESSED,NONE,OVERLAP,6,-1692.4822169705028
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,SUPPORTIVE,NONE,MB,91,4552.486893249148
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,SUPPORTIVE,NONE,OVERLAP,4,-1704.5924338305779
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,SUPPORTIVE,NONE,RS,36,31628.189002095343
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,MIXED,NONE,MB,188,-213.5348866057467
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,MIXED,NONE,OVERLAP,19,-4870.687497311226
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,STRESSED,NONE,MB,27,-6106.293480461715
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,STRESSED,NONE,OVERLAP,6,-1694.6060473381667
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,SUPPORTIVE,NONE,MB,93,21206.47847466328
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,SUPPORTIVE,NONE,OVERLAP,5,-1874.3623847106821
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,SUPPORTIVE,NONE,RS,31,18567.81739839127
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,MIXED,NONE,MB,188,-4434.394195371997
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,MIXED,NONE,OVERLAP,19,-5155.477701906297
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,STRESSED,NONE,MB,27,-6490.375738142689
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,STRESSED,NONE,OVERLAP,6,-1651.2953564607683
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,SUPPORTIVE,NONE,MB,93,15550.943275520951
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,SUPPORTIVE,NONE,OVERLAP,5,-1888.8578099220756
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,SUPPORTIVE,NONE,RS,31,15957.872972612331
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,C2,1.0,MIXED,CAUTION,MB,26,2382.157021929496
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,C2,1.0,SUPPORTIVE,OPEN,MB,140,19216.147964682656
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,C2,2.0,MIXED,CAUTION,MB,26,1689.3864839100731
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,C2,2.0,SUPPORTIVE,OPEN,MB,140,11869.930028085848
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,D2,1.0,MIXED,CAUTION,MB,28,2316.0931585081194
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,D2,1.0,SUPPORTIVE,OPEN,MB,141,23275.958325398868
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,D2,2.0,MIXED,CAUTION,MB,28,1573.8204806201625
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,D2,2.0,SUPPORTIVE,OPEN,MB,141,15834.84511745788
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,E2,1.0,MIXED,CAUTION,MB,26,1222.1533779487352
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,E2,1.0,SUPPORTIVE,OPEN,MB,141,26511.2981676133
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,E2,2.0,MIXED,CAUTION,MB,26,570.9154981258226
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,E2,2.0,SUPPORTIVE,OPEN,MB,141,18862.162826479187
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,1.0,SUPPORTIVE,OPEN,RS,100,20052.12479647677
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SUPPORTIVE,OPEN,RS,100,14790.511831197175
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,D2,1.0,SUPPORTIVE,OPEN,RS,101,32328.719254319774
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,D2,2.0,SUPPORTIVE,OPEN,RS,101,26565.025081912303
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,E2,1.0,SUPPORTIVE,OPEN,RS,103,25541.772711422036
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,E2,2.0,SUPPORTIVE,OPEN,RS,103,19880.98365940483
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,MIXED,CAUTION,MB,12,4844.2801902587335
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,SUPPORTIVE,OPEN,MB,116,12685.95985707624
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,SUPPORTIVE,OPEN,OVERLAP,4,-645.7476003251418
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,SUPPORTIVE,OPEN,RS,37,3614.4170051350147
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2.0,MIXED,CAUTION,MB,12,4367.085518367167
