policy_id,portfolio_id,universe_id,governor_next_state,market_context,family_bucket,signal_count,signal_fraction
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,C2,CAUTION,MIXED,MB,119,0.09304143862392494
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,C2,LOCKED,MIXED,MB,557,0.4354964816262705
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,C2,LOCKED,STRESSED,MB,161,0.12587959343236904
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,C2,OPEN,SUPPORTIVE,MB,442,0.3455824863174355
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,D2,CAUTION,MIXED,MB,125,0.09593246354566386
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,D2,LOCKED,MIXED,MB,577,0.44282425172678436
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,D2,LOCKED,STRESSED,MB,154,0.11818879508825787
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,D2,OPEN,SUPPORTIVE,MB,447,0.3430544896392939
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,E2,CAUTION,MIXED,MB,120,0.09287925696594428
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,E2,LOCKED,MIXED,MB,565,0.4373065015479876
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,E2,LOCKED,STRESSED,MB,158,0.12229102167182662
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,MOMENTUM_BREAKOUT,E2,OPEN,SUPPORTIVE,MB,449,0.3475232198142415
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,CAUTION,MIXED,RS,53,0.050620821394460364
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,LOCKED,MIXED,RS,399,0.38108882521489973
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,LOCKED,STRESSED,RS,354,0.33810888252148996
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,OPEN,SUPPORTIVE,RS,241,0.23018147086914995
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,D2,CAUTION,MIXED,RS,64,0.05931417979610751
