policy_id,universe_id,stress_cost_multiplier,signal_count,distinct_signal_pairs,mean_signal_membership_rank,membership_snapshot_count,mean_membership_size,distinct_membership_pairs,admitted_entries,suppressed_entries,same_pair_open,position_slots_full,capacity_capped_entries,trade_count,net_return,profit_factor,maximum_drawdown,turnover,diagnostic_only,selection_influence
FAMILY_QUALITY_CONTROL_EXITS,C2,2.0,2249,21,3.647398843930636,105,6.0,21,365,438,1323,123,3,365,0.006331656758773008,1.005202811385666,0.3870329545351327,70.59992746859801,True,False
FAMILY_QUALITY_CONTROL_EXITS,D2,2.0,2306,19,3.7935819601040763,105,6.0,19,376,426,1376,128,6,376,0.15856355487451257,1.1288615663413257,0.3870329545351327,73.25324161163013,True,False
FAMILY_QUALITY_CONTROL_EXITS,E2,2.0,2289,21,3.7474879860200963,105,6.0,21,369,446,1345,129,4,369,0.11888415446329481,1.097726096891829,0.3870329545351327,71.71536282713186,True,False
STRESSED_CONTEXT_MB_EXCLUSION,C2,2.0,2249,21,3.647398843930636,105,6.0,21,351,910,884,104,4,351,0.028180376929772377,1.023147422878648,0.3689458037623157,71.3432471947013,True,False
STRESSED_CONTEXT_MB_EXCLUSION,D2,2.0,2306,19,3.7935819601040763,105,6.0,19,361,914,914,117,7,361,0.18269814014879926,1.1482211300204437,0.3689458037623157,73.97251481445329,True,False
STRESSED_CONTEXT_MB_EXCLUSION,E2,2.0,2289,21,3.7474879860200963,105,6.0,21,357,930,887,115,5,357,0.11925414223956565,1.0974282705329703,0.3689458037623157,72.48723582883774,True,False
SUPPORTIVE_ONLY_ALL_FAMILIES,C2,2.0,2249,21,3.647398843930636,105,6.0,21,163,1586,465,35,5,163,0.10906836878632076,1.1271174638103123,0.19536680096212647,54.29225861481242,True,False
SUPPORTIVE_ONLY_ALL_FAMILIES,D2,2.0,2306,19,3.7935819601040763,105,6.0,19,162,1616,489,39,8,162,0.3171695394512526,1.3854782664016363,0.19536680096212647,54.80863704862846,True,False
SUPPORTIVE_ONLY_ALL_FAMILIES,E2,2.0,2289,21,3.7474879860200963,105,6.0,21,165,1615,469,40,6,165,0.19400424245826575,1.2209632023348884,0.21601344020135577,54.6310062350129,True,False
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2,2.0,2249,21,3.647398843930636,105,6.0,21,169,1506,527,47,5,169,0.12028481914278322,1.138721406757252,0.1953668009621261,55.109518285129646,True,False
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,D2,2.0,2306,19,3.7935819601040763,105,6.0,19,172,1527,554,53,8,172,0.3355828611594971,1.3880285202545797,0.1953668009621261,56.868304326863885,True,False
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,E2,2.0,2289,21,3.7474879860200963,105,6.0,21,171,1534,530,54,6,171,0.20741610277952183,1.2342084736634538,0.19669431372912596,55.62548323939385,True,False
