policy_id,portfolio_id,universe_id,cost_multiplier,timestamp,equity,cash,gross_exposure,gross_exposure_fraction,open_positions,active_degraded_rs_positions,governor_state
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-01 23:00:00+00:00,99985.73760690913,90988.75,8996.987606909126,0.0899827097568706,1,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-02 23:00:00+00:00,99954.67712682835,81963.49805824111,17991.179068587233,0.17999336885215458,2,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-03 23:00:00+00:00,99365.16160666323,81963.49805824111,17401.66354842212,0.1751284179188131,2,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-04 23:00:00+00:00,99442.5693264721,90481.95205979135,8960.61726668076,0.09010846488954705,1,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-05 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-06 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-07 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-08 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-09 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-10 23:00:00+00:00,99375.13689441826,99375.13689441826,0.0,0.0,0,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-11 23:00:00+00:00,99399.96283248173,90420.19487102,8979.767961461734,0.09033975170187229,1,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-12 23:00:00+00:00,100887.21044946965,54396.98245015101,46490.227999318646,0.46081389099963005,5,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-13 23:00:00+00:00,98628.24249467958,54396.98245015101,44231.26004452857,0.44846444513005074,5,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-14 23:00:00+00:00,99542.50782994303,54396.98245015101,45145.52537979202,0.4535301185792705,5,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-15 23:00:00+00:00,99330.50996615211,80594.06887161815,18736.441094533962,0.18862725159589533,2,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-16 23:00:00+00:00,99280.88729840859,80594.06887161815,18686.818426790447,0.18822171049522826,2,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-17 23:00:00+00:00,98282.88123220977,80594.06887161815,17688.81236059161,0.1799785693990679,2,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-18 23:00:00+00:00,97980.89082400841,89285.16584342516,8695.724980583253,0.08874919290336279,1,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-19 23:00:00+00:00,97752.2095365466,97752.2095365466,0.0,0.0,0,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-20 23:00:00+00:00,96822.59796194427,80129.87371805597,16692.724243888297,0.1724052503781122,2,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-21 23:00:00+00:00,94392.42584792881,80129.87371805597,14262.552129872842,0.15109848064346357,2,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-22 23:00:00+00:00,93692.79874098505,80129.87371805597,13562.925022929085,0.14475952480002188,2,0.0,
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2022-01-23 23:00:00+00:00,93912.34837909135,93912.34837909135,0.0,0.0,0,0.0,
