policy_id,portfolio_id,universe_id,cost_multiplier,pair,entry_time,first_lock_context_time,first_lock_action_time,exit_time,mark_at_lock_open,exit_price,post_lock_net_contribution,final_trade_net_pnl
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-03 22:00:00+00:00,2022-01-03 23:00:00+00:00,2022-01-04 19:00:00+00:00,108.175,107.591,-56.957119641331694,-492.7959984497628
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,ETH-USDT,2022-01-02 18:00:00+00:00,2022-01-03 22:00:00+00:00,2022-01-03 23:00:00+00:00,2022-01-05 18:00:00+00:00,3723.14,3792.5,151.7182030004402,-132.0671071319737
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,ETH-USDT,2022-02-09 21:00:00+00:00,2022-02-11 12:00:00+00:00,2022-02-11 13:00:00+00:00,2022-02-12 21:00:00+00:00,3088.1,2953.22,-763.3844169454776,-1661.0618219422045
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,XRP-USDT,2022-03-27 23:00:00+00:00,2022-04-01 15:00:00+00:00,2022-04-01 16:00:00+00:00,2022-04-03 23:00:00+00:00,0.82803,0.84535,297.8622894626785,-168.72197178919888
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,AVAX-USDT,2022-03-29 12:00:00+00:00,2022-04-01 15:00:00+00:00,2022-04-01 16:00:00+00:00,2022-04-05 12:00:00+00:00,96.689,95.558,-232.80907528729463,270.3745037514084
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,SOL-USDT,2022-03-30 15:00:00+00:00,2022-04-01 15:00:00+00:00,2022-04-01 16:00:00+00:00,2022-04-06 15:00:00+00:00,132.627,119.093,-2048.966954835672,465.3413337488618
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,ATOM-USDT,2022-04-03 20:00:00+00:00,2022-04-05 10:00:00+00:00,2022-04-05 11:00:00+00:00,2022-04-06 20:00:00+00:00,30.4943,27.4917,-1694.4077542584464,-2519.31337428889
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,ETH-USDT,2022-04-04 00:00:00+00:00,2022-04-05 10:00:00+00:00,2022-04-05 11:00:00+00:00,2022-04-07 00:00:00+00:00,3508.97,3188.37,-1646.1487374582732,-1849.6739569026547
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,BTC-USDT,2022-07-21 11:00:00+00:00,2022-07-21 16:00:00+00:00,2022-07-21 17:00:00+00:00,2022-07-24 11:00:00+00:00,22638.0,22618.4,-34.332983533938595,-318.731152324578
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,ETH-USDT,2022-07-21 03:00:00+00:00,2022-07-21 16:00:00+00:00,2022-07-21 17:00:00+00:00,2022-07-28 03:00:00+00:00,1510.72,1615.47,1109.6306416660127,873.1524650604171
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,ADA-USDT,2022-07-21 09:00:00+00:00,2022-07-21 16:00:00+00:00,2022-07-21 17:00:00+00:00,2022-07-28 09:00:00+00:00,0.4826,0.500097,566.0402273434338,289.9369161259766
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,ADA-USDT,2022-10-29 18:00:00+00:00,2022-11-01 16:00:00+00:00,2022-11-01 17:00:00+00:00,2022-11-01 18:00:00+00:00,0.40327,0.401296,-99.11408261978647,-1202.5026222987865
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,LUNC-USDT,2022-10-30 10:00:00+00:00,2022-11-01 16:00:00+00:00,2022-11-01 17:00:00+00:00,2022-11-02 10:00:00+00:00,0.00023691,0.0002222,-999.3225515871817,-2282.821359182915
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,1.0,LTC-USDT,2023-01-12 01:00:00+00:00,2023-01-17 06:00:00+00:00,2023-01-17 07:00:00+00:00,2023-01-19 01:00:00+00:00,86.048,82.617,-644.1036644205044,-313.5404159027488
