policy_id,portfolio_id,universe_id,market_context,family_bucket,governor_next_state,admission_outcome,signal_count
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,MIXED,MB,,ADMIT,676
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,STRESSED,MB,,ADMIT,60
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,STRESSED,MB,,SUPPRESS,101
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,SUPPORTIVE,MB,,ADMIT,442
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,MIXED,MB,,ADMIT,702
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,STRESSED,MB,,ADMIT,57
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,STRESSED,MB,,SUPPRESS,97
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,SUPPORTIVE,MB,,ADMIT,447
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,MIXED,MB,,ADMIT,685
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,STRESSED,MB,,ADMIT,56
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,STRESSED,MB,,SUPPRESS,102
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,SUPPORTIVE,MB,,ADMIT,449
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,MIXED,RS,,SUPPRESS,452
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,STRESSED,RS,,SUPPRESS,354
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,SUPPORTIVE,RS,,ADMIT,241
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,MIXED,RS,,SUPPRESS,463
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,STRESSED,RS,,SUPPRESS,353
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,SUPPORTIVE,RS,,ADMIT,263
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,E2,MIXED,RS,,SUPPRESS,465
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,E2,STRESSED,RS,,SUPPRESS,362
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,E2,SUPPORTIVE,RS,,ADMIT,246
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,MIXED,MB,,ADMIT,630
