policy_id,portfolio_id,universe_id,context_time,action_time,prior_state,next_state,market_context,transition_reason
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,OPEN,CAUTION,MIXED,OPEN_MIXED_TO_CAUTION
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-01-03 22:00:00+00:00,2022-01-03 23:00:00+00:00,CAUTION,LOCKED,STRESSED,STRESSED_LOCKS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-02-09 20:00:00+00:00,2022-02-09 21:00:00+00:00,LOCKED,OPEN,SUPPORTIVE,SUPPORTIVE_OPENS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-02-10 18:00:00+00:00,2022-02-10 19:00:00+00:00,OPEN,CAUTION,MIXED,OPEN_MIXED_TO_CAUTION
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-02-11 12:00:00+00:00,2022-02-11 13:00:00+00:00,CAUTION,LOCKED,STRESSED,STRESSED_LOCKS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-02-14 23:00:00+00:00,2022-02-15 00:00:00+00:00,LOCKED,OPEN,SUPPORTIVE,SUPPORTIVE_OPENS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-02-23 09:00:00+00:00,2022-02-23 10:00:00+00:00,OPEN,CAUTION,MIXED,OPEN_MIXED_TO_CAUTION
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-02-23 18:00:00+00:00,2022-02-23 19:00:00+00:00,CAUTION,LOCKED,STRESSED,STRESSED_LOCKS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-03-22 04:00:00+00:00,2022-03-22 05:00:00+00:00,LOCKED,OPEN,SUPPORTIVE,SUPPORTIVE_OPENS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-03-22 19:00:00+00:00,2022-03-22 20:00:00+00:00,OPEN,CAUTION,MIXED,OPEN_MIXED_TO_CAUTION
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-03-22 22:00:00+00:00,2022-03-22 23:00:00+00:00,CAUTION,OPEN,SUPPORTIVE,SUPPORTIVE_OPENS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-03-27 13:00:00+00:00,2022-03-27 14:00:00+00:00,OPEN,CAUTION,MIXED,OPEN_MIXED_TO_CAUTION
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-03-27 21:00:00+00:00,2022-03-27 22:00:00+00:00,CAUTION,OPEN,SUPPORTIVE,SUPPORTIVE_OPENS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-04-01 15:00:00+00:00,2022-04-01 16:00:00+00:00,OPEN,LOCKED,STRESSED,STRESSED_LOCKS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-04-03 18:00:00+00:00,2022-04-03 19:00:00+00:00,LOCKED,OPEN,SUPPORTIVE,SUPPORTIVE_OPENS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-04-05 10:00:00+00:00,2022-04-05 11:00:00+00:00,OPEN,LOCKED,STRESSED,STRESSED_LOCKS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-07-21 02:00:00+00:00,2022-07-21 03:00:00+00:00,LOCKED,OPEN,SUPPORTIVE,SUPPORTIVE_OPENS_ADMISSIONS
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-07-21 03:00:00+00:00,2022-07-21 04:00:00+00:00,OPEN,CAUTION,MIXED,OPEN_MIXED_TO_CAUTION
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2022-07-21 08:00:00+00:00,2022-07-21 09:00:00+00:00,CAUTION,OPEN,SUPPORTIVE,SUPPORTIVE_OPENS_ADMISSIONS
