policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,suppressed_entries,time_failure_exits,max_hold_exits,governor_transition_count,governor_state_OPEN,governor_state_CAUTION,governor_state_LOCKED,governor_locked_suppressions_MB,governor_locked_suppressions_RS,governor_locked_suppressions_OVERLAP,governor_reason_STRESSED_LOCKS_ADMISSIONS,governor_reason_SUPPORTIVE_OPENS_ADMISSIONS,governor_reason_OPEN_MIXED_TO_CAUTION,governor_reason_CAUTION_MIXED_STAYS_CAUTION,governor_reason_LOCKED_MIXED_STAYS_LOCKED,governor_reason_UNAVAILABLE_PERSISTS_GOVERNOR_STATE,admission_SUPPORTIVE_MB_ADMIT,admission_SUPPORTIVE_MB_SUPPRESS,admission_SUPPORTIVE_RS_ADMIT,admission_SUPPORTIVE_RS_SUPPRESS,admission_SUPPORTIVE_OVERLAP_ADMIT,admission_SUPPORTIVE_OVERLAP_SUPPRESS,admission_MIXED_MB_ADMIT,admission_MIXED_MB_SUPPRESS,admission_MIXED_RS_ADMIT,admission_MIXED_RS_SUPPRESS,admission_MIXED_OVERLAP_ADMIT,admission_MIXED_OVERLAP_SUPPRESS,admission_STRESSED_MB_ADMIT,admission_STRESSED_MB_SUPPRESS,admission_STRESSED_RS_ADMIT,admission_STRESSED_RS_SUPPRESS,admission_STRESSED_OVERLAP_ADMIT,admission_STRESSED_OVERLAP_SUPPRESS,admission_UNAVAILABLE_MB_ADMIT,admission_UNAVAILABLE_MB_SUPPRESS,admission_UNAVAILABLE_RS_ADMIT,admission_UNAVAILABLE_RS_SUPPRESS,admission_UNAVAILABLE_OVERLAP_ADMIT,admission_UNAVAILABLE_OVERLAP_SUPPRESS,family_quality_suppressed_entries,risk_off_or_router_suppressed_entries,profit_giveback_exits,rs_degraded_set_count,rs_degraded_clear_count,rs_degraded_persist_count,rs_unevaluable_checkpoint_count,atomic_replacement_count,atomic_replacement_incoming_mb_supported,atomic_replacement_incoming_rs_only,replacement_no_candidate,replacement_entry_infeasible,degraded_positions_held_without_replacement,entry_context_SUPPORTIVE,entry_context_MIXED,entry_context_STRESSED,entry_context_UNAVAILABLE
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,2249,0,0,1323,123,0,0,4,0,365,438,197,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,407.0,331.0,0.0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,2.0,2249,0,0,1323,123,0,0,3,0,365,438,197,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,407.0,331.0,0.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,745,103,0,0,4,0,354,77,191,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,264.0,115.0,0.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,745,103,0,0,3,0,354,77,191,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,264.0,115.0,0.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,208,2,0,0,3,0,100,737,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,414.0,323.0,0.0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,208,2,0,0,3,0,100,737,52,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,414.0,323.0,0.0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,1.0,2306,0,0,1376,128,0,0,7,0,376,426,205,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,420.0,321.0,0.0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,2306,0,0,1376,128,0,0,6,0,376,426,205,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,420.0,321.0,0.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,755,111,0,0,7,0,364,73,199,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,283.0,110.0,0.0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,755,111,0,0,5,0,364,73,199,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,283.0,110.0,0.0
