cost_multiplier,floor_type,control_value,dynamic_value,same_value,control_timestamp,dynamic_timestamp,same_timestamp,same_open_trade_ids,same_event_signature,explanation
1.0,MINIMUM_CASH,4924.12494235066,4924.12494235066,True,2020-02-23 04:00:00+00:00,2020-02-23 04:00:00+00:00,True,True,True,SAME_VALUE_SHARED_TIMESTAMP_AND_EVENT_STATE
1.0,MINIMUM_EQUITY,95178.94982197955,95178.94982197955,True,2020-02-05 08:00:00+00:00,2020-02-05 08:00:00+00:00,True,True,True,SAME_VALUE_SHARED_TIMESTAMP_AND_EVENT_STATE
1.5,MINIMUM_CASH,3982.972667682734,3982.972667682734,True,2020-02-23 04:00:00+00:00,2020-02-23 04:00:00+00:00,True,True,True,SAME_VALUE_SHARED_TIMESTAMP_AND_EVENT_STATE
1.5,MINIMUM_EQUITY,94429.99096855147,94429.99096855147,True,2020-02-05 08:00:00+00:00,2020-02-05 08:00:00+00:00,True,True,True,SAME_VALUE_SHARED_TIMESTAMP_AND_EVENT_STATE
2.0,MINIMUM_CASH,3041.820393014721,-875.6440435596014,False,2020-02-23 04:00:00+00:00,2023-12-03 23:00:00+00:00,False,False,False,DIFFERENT_FLOOR_VALUE
2.0,MINIMUM_EQUITY,93681.03211512335,93681.03211512335,True,2020-02-05 08:00:00+00:00,2020-02-05 08:00:00+00:00,True,True,True,SAME_VALUE_SHARED_TIMESTAMP_AND_EVENT_STATE
3.0,MINIMUM_CASH,-28190.508184892045,-30938.975644909144,False,2024-12-16 00:00:00+00:00,2024-02-11 04:00:00+00:00,False,False,False,DIFFERENT_FLOOR_VALUE
3.0,MINIMUM_EQUITY,92183.11440826714,92183.11440826714,True,2020-02-05 08:00:00+00:00,2020-02-05 08:00:00+00:00,True,True,True,SAME_VALUE_SHARED_TIMESTAMP_AND_EVENT_STATE
