scope,cost_multiplier,floor_type,floor_timestamp,offset_steps,timestamp,cash_before_events,exit_notional,exit_fees,entry_notional,entry_fees,cash,free_cash,reserved_cash,market_value,equity,open_positions,gross_exposure,cumulative_fees,cash_identity_error,equity_identity_error,entering_trade_ids,exiting_trade_ids,open_trade_ids,open_symbols,drawdown
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,-6,2020-02-22 22:00:00+00:00,104924.12494235067,0.0,0.0,0.0,0.0,104924.12494235067,104924.12494235067,0.0,0.0,104924.12494235067,0,0.0,1782.4044494357956,0.0,0.0,,,,,-0.05164752410677398
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,-5,2020-02-22 23:00:00+00:00,104924.12494235067,0.0,0.0,0.0,0.0,104924.12494235067,104924.12494235067,0.0,0.0,104924.12494235067,0,0.0,1782.4044494357956,0.0,0.0,,,,,-0.05164752410677398
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,-4,2020-02-23 00:00:00+00:00,104924.12494235067,0.0,0.0,0.0,0.0,104924.12494235067,104924.12494235067,0.0,0.0,104924.12494235067,0,0.0,1782.4044494357956,0.0,0.0,,,,,-0.05164752410677398
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,-3,2020-02-23 01:00:00+00:00,104924.12494235067,0.0,0.0,0.0,0.0,104924.12494235067,104924.12494235067,0.0,0.0,104924.12494235067,0,0.0,1782.4044494357956,0.0,0.0,,,,,-0.05164752410677398
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,-2,2020-02-23 02:00:00+00:00,104924.12494235067,0.0,0.0,0.0,0.0,104924.12494235067,104924.12494235067,0.0,0.0,104924.12494235067,0,0.0,1782.4044494357956,0.0,0.0,,,,,-0.05164752410677398
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,-1,2020-02-23 03:00:00+00:00,104924.12494235067,0.0,0.0,0.0,0.0,104924.12494235067,104924.12494235067,0.0,0.0,104924.12494235067,0,0.0,1782.4044494357956,0.0,0.0,,,,,-0.05164752410677398
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,0,2020-02-23 04:00:00+00:00,104924.12494235067,0.0,0.0,99900.09990009991,99.90009990009992,4924.12494235066,4924.12494235066,0.0,99900.09990009991,104824.22484245058,2,0.9530249334087463,1882.3045493358957,7.275957614183426e-12,0.0,RD16L-V3-000022|RD16L-V3-000023,,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,-0.052550467134740875
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,1,2020-02-23 05:00:00+00:00,4924.12494235066,0.0,0.0,0.0,0.0,4924.12494235066,4924.12494235066,0.0,100251.8839688429,105176.00891119355,2,0.9531820517499539,1882.3045493358957,0.0,0.0,,,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,-0.04937088100280518
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,2,2020-02-23 06:00:00+00:00,4924.12494235066,0.0,0.0,0.0,0.0,4924.12494235066,4924.12494235066,0.0,100895.99451895733,105820.119461308,2,0.9534670252933222,1882.3045493358957,0.0,0.0,,,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,-0.04354911374684178
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,3,2020-02-23 07:00:00+00:00,4924.12494235066,0.0,0.0,0.0,0.0,4924.12494235066,4924.12494235066,0.0,101464.7402559346,106388.86519828526,2,0.9537157865799848,1882.3045493358957,0.0,0.0,,,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,-0.03840852831796682
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,4,2020-02-23 08:00:00+00:00,4924.12494235066,0.0,0.0,0.0,0.0,4924.12494235066,4924.12494235066,0.0,101239.7903953954,106163.91533774606,2,0.9536177153349589,1882.3045493358957,0.0,0.0,,,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,-0.040441728569209356
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,5,2020-02-23 09:00:00+00:00,4924.12494235066,0.0,0.0,0.0,0.0,4924.12494235066,4924.12494235066,0.0,101352.08499397861,106276.20993632928,2,0.953666724233949,1882.3045493358957,0.0,0.0,,,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,-0.0394267583642699
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,6,2020-02-23 10:00:00+00:00,4924.12494235066,0.0,0.0,0.0,0.0,4924.12494235066,4924.12494235066,0.0,101635.93156366253,106560.05650601318,2,0.9537901432881393,1882.3045493358957,0.0,0.0,,,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,-0.036861222580374386
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,-6,2020-02-05 02:00:00+00:00,95319.92836251472,0.0,0.0,0.0,0.0,95319.92836251472,95319.92836251472,0.0,0.0,95319.92836251472,0,0.0,1414.6676236060996,0.0,0.0,,,,,-0.08864462047333654
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,-5,2020-02-05 03:00:00+00:00,95319.92836251472,0.0,0.0,0.0,0.0,95319.92836251472,95319.92836251472,0.0,0.0,95319.92836251472,0,0.0,1414.6676236060996,0.0,0.0,,,,,-0.08864462047333654
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,-4,2020-02-05 04:00:00+00:00,95319.92836251472,0.0,0.0,0.0,0.0,95319.92836251472,95319.92836251472,0.0,0.0,95319.92836251472,0,0.0,1414.6676236060996,0.0,0.0,,,,,-0.08864462047333654
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,-3,2020-02-05 05:00:00+00:00,95319.92836251472,0.0,0.0,0.0,0.0,95319.92836251472,95319.92836251472,0.0,0.0,95319.92836251472,0,0.0,1414.6676236060996,0.0,0.0,,,,,-0.08864462047333654
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,-2,2020-02-05 06:00:00+00:00,95319.92836251472,0.0,0.0,83250.08325008326,83.25008325008326,11986.595029181379,11986.595029181379,0.0,83250.08325008326,95236.67827926464,2,0.874138879623323,1497.917706856183,1.8189894035458565e-12,0.0,RD16L-V3-000018|RD16L-V3-000019,,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,-0.08944057586817766
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,-1,2020-02-05 07:00:00+00:00,11986.595029181379,0.0,0.0,0.0,0.0,11986.595029181379,11986.595029181379,0.0,83207.82088222657,95194.41591140795,2,0.8740830025120736,1497.917706856183,0.0,0.0,,,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,-0.08984464705202544
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,0,2020-02-05 08:00:00+00:00,11986.595029181379,0.0,0.0,0.0,0.0,11986.595029181379,11986.595029181379,0.0,83192.35479279817,95178.94982197955,2,0.8740625416481184,1497.917706856183,0.0,0.0,,,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,-0.08999251858364476
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,1,2020-02-05 09:00:00+00:00,11986.595029181379,0.0,0.0,0.0,0.0,11986.595029181379,11986.595029181379,0.0,83195.2204673877,95181.81549656908,2,0.8740663332943733,1497.917706856183,0.0,0.0,,,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,-0.08996511982246225
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,2,2020-02-05 10:00:00+00:00,11986.595029181379,0.0,0.0,0.0,0.0,11986.595029181379,11986.595029181379,0.0,83194.55487656422,95181.1499057456,2,0.8740654526547403,1497.917706856183,0.0,0.0,,,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,-0.08997148354711004
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,3,2020-02-05 11:00:00+00:00,11986.595029181379,0.0,0.0,0.0,0.0,11986.595029181379,11986.595029181379,0.0,84558.61173456724,96545.20676374862,2,0.875844742261382,1497.917706856183,0.0,0.0,,,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,-0.07692971382616087
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,4,2020-02-05 12:00:00+00:00,11986.595029181379,0.0,0.0,0.0,0.0,11986.595029181379,11986.595029181379,0.0,85127.2182597765,97113.81328895788,2,0.8765716778774221,1497.917706856183,0.0,0.0,,,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,-0.07149325762559977
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,5,2020-02-05 13:00:00+00:00,11986.595029181379,0.0,0.0,0.0,0.0,11986.595029181379,11986.595029181379,0.0,85140.3316880156,97126.92671719698,2,0.8765883423442135,1497.917706856183,0.0,0.0,,,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,-0.07136787992573113
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,6,2020-02-05 14:00:00+00:00,11986.595029181379,0.0,0.0,0.0,0.0,11986.595029181379,11986.595029181379,0.0,85284.22614057225,97270.82116975363,2,0.8767709074002491,1497.917706856183,0.0,0.0,,,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,-0.06999210273333956
