scope,cost_multiplier,max_abs_cash_identity_error,max_abs_equity_identity_error,reported_minima_match,identity_match
FROZEN_V3_CONTROL,1.0,5.820766091346741e-11,0.0,True,True
FROZEN_V3_CONTROL,1.5,3.637978807091713e-11,0.0,True,True
FROZEN_V3_CONTROL,2.0,2.9103830456733704e-11,0.0,True,True
FROZEN_V3_CONTROL,3.0,2.9103830456733704e-11,0.0,True,True
PIT_DYNAMIC_REROUTE,1.0,2.9103830456733704e-11,0.0,True,True
PIT_DYNAMIC_REROUTE,1.5,2.9103830456733704e-11,0.0,True,True
PIT_DYNAMIC_REROUTE,2.0,2.9103830456733704e-11,0.0,True,True
PIT_DYNAMIC_REROUTE,3.0,2.9103830456733704e-11,0.0,True,True
