scope,cost_multiplier,floor_type,floor_value,floor_timestamp,floor_occurrence_count,row_position,cash,free_cash,reserved_cash,market_value,equity,open_positions,open_trade_ids,open_symbols,entering_trade_ids,exiting_trade_ids,cumulative_fees,event_signature
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,4924.12494235066,2020-02-23 04:00:00+00:00,8,10035,4924.12494235066,4924.12494235066,0.0,99900.09990009991,104824.22484245058,2,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,RD16L-V3-000022|RD16L-V3-000023,,1882.3045493358957,be0ca07a842b57fb9c5b0a2371a3216ec7e2880beb4389b24b188bec1ec7514d
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,95178.94982197955,2020-02-05 08:00:00+00:00,1,9607,11986.595029181379,11986.595029181379,0.0,83192.35479279817,95178.94982197955,2,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,,,1497.917706856183,8c92530f302065f5a291c19f34be4faae1948ec706374172a9ffc9a6e545a20e
FROZEN_V3_CONTROL,1.5,MINIMUM_CASH,3982.972667682734,2020-02-23 04:00:00+00:00,8,10035,3982.972667682734,3982.972667682734,0.0,99900.09990009991,103883.07256778266,2,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,RD16L-V3-000022|RD16L-V3-000023,,2823.456824003843,f5982ebe2509c396557e09a29f1c4a6918b7ea91c04a047f363a4249ed6aceaf
FROZEN_V3_CONTROL,1.5,MINIMUM_EQUITY,94429.99096855147,2020-02-05 08:00:00+00:00,1,9607,11237.636175753301,11237.636175753301,0.0,83192.35479279817,94429.99096855147,2,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,,,2246.876560284274,ea51c163ceb4d96fc9f7810a97cf4951b8417db2e565a14e56c0a7feb397677a
FROZEN_V3_CONTROL,2.0,MINIMUM_CASH,3041.820393014721,2020-02-23 04:00:00+00:00,8,10035,3041.820393014721,3041.820393014721,0.0,99900.09990009991,102941.92029311464,2,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,RD16L-V3-000022|RD16L-V3-000023,,3764.6090986717913,91adc977ea8cab9f449f7b7f91285fe7e552803ec95efc2115b31bb9d8ea0de5
FROZEN_V3_CONTROL,2.0,MINIMUM_EQUITY,93681.03211512335,2020-02-05 08:00:00+00:00,1,9607,10488.677322325173,10488.677322325173,0.0,83192.35479279817,93681.03211512335,2,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,,,2995.835413712366,59080582eec20e09eebf99b96eb0eb5613507b57acfbedc0d51e5858445c4da3
FROZEN_V3_CONTROL,3.0,MINIMUM_CASH,-28190.508184892045,2024-12-16 00:00:00+00:00,3,52223,-28190.508184892045,-28190.508184892045,0.0,147922.9111664829,119732.40298159086,3,RD16L-V3-000557|RD16L-V3-000558|RD16L-V3-000559,BTC/USDT|ETH/USDT|SOL/USDT,RD16L-V3-000557|RD16L-V3-000558|RD16L-V3-000559,,143605.2265581254,7721bf0aeaaabe341d75b7f31d663f3b082b93d0c22ac41d44bf7c91d3daa602
FROZEN_V3_CONTROL,3.0,MINIMUM_EQUITY,92183.11440826714,2020-02-05 08:00:00+00:00,1,9607,8990.759615468975,8990.759615468975,0.0,83192.35479279817,92183.11440826714,2,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,,,4493.753120568548,2af087258f96e4732adfae7956c4792dc1ac7efcc2e506d20ad1d5c0ba6e1bea
PIT_DYNAMIC_REROUTE,1.0,MINIMUM_CASH,4924.12494235066,2020-02-23 04:00:00+00:00,8,10035,4924.12494235066,4924.12494235066,0.0,99900.09990009991,104824.22484245058,2,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,RD16L-V3-000022|RD16L-V3-000023,,1882.3045493358957,be0ca07a842b57fb9c5b0a2371a3216ec7e2880beb4389b24b188bec1ec7514d
PIT_DYNAMIC_REROUTE,1.0,MINIMUM_EQUITY,95178.94982197955,2020-02-05 08:00:00+00:00,1,9607,11986.595029181379,11986.595029181379,0.0,83192.35479279817,95178.94982197955,2,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,,,1497.917706856183,8c92530f302065f5a291c19f34be4faae1948ec706374172a9ffc9a6e545a20e
PIT_DYNAMIC_REROUTE,1.5,MINIMUM_CASH,3982.972667682734,2020-02-23 04:00:00+00:00,8,10035,3982.972667682734,3982.972667682734,0.0,99900.09990009991,103883.07256778266,2,RD16L-V3-000022|RD16L-V3-000023,BTC/USDT|ETH/USDT,RD16L-V3-000022|RD16L-V3-000023,,2823.456824003843,f5982ebe2509c396557e09a29f1c4a6918b7ea91c04a047f363a4249ed6aceaf
PIT_DYNAMIC_REROUTE,1.5,MINIMUM_EQUITY,94429.99096855147,2020-02-05 08:00:00+00:00,1,9607,11237.636175753301,11237.636175753301,0.0,83192.35479279817,94429.99096855147,2,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,,,2246.876560284274,ea51c163ceb4d96fc9f7810a97cf4951b8417db2e565a14e56c0a7feb397677a
PIT_DYNAMIC_REROUTE,2.0,MINIMUM_CASH,-875.6440435596014,2023-12-03 23:00:00+00:00,13,43150,-875.6440435596014,-875.6440435596014,0.0,155728.42875598377,154852.78471242415,3,RD16L-V3-000312|RD16L-V3-000313|RD16L-V3-000314,BTC/USDT|ETH/USDT|LINK/USDT,RD16L-V3-000314,,55326.89501891245,87b00eac5d94405ce75c750cd5ab6ae93b8abdfd929dbbebb2ee6118c4808fd7
PIT_DYNAMIC_REROUTE,2.0,MINIMUM_EQUITY,93681.03211512335,2020-02-05 08:00:00+00:00,1,9607,10488.677322325173,10488.677322325173,0.0,83192.35479279817,93681.03211512335,2,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,,,2995.835413712366,59080582eec20e09eebf99b96eb0eb5613507b57acfbedc0d51e5858445c4da3
PIT_DYNAMIC_REROUTE,3.0,MINIMUM_CASH,-30938.975644909144,2024-02-11 04:00:00+00:00,11,44811,-30938.975644909144,-30938.975644909144,0.0,156773.11518214876,125834.13953723962,3,RD16L-V3-000342|RD16L-V3-000344|RD16L-V3-000345,BTC/USDT|ETH/USDT|LINK/USDT,RD16L-V3-000345,,91928.30810673165,5ed44ee0ecc7adb99624586d440c1332852b75e22d546030f9f36018e35fde3d
PIT_DYNAMIC_REROUTE,3.0,MINIMUM_EQUITY,92183.11440826714,2020-02-05 08:00:00+00:00,1,9607,8990.759615468975,8990.759615468975,0.0,83192.35479279817,92183.11440826714,2,RD16L-V3-000018|RD16L-V3-000019,BTC/USDT|ETH/USDT,,,4493.753120568548,2af087258f96e4732adfae7956c4792dc1ac7efcc2e506d20ad1d5c0ba6e1bea
