scope,cost_multiplier,floor_type,floor_timestamp,trade_id,source_candidate_id,symbol,engine_id,entry_open_time,exit_bar_close,quantity,entry_price,mark_price,position_market_value,entry_notional,entry_fee_at_multiplier,planned_exit_notional,planned_exit_fee_at_multiplier,risk_budget
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,RD16L-V3-000023,COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000060,BTC/USDT,COMPRESSION_EXPANSION_SPECIALIST_V3,2020-02-23 04:00:00+00:00,2020-02-23 12:00:00+00:00,5.103922705541246,9786.6,9786.6,49950.04995004996,49950.04995004996,49.95004995004996,50274.71283974344,50.274712839743444,750.0
FROZEN_V3_CONTROL,1.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,RD16L-V3-000022,COMPOSITE_ALPHA_V2::TREND_CONTINUATION_CORE_V2::MTF_TREND_BREAKOUT:000035,ETH/USDT,TREND_CONTINUATION_CORE_V3,2020-02-23 04:00:00+00:00,2020-02-23 12:00:00+00:00,188.0083180896189,265.68,265.68,49950.04995004995,49950.04995004995,49.95004995004995,50622.93294921461,50.622932949214615,750.0
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,RD16L-V3-000019,COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000056,BTC/USDT,COMPRESSION_EXPANSION_SPECIALIST_V3,2020-02-05 06:00:00+00:00,2020-02-09 06:00:00+00:00,5.385682396011683,9274.6,9271.0,49930.66149342431,49950.04995004996,49.95004995004996,54384.620834925976,54.384620834925975,750.0
FROZEN_V3_CONTROL,1.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,RD16L-V3-000018,COMPOSITE_ALPHA_V2::TREND_CONTINUATION_CORE_V2::MTF_TREND_BREAKOUT:000021,ETH/USDT,TREND_CONTINUATION_CORE_V3,2020-02-05 06:00:00+00:00,2020-02-07 06:00:00+00:00,174.27273027021826,191.08,190.86,33261.69329937386,33300.033300033305,33.300033300033306,37946.14428903733,37.94614428903733,500.0
FROZEN_V3_CONTROL,1.5,MINIMUM_CASH,2020-02-23 04:00:00+00:00,RD16L-V3-000023,COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000060,BTC/USDT,COMPRESSION_EXPANSION_SPECIALIST_V3,2020-02-23 04:00:00+00:00,2020-02-23 12:00:00+00:00,5.103922705541246,9786.6,9786.6,49950.04995004996,49950.04995004996,74.92507492507494,50274.71283974344,75.41206925961517,750.0
FROZEN_V3_CONTROL,1.5,MINIMUM_CASH,2020-02-23 04:00:00+00:00,RD16L-V3-000022,COMPOSITE_ALPHA_V2::TREND_CONTINUATION_CORE_V2::MTF_TREND_BREAKOUT:000035,ETH/USDT,TREND_CONTINUATION_CORE_V3,2020-02-23 04:00:00+00:00,2020-02-23 12:00:00+00:00,188.0083180896189,265.68,265.68,49950.04995004995,49950.04995004995,74.92507492507492,50622.93294921461,75.93439942382193,750.0
FROZEN_V3_CONTROL,1.5,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,RD16L-V3-000019,COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000056,BTC/USDT,COMPRESSION_EXPANSION_SPECIALIST_V3,2020-02-05 06:00:00+00:00,2020-02-09 06:00:00+00:00,5.385682396011683,9274.6,9271.0,49930.66149342431,49950.04995004996,74.92507492507494,54384.620834925976,81.57693125238896,750.0
FROZEN_V3_CONTROL,1.5,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,RD16L-V3-000018,COMPOSITE_ALPHA_V2::TREND_CONTINUATION_CORE_V2::MTF_TREND_BREAKOUT:000021,ETH/USDT,TREND_CONTINUATION_CORE_V3,2020-02-05 06:00:00+00:00,2020-02-07 06:00:00+00:00,174.27273027021826,191.08,190.86,33261.69329937386,33300.033300033305,49.95004995004996,37946.14428903733,56.91921643355599,500.0
FROZEN_V3_CONTROL,2.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,RD16L-V3-000023,COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000060,BTC/USDT,COMPRESSION_EXPANSION_SPECIALIST_V3,2020-02-23 04:00:00+00:00,2020-02-23 12:00:00+00:00,5.103922705541246,9786.6,9786.6,49950.04995004996,49950.04995004996,99.90009990009992,50274.71283974344,100.54942567948689,750.0
FROZEN_V3_CONTROL,2.0,MINIMUM_CASH,2020-02-23 04:00:00+00:00,RD16L-V3-000022,COMPOSITE_ALPHA_V2::TREND_CONTINUATION_CORE_V2::MTF_TREND_BREAKOUT:000035,ETH/USDT,TREND_CONTINUATION_CORE_V3,2020-02-23 04:00:00+00:00,2020-02-23 12:00:00+00:00,188.0083180896189,265.68,265.68,49950.04995004995,49950.04995004995,99.9000999000999,50622.93294921461,101.24586589842923,750.0
FROZEN_V3_CONTROL,2.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,RD16L-V3-000019,COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000056,BTC/USDT,COMPRESSION_EXPANSION_SPECIALIST_V3,2020-02-05 06:00:00+00:00,2020-02-09 06:00:00+00:00,5.385682396011683,9274.6,9271.0,49930.66149342431,49950.04995004996,99.90009990009992,54384.620834925976,108.76924166985195,750.0
FROZEN_V3_CONTROL,2.0,MINIMUM_EQUITY,2020-02-05 08:00:00+00:00,RD16L-V3-000018,COMPOSITE_ALPHA_V2::TREND_CONTINUATION_CORE_V2::MTF_TREND_BREAKOUT:000021,ETH/USDT,TREND_CONTINUATION_CORE_V3,2020-02-05 06:00:00+00:00,2020-02-07 06:00:00+00:00,174.27273027021826,191.08,190.86,33261.69329937386,33300.033300033305,66.60006660006661,37946.14428903733,75.89228857807466,500.0
