direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,negative_event_count,nonnegative_event_count,auc_adverse_score,median_predicted_rcv_negative_events,median_predicted_rcv_nonnegative_events,class_support_pass,auc_gt_0_5,negative_event_median_pred_lt_nonnegative,all_lopo_auc_pass,classification_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,68,54,0.5663126361655774,-0.02266323942282892,-0.02271830581671305,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,63,58,0.5190202517788725,-0.027215670103598637,-0.025516273141502923,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,29,30,0.6258620689655172,-0.03479184614113173,-0.012872530030970669,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,30,29,0.6454022988505748,-0.008057526919135133,0.007824811902165487,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,38,21,0.5695488721804511,0.004629115033685625,0.009989171109382251,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,31,27,0.48805256869773,-0.011903341776662774,-0.011288852565761464,True,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,65,60,0.5435897435897435,-0.022562913875673486,-0.02266323942282892,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,62,63,0.5076804915514593,-0.026953586118418978,-0.027133165889566616,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,25,35,0.56,-0.03479184614113173,-0.027967720560837718,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,25,34,0.5041176470588236,0.006245229321650607,-0.00533747330758853,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,120,True,3,30,29,0.4454022988505747,0.006323565464844921,-0.0001775314775735094,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,144,True,3,31,28,0.49193548387096775,-0.011288852565761464,-0.011612847577673249,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,24,True,3,67,57,0.5540717465305054,-0.022653673134877844,-0.02266323942282892,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,48,True,3,64,59,0.5354872881355932,-0.02733180334923741,-0.025516273141502923,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,72,True,3,27,31,0.5830346475507766,-0.032756173196036,-0.01636786822461083,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,27,30,0.5771604938271605,0.0051921742679740205,0.007298284375327193,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,33,24,0.4943181818181818,0.006600270247063667,0.007259071710015929,True,False,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,31,26,0.4869727047146402,-0.010786109641432657,-0.011288852565761464,True,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,30,15,0.4533333333333333,0.020289310956782956,0.017748849344018942,True,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,32,13,0.5817307692307693,0.02004178019150161,0.020536226051001697,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,14,7,0.6989795918367347,0.00274379255051319,0.006645672105119247,False,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,10,11,0.6363636363636364,0.004343038543229308,0.014946015440200848,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,9,12,0.7129629629629629,-3.599010126558361e-05,0.0015469022347122641,False,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,12,9,0.5092592592592593,-0.00013105579666709876,0.0003192249090014875,False,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,30,15,0.6088888888888889,0.024185202085359354,0.026418970530598548,True,True,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,32,13,0.40384615384615385,0.02401962525278134,0.019923979695039777,True,False,False,False,False
