universe_id,landmark_age_hours,direction,training_period,evaluation_period,removed_pair,training_row_count,evaluation_row_count,training_pair_count,evaluation_pair_count,structural_support_pass,model_fit_pass,continuous_lopo_pass,classification_auc_lopo_pass,subset_required_lopo_pass,spearman_predicted_vs_actual,auc_adverse_score,subset_row_count,subset_actual_mean_rcv,subset_actual_negative_fraction
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,40,122,7,12,True,True,False,True,False,0.09182567442198132,0.5657679738562091,122,0.01977787872532673,0.5573770491803278
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,42,122,7,12,True,True,False,False,False,-0.11272632349606611,0.4199346405228758,122,0.01977787872532673,0.5573770491803278
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,40,122,7,12,True,True,False,True,False,0.10411837126096823,0.5755718954248366,117,0.02036632388797033,0.5641025641025641
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,38,98,7,11,True,True,False,False,False,-0.09401240759228256,0.45010570824524315,98,0.022207366571382926,0.5612244897959183
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,45,117,8,11,True,True,False,True,False,0.09944287716354118,0.5763517528223411,117,0.019935981642183093,0.5641025641025641
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,33,102,7,11,True,True,False,False,False,-0.10442861733239785,0.44540796216003153,102,0.01848759894158128,0.5784313725490197
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,GRAM-USDT,45,121,8,11,True,True,False,True,False,0.10673712027259066,0.5706191265892758,121,0.020280845772772164,0.5537190082644629
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,KAS-USDT,45,119,8,11,True,True,False,True,False,0.04950317008998087,0.5471509971509971,119,0.021912621976301182,0.5462184873949579
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,45,117,8,11,True,True,False,True,False,0.09368466807621455,0.5655325443786983,117,0.020242686288843233,0.5555555555555556
C2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,45,116,8,11,True,True,False,True,False,0.11651478257730052,0.5788762019230769,116,0.02278269970648534,0.5517241379310345
