direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,row_count,unique_position_count,unique_pair_count,unique_signal_day_count,support_pass,evaluation_row_count,evaluation_unique_position_count,evaluation_unique_pair_count,evaluation_unique_signal_day_count,evaluation_support_pass,spearman_predicted_vs_actual,predicted_bottom_half_actual_mean_rcv,predicted_top_half_actual_mean_rcv,spearman_gt_zero,top_half_mean_gt_bottom_half_mean,all_lopo_continuous_pass,continuous_gate_pass
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,60,60,11,41,True,21,21,7,12,True,-0.3008447678624761,-0.026309102213168727,-0.023511442896964264,False,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,59,59,11,40,True,21,21,7,12,True,-0.1961038961038961,0.022130168808519292,-0.02394229154739784,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,59,59,11,40,True,21,21,7,12,True,-0.2909090909090909,0.023119416929059236,-0.012663214807737482,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,59,59,11,40,True,21,21,7,12,True,-0.22337662337662337,-0.01370339769394242,-0.009989637389191298,False,True,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,124,124,14,71,True,45,45,8,22,True,-0.02595605917281483,-0.00750793793161208,-0.03646804155794997,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,123,123,14,71,True,45,45,8,22,True,-0.07878787878787878,-0.01472782690442666,-0.02924550115023034,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,58,58,11,38,True,21,21,7,12,True,-0.3182851743054413,-0.002452643226186599,-0.045199132885129834,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,57,57,11,37,True,21,21,7,12,True,-0.21168831168831168,0.003410873389017244,-0.006924750256941435,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,57,57,11,37,True,21,21,7,12,True,-0.2695680557893023,0.013867053234313286,-0.004251975085241163,False,False,False,False
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,144,True,3,57,57,11,37,True,21,21,7,12,True,-0.06753246753246753,-0.01347196019189301,-0.010200035118327127,False,True,False,False
