direction,landmark_age_hours,joint_passing_universe_count,joint_passing_universes,landmark_qualified
FORWARD,24,0,,False
FORWARD,48,0,,False
FORWARD,72,0,,False
FORWARD,96,0,,False
FORWARD,120,0,,False
FORWARD,144,0,,False
REVERSE,24,0,,False
REVERSE,48,0,,False
REVERSE,72,0,,False
REVERSE,96,0,,False
REVERSE,120,0,,False
REVERSE,144,0,,False
