transport_direction,landmark_age_hours,universe_id,evaluation_period,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,support_pass,spearman_rho_adverse_score_vs_rcv,low_score_count,high_score_count,low_score_mean_rcv,high_score_mean_rcv,high_minus_low_mean_rcv_spread,lopo_complete,lopo_pair_count,lopo_minimum_rcv_spread,lopo_maximum_rcv_spread,cell_outcome
CALIBRATE_2022_EVALUATE_2023,24,C2,ROBUSTNESS_2023,124,124,12,69,True,0.040494775454344795,46,78,0.013152525679682949,0.023347769076961754,0.010195243397278805,True,12,-0.005424423929489948,0.0226211457885259,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,24,D2,ROBUSTNESS_2023,127,127,12,69,True,-0.01940877228406587,49,78,0.049267285031346836,0.014124995314683364,-0.03514228971666347,True,12,-0.046515912292027575,-0.02478540557620013,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,24,E2,ROBUSTNESS_2023,126,126,14,71,True,-0.03997390090772076,47,79,0.043924894090365166,0.012871806189697459,-0.031053087900667707,True,14,-0.041874943921459816,-0.01974861179400846,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,48,C2,ROBUSTNESS_2023,124,124,12,69,True,0.017271010601049103,49,75,0.031521610240517056,0.009721123005352798,-0.021800487235164256,True,12,-0.02861652397876069,-0.009838926381344901,NO_DIRECTIONAL_EDGE
CALIBRATE_2022_EVALUATE_2023,48,D2,ROBUSTNESS_2023,127,127,12,69,True,-0.09489377358567957,50,77,0.04935248943755576,0.01077546770822251,-0.03857702172933325,True,12,-0.04336393366802702,-0.024309896243823167,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,48,E2,ROBUSTNESS_2023,126,126,14,71,True,-0.09909547850181456,51,75,0.04281480777748314,0.006911254544841894,-0.035903553232641244,True,14,-0.041873000494284975,-0.023073930359279255,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,24,C2,ROBUSTNESS_2022,45,45,8,22,True,0.1997759807098791,27,18,-0.035074512850264854,-0.0031626524095091074,0.031911860440755745,True,8,0.009590750389898269,0.041697200787280814,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,24,D2,ROBUSTNESS_2022,45,45,8,22,True,0.18934053667810288,26,19,-0.033034032269516504,-0.007634460595836108,0.025399571673680395,True,8,0.009590750389898269,0.039306113373345414,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,24,E2,ROBUSTNESS_2022,45,45,8,22,True,0.1861123925245792,29,16,-0.03431171215294222,-0.0005562461183119122,0.03375546603463031,True,8,0.009590750389898269,0.044878702531785664,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,48,C2,ROBUSTNESS_2022,45,45,8,22,True,0.295671652265597,26,19,-0.03883289702580599,0.0006840318062248011,0.03951692883203079,True,8,0.021998262425051048,0.04630471164330276,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,48,D2,ROBUSTNESS_2022,45,45,8,22,True,0.2891590092190853,26,19,-0.03883289702580599,0.0006840318062248011,0.03951692883203079,True,8,0.02514691035210699,0.04630471164330276,REVERSED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,48,E2,ROBUSTNESS_2022,45,45,8,22,True,0.2941195889018816,26,19,-0.03883289702580599,0.0006840318062248011,0.03951692883203079,True,8,0.02514691035210699,0.04630471164330276,REVERSED_DIRECTION
