landmark_age_hours,forward_hazard_qualified_universes,forward_rcv_qualified_universes,forward_negative_tail_qualified_universes,forward_hazard_transport_pass,forward_economic_alignment_pass,forward_all_three_gates_pass,reverse_hazard_qualified_universes,reverse_rcv_qualified_universes,reverse_negative_tail_qualified_universes,reverse_hazard_transport_pass,reverse_economic_alignment_pass,reverse_all_three_gates_pass,hazard_transports_both_directions,economically_aligned_both_directions,advances_to_action_mapping_preregistration
24,3,2,0,True,False,False,3,0,0,True,False,False,True,False,False
48,3,2,0,True,False,False,3,0,0,True,False,False,True,False,False
