transport_direction,landmark_age_hours,universe_id,evaluation_period,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,support_pass,time_failure_event_count,max_hold_non_event_count,hazard_support_pass,auc,event_median_adverse_score,nonevent_median_adverse_score,event_minus_nonevent_median_adverse_score_spread,lopo_complete,lopo_pair_count,lopo_minimum_auc,lopo_maximum_auc,cell_outcome
CALIBRATE_2022_EVALUATE_2023,24,C2,ROBUSTNESS_2023,124,124,12,69,True,64,60,True,0.801171875,0.7037037037037037,0.4,0.3037037037037037,True,12,0.7822159775190687,0.8306514913657771,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,24,D2,ROBUSTNESS_2023,127,127,12,69,True,67,60,True,0.8180348258706468,0.6962962962962962,0.3925925925925926,0.3037037037037036,True,12,0.8028549382716049,0.8390022675736961,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,24,E2,ROBUSTNESS_2023,126,126,14,71,True,66,60,True,0.8095959595959596,0.7037037037037037,0.3925925925925926,0.3111111111111111,True,14,0.7922562893081762,0.8331443688586546,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,48,C2,ROBUSTNESS_2023,124,124,12,69,True,64,60,True,0.8071614583333333,0.6222222222222221,0.4185185185185185,0.2037037037037036,True,12,0.7882898351648352,0.8262591963780419,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,48,D2,ROBUSTNESS_2023,127,127,12,69,True,67,60,True,0.833457711442786,0.6222222222222222,0.4037037037037038,0.21851851851851845,True,12,0.8192633637548892,0.8536242083040113,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2022_EVALUATE_2023,48,E2,ROBUSTNESS_2023,126,126,14,71,True,66,60,True,0.8401515151515152,0.6222222222222222,0.3851851851851852,0.23703703703703705,True,14,0.8260941644562334,0.8635875402792696,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,24,C2,ROBUSTNESS_2022,45,45,8,22,True,24,21,True,0.6845238095238095,0.5026881720430108,0.2849462365591398,0.21774193548387094,True,8,0.6483375959079284,0.7152777777777778,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,24,D2,ROBUSTNESS_2022,45,45,8,22,True,24,21,True,0.6825396825396826,0.5078740157480315,0.2887139107611549,0.2191601049868766,True,8,0.6470588235294118,0.7152777777777778,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,24,E2,ROBUSTNESS_2022,45,45,8,22,True,24,21,True,0.6825396825396826,0.49470899470899476,0.2830687830687831,0.21164021164021168,True,8,0.6483375959079284,0.7208333333333333,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,48,C2,ROBUSTNESS_2022,45,45,8,22,True,24,21,True,0.7222222222222222,0.549731182795699,0.3387096774193548,0.21102150537634418,True,8,0.6675191815856778,0.7610294117647058,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,48,D2,ROBUSTNESS_2022,45,45,8,22,True,24,21,True,0.7182539682539683,0.5498687664041995,0.3359580052493438,0.21391076115485563,True,8,0.6624040920716112,0.7610294117647058,QUALIFIED_EXPECTED_DIRECTION
CALIBRATE_2023_EVALUATE_2022,48,E2,ROBUSTNESS_2022,45,45,8,22,True,24,21,True,0.7212301587301587,0.5529100529100529,0.3439153439153439,0.208994708994709,True,8,0.6649616368286445,0.7610294117647058,QUALIFIED_EXPECTED_DIRECTION
