family_id,universe_id,period_id,horizon_hours,event_count,pair_count,signal_day_count,mean_net_markout,median_net_markout,positive_share,lopo_min_mean_net_markout
BREADTH_THRUST_LEADER,C2,ROBUSTNESS_2022,24,467,15,244,-0.014651329396451777,-0.013356635005787225,0.3426124197002141,-0.01645405229729264
BREADTH_THRUST_LEADER,C2,ROBUSTNESS_2022,72,467,15,244,-0.023659618232964787,-0.026194620253164543,0.3490364025695932,-0.027567204209247916
BREADTH_THRUST_LEADER,C2,ROBUSTNESS_2022,168,467,15,244,-0.03595021390458869,-0.03898884563886062,0.36616702355460384,-0.043265164137786465
BREADTH_THRUST_LEADER,C2,ROBUSTNESS_2023,24,510,13,268,-0.001984237721158634,-0.008315743153083342,0.3627450980392157,-0.004809734753984093
BREADTH_THRUST_LEADER,C2,ROBUSTNESS_2023,72,510,13,268,0.0054097385336947185,-0.00623104423596264,0.44901960784313727,-0.0018413927460145002
BREADTH_THRUST_LEADER,C2,ROBUSTNESS_2023,168,510,13,268,0.012175753086013562,-0.011591633841349338,0.4392156862745098,-0.013870693715394988
BREADTH_THRUST_LEADER,D2,ROBUSTNESS_2022,24,467,15,244,-0.014651329396451777,-0.013356635005787225,0.3426124197002141,-0.01645405229729264
BREADTH_THRUST_LEADER,D2,ROBUSTNESS_2022,72,467,15,244,-0.023659618232964787,-0.026194620253164543,0.3490364025695932,-0.027567204209247916
BREADTH_THRUST_LEADER,D2,ROBUSTNESS_2022,168,467,15,244,-0.03595021390458869,-0.03898884563886062,0.36616702355460384,-0.043265164137786465
BREADTH_THRUST_LEADER,D2,ROBUSTNESS_2023,24,494,12,259,-0.0012262561082326884,-0.00758976518107765,0.37044534412955465,-0.005503952354440207
BREADTH_THRUST_LEADER,D2,ROBUSTNESS_2023,72,494,12,259,0.006776632371632513,-0.0017804794753956505,0.4817813765182186,-0.0002966200483081078
BREADTH_THRUST_LEADER,D2,ROBUSTNESS_2023,168,494,12,259,0.01821214873131398,-0.0014973485831847192,0.49190283400809715,-0.005335413599330762
BREADTH_THRUST_LEADER,E2,ROBUSTNESS_2022,24,467,15,244,-0.014651329396451777,-0.013356635005787225,0.3426124197002141,-0.01645405229729264
BREADTH_THRUST_LEADER,E2,ROBUSTNESS_2022,72,467,15,244,-0.023659618232964787,-0.026194620253164543,0.3490364025695932,-0.027567204209247916
BREADTH_THRUST_LEADER,E2,ROBUSTNESS_2022,168,467,15,244,-0.03595021390458869,-0.03898884563886062,0.36616702355460384,-0.043265164137786465
BREADTH_THRUST_LEADER,E2,ROBUSTNESS_2023,24,517,14,267,-0.0015967806317643241,-0.008275160599571686,0.3617021276595745,-0.00512243539996146
BREADTH_THRUST_LEADER,E2,ROBUSTNESS_2023,72,517,14,267,0.003600825453587227,-0.006064690912723712,0.4564796905222437,-0.003918139712860039
BREADTH_THRUST_LEADER,E2,ROBUSTNESS_2023,168,517,14,267,0.010353564203167335,-0.011309523809523787,0.44294003868471954,-0.013587771810114032
CAPITULATION_PARTICIPATION_RECLAIM,C2,ROBUSTNESS_2022,24,282,14,128,-0.011167490027875406,-0.007825271900160344,0.425531914893617,-0.012515432562416249
CAPITULATION_PARTICIPATION_RECLAIM,C2,ROBUSTNESS_2022,72,282,14,128,-0.022932468313984638,-0.0137430956171972,0.41843971631205673,-0.025454611256875266
CAPITULATION_PARTICIPATION_RECLAIM,C2,ROBUSTNESS_2022,168,282,14,128,-0.038416031707034476,-0.03534070776791818,0.375886524822695,-0.04293730981149834
CAPITULATION_PARTICIPATION_RECLAIM,C2,ROBUSTNESS_2023,24,188,11,99,-0.0038977886776063123,0.0001335441154519596,0.5053191489361702,-0.004928950505820989
CAPITULATION_PARTICIPATION_RECLAIM,C2,ROBUSTNESS_2023,72,188,11,99,-0.008323457273676067,-0.004838437103609019,0.44680851063829785,-0.011809497594750218
CAPITULATION_PARTICIPATION_RECLAIM,C2,ROBUSTNESS_2023,168,188,11,99,-0.0031405037036889077,-0.0029722587529726944,0.4734042553191489,-0.006600655817996043
CAPITULATION_PARTICIPATION_RECLAIM,D2,ROBUSTNESS_2022,24,282,14,128,-0.011167490027875406,-0.007825271900160344,0.425531914893617,-0.012515432562416249
CAPITULATION_PARTICIPATION_RECLAIM,D2,ROBUSTNESS_2022,72,282,14,128,-0.022932468313984638,-0.0137430956171972,0.41843971631205673,-0.025454611256875266
CAPITULATION_PARTICIPATION_RECLAIM,D2,ROBUSTNESS_2022,168,282,14,128,-0.038416031707034476,-0.03534070776791818,0.375886524822695,-0.04293730981149834
CAPITULATION_PARTICIPATION_RECLAIM,D2,ROBUSTNESS_2023,24,186,11,96,-0.0031383912136653497,0.0005531810967046974,0.510752688172043,-0.004095503771470152
CAPITULATION_PARTICIPATION_RECLAIM,D2,ROBUSTNESS_2023,72,186,11,96,-0.0073649273941630905,-0.005122252042339527,0.43548387096774194,-0.010783662403449227
CAPITULATION_PARTICIPATION_RECLAIM,D2,ROBUSTNESS_2023,168,186,11,96,-0.0015348385352451392,-0.0008047956215576268,0.489247311827957,-0.0048537491287629474
CAPITULATION_PARTICIPATION_RECLAIM,E2,ROBUSTNESS_2022,24,282,14,128,-0.011167490027875406,-0.007825271900160344,0.425531914893617,-0.012515432562416249
CAPITULATION_PARTICIPATION_RECLAIM,E2,ROBUSTNESS_2022,72,282,14,128,-0.022932468313984638,-0.0137430956171972,0.41843971631205673,-0.025454611256875266
CAPITULATION_PARTICIPATION_RECLAIM,E2,ROBUSTNESS_2022,168,282,14,128,-0.038416031707034476,-0.03534070776791818,0.375886524822695,-0.04293730981149834
CAPITULATION_PARTICIPATION_RECLAIM,E2,ROBUSTNESS_2023,24,190,12,98,-0.003951809947530159,0.0001335441154519596,0.5052631578947369,-0.004976913766809887
CAPITULATION_PARTICIPATION_RECLAIM,E2,ROBUSTNESS_2023,72,190,12,98,-0.00714323079934279,-0.004952141581574332,0.4421052631578947,-0.010457362444074947
CAPITULATION_PARTICIPATION_RECLAIM,E2,ROBUSTNESS_2023,168,190,12,98,-0.002958773512363615,-0.003327620146993785,0.46842105263157896,-0.006358263767818149
PARTICIPATION_SHOCK_CONTINUATION,C2,ROBUSTNESS_2022,24,998,15,264,-0.007706474717961641,-0.007919798951910684,0.41282565130260523,-0.008303025813012678
PARTICIPATION_SHOCK_CONTINUATION,C2,ROBUSTNESS_2022,72,998,15,264,-0.011794351368999813,-0.012145293307308604,0.4118236472945892,-0.013473853615800491
PARTICIPATION_SHOCK_CONTINUATION,C2,ROBUSTNESS_2022,168,998,15,264,-0.03137316064536589,-0.029274594531456526,0.37374749498997994,-0.03354663284571018
PARTICIPATION_SHOCK_CONTINUATION,C2,ROBUSTNESS_2023,24,1294,13,309,-0.0006960892090672072,-0.006860412660393375,0.3941267387944359,-0.003702861295625073
PARTICIPATION_SHOCK_CONTINUATION,C2,ROBUSTNESS_2023,72,1294,13,309,0.008269527150484115,-0.003388061663717296,0.46445131375579596,0.00223526000261507
PARTICIPATION_SHOCK_CONTINUATION,C2,ROBUSTNESS_2023,168,1294,13,309,0.02211839438451486,0.002092822161538958,0.5162287480680062,0.011724327506711676
PARTICIPATION_SHOCK_CONTINUATION,D2,ROBUSTNESS_2022,24,998,15,264,-0.007706474717961641,-0.007919798951910684,0.41282565130260523,-0.008303025813012678
PARTICIPATION_SHOCK_CONTINUATION,D2,ROBUSTNESS_2022,72,998,15,264,-0.011794351368999813,-0.012145293307308604,0.4118236472945892,-0.013473853615800491
PARTICIPATION_SHOCK_CONTINUATION,D2,ROBUSTNESS_2022,168,998,15,264,-0.03137316064536589,-0.029274594531456526,0.37374749498997994,-0.03354663284571018
PARTICIPATION_SHOCK_CONTINUATION,D2,ROBUSTNESS_2023,24,1352,12,312,-0.0007057515853766356,-0.00691951429528687,0.39497041420118345,-0.0035568619759418075
PARTICIPATION_SHOCK_CONTINUATION,D2,ROBUSTNESS_2023,72,1352,12,312,0.008251485275539714,-0.0031345848483344783,0.46671597633136097,0.0025299160022997542
PARTICIPATION_SHOCK_CONTINUATION,D2,ROBUSTNESS_2023,168,1352,12,312,0.02259874913191438,0.003393776683904243,0.5192307692307693,0.012857626599378408
PARTICIPATION_SHOCK_CONTINUATION,E2,ROBUSTNESS_2022,24,998,15,264,-0.007706474717961641,-0.007919798951910684,0.41282565130260523,-0.008303025813012678
PARTICIPATION_SHOCK_CONTINUATION,E2,ROBUSTNESS_2022,72,998,15,264,-0.011794351368999813,-0.012145293307308604,0.4118236472945892,-0.013473853615800491
PARTICIPATION_SHOCK_CONTINUATION,E2,ROBUSTNESS_2022,168,998,15,264,-0.03137316064536589,-0.029274594531456526,0.37374749498997994,-0.03354663284571018
PARTICIPATION_SHOCK_CONTINUATION,E2,ROBUSTNESS_2023,24,1309,14,309,0.00010087228734692077,-0.006675129948020707,0.40183346065699005,-0.00267807393206155
