family_id,qualified,return_ranking_used,winner_selection_used
PARTICIPATION_SHOCK_CONTINUATION,False,False,False
BREADTH_THRUST_LEADER,False,False,False
CAPITULATION_PARTICIPATION_RECLAIM,False,False,False
