symbol,archive_count,observed_minute_count,expected_minute_count,missing_minute_count,coverage_ratio,coverage_gate,schema_gate,strictly_increasing_gate,duplicate_gate,nonnegative_flow_gate,gap_range_count,gap_accounting_gate,first_open_time,last_open_time
BTCUSDT,24,1051120,1051200,80,0.999923896499239,True,False,True,True,True,1,True,2022-01-01T00:00:00+00:00,2023-12-31T23:59:00+00:00
ETHUSDT,24,1051120,1051200,80,0.999923896499239,True,False,True,True,True,1,True,2022-01-01T00:00:00+00:00,2023-12-31T23:59:00+00:00
