symbol,gap_start,gap_end,missing_minute_count
BTCUSDT,2023-03-24T12:40:00+00:00,2023-03-24T13:59:00+00:00,80
ETHUSDT,2023-03-24T12:40:00+00:00,2023-03-24T13:59:00+00:00,80
