symbol,month,filename,archive_sha256,archive_bytes,checksum_sha256,checksum_verified,archive_present,checksum_present,row_count,expected_minute_count,month_coverage_ratio,first_open_time,last_open_time,schema_pass,timestamp_parse_pass,strictly_increasing_pass,duplicate_pass,nonnegative_flow_pass,minute_alignment_pass,month_bounds_pass,close_time_pass,ohlc_sanity_pass,taker_subset_pass,gap_range_count,missing_minute_count
BTCUSDT,2022-01,BTCUSDT-1m-2022-01.zip,ce0e16e834331e70b3041677c7f409818d5904bb59cb7b880695e4cacd34fc09,2229634,ce0e16e834331e70b3041677c7f409818d5904bb59cb7b880695e4cacd34fc09,True,True,True,44640,44640,1.0,2022-01-01T00:00:00+00:00,2022-01-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-02,BTCUSDT-1m-2022-02.zip,748844587c78902e4c35886620197053ee39f3e7104fbdcbfde00fe829bbfd1a,2011133,748844587c78902e4c35886620197053ee39f3e7104fbdcbfde00fe829bbfd1a,True,True,True,40320,40320,1.0,2022-02-01T00:00:00+00:00,2022-02-28T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-03,BTCUSDT-1m-2022-03.zip,f8a05f6657cb7f8ac41c047bae65bff74703f058f56517dca28a817d390b82d3,2207992,f8a05f6657cb7f8ac41c047bae65bff74703f058f56517dca28a817d390b82d3,True,True,True,44640,44640,1.0,2022-03-01T00:00:00+00:00,2022-03-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-04,BTCUSDT-1m-2022-04.zip,6e840c81076ac25e6acdbfe4aaeb7aa8b1895a70d8111a3c2908c5134072f097,2103010,6e840c81076ac25e6acdbfe4aaeb7aa8b1895a70d8111a3c2908c5134072f097,True,True,True,43200,43200,1.0,2022-04-01T00:00:00+00:00,2022-04-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-05,BTCUSDT-1m-2022-05.zip,154311f08aa264e233b0c7b472aa490c8cfd1b6083ba86cf6c18134e50536b89,2216492,154311f08aa264e233b0c7b472aa490c8cfd1b6083ba86cf6c18134e50536b89,True,True,True,44640,44640,1.0,2022-05-01T00:00:00+00:00,2022-05-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-06,BTCUSDT-1m-2022-06.zip,0ced8899e9c3b2c098e1c5fc4993250bac22d8684d2d38404310351f35e32c0c,2158139,0ced8899e9c3b2c098e1c5fc4993250bac22d8684d2d38404310351f35e32c0c,True,True,True,43200,43200,1.0,2022-06-01T00:00:00+00:00,2022-06-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-07,BTCUSDT-1m-2022-07.zip,b7b9100066d75037063d0798b91fab91d62c348a21888ace2363a75a6089e7cc,2298791,b7b9100066d75037063d0798b91fab91d62c348a21888ace2363a75a6089e7cc,True,True,True,44640,44640,1.0,2022-07-01T00:00:00+00:00,2022-07-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-08,BTCUSDT-1m-2022-08.zip,7517a604803c40cd38b29fb490d7bce83d01e1e4ac9e9ae2bcd52adaea55a291,2318381,7517a604803c40cd38b29fb490d7bce83d01e1e4ac9e9ae2bcd52adaea55a291,True,True,True,44640,44640,1.0,2022-08-01T00:00:00+00:00,2022-08-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-09,BTCUSDT-1m-2022-09.zip,72b22ae8bbb91342c672c2915680729ce2e7223d21386de08d4af906e6bb0713,2260540,72b22ae8bbb91342c672c2915680729ce2e7223d21386de08d4af906e6bb0713,True,True,True,43200,43200,1.0,2022-09-01T00:00:00+00:00,2022-09-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-10,BTCUSDT-1m-2022-10.zip,5c9497d81e565c88256b1b17e86bc7257fc1f4a133ec50109c6a5a9bbd180f3f,2300603,5c9497d81e565c88256b1b17e86bc7257fc1f4a133ec50109c6a5a9bbd180f3f,True,True,True,44640,44640,1.0,2022-10-01T00:00:00+00:00,2022-10-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-11,BTCUSDT-1m-2022-11.zip,7b7463638505f303ea91ababadff27bbb46c6d448428f99288f5faf790250a71,2241831,7b7463638505f303ea91ababadff27bbb46c6d448428f99288f5faf790250a71,True,True,True,43200,43200,1.0,2022-11-01T00:00:00+00:00,2022-11-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2022-12,BTCUSDT-1m-2022-12.zip,38f93ad56a5f13491094b0ef965f03cea2d6097cc72b7179489b7d60d5fd446b,2261860,38f93ad56a5f13491094b0ef965f03cea2d6097cc72b7179489b7d60d5fd446b,True,True,True,44640,44640,1.0,2022-12-01T00:00:00+00:00,2022-12-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-01,BTCUSDT-1m-2023-01.zip,664116c2f33465d191684887f0d4834c02eb0a2635ada43eca855a99e6b6b0c5,2304509,664116c2f33465d191684887f0d4834c02eb0a2635ada43eca855a99e6b6b0c5,True,True,True,44640,44640,1.0,2023-01-01T00:00:00+00:00,2023-01-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-02,BTCUSDT-1m-2023-02.zip,bff03104aa247f791a12a122336cb8c928e19fea5b74276d83a248878b9a619a,2109501,bff03104aa247f791a12a122336cb8c928e19fea5b74276d83a248878b9a619a,True,True,True,40320,40320,1.0,2023-02-01T00:00:00+00:00,2023-02-28T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-03,BTCUSDT-1m-2023-03.zip,5591171a15f210af647a2fb68ab8cbad45a3a595cfe9a0eec9d06e5e84928bec,2300446,5591171a15f210af647a2fb68ab8cbad45a3a595cfe9a0eec9d06e5e84928bec,True,True,True,44560,44640,0.9982078853046595,2023-03-01T00:00:00+00:00,2023-03-31T23:59:00+00:00,True,True,True,True,True,True,True,False,True,True,1,80
BTCUSDT,2023-04,BTCUSDT-1m-2023-04.zip,c71baedea84f9fc1a0ad297b383505b1cb84c0a7fc111caa149aa6fb2defa5da,2064504,c71baedea84f9fc1a0ad297b383505b1cb84c0a7fc111caa149aa6fb2defa5da,True,True,True,43200,43200,1.0,2023-04-01T00:00:00+00:00,2023-04-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-05,BTCUSDT-1m-2023-05.zip,c83bd079dc67b9e542d07fe9491f8b1bf513185d6d7cc4ce17710f21c8d0037b,2111728,c83bd079dc67b9e542d07fe9491f8b1bf513185d6d7cc4ce17710f21c8d0037b,True,True,True,44640,44640,1.0,2023-05-01T00:00:00+00:00,2023-05-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-06,BTCUSDT-1m-2023-06.zip,d8cf5d1817fa1d8cba8eaf4d189614cf05b15d7233e9e29a0156d2dee2cfaad1,2043702,d8cf5d1817fa1d8cba8eaf4d189614cf05b15d7233e9e29a0156d2dee2cfaad1,True,True,True,43200,43200,1.0,2023-06-01T00:00:00+00:00,2023-06-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-07,BTCUSDT-1m-2023-07.zip,8f32a4ef47bd758b33bfaf680a71792f8d97ca4d89ae55ff3d2272cc3974560c,2033186,8f32a4ef47bd758b33bfaf680a71792f8d97ca4d89ae55ff3d2272cc3974560c,True,True,True,44640,44640,1.0,2023-07-01T00:00:00+00:00,2023-07-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-08,BTCUSDT-1m-2023-08.zip,b4d775d24d905660d8ad00bfa1fc0157ec83c4b4f0c4aacca8818dad5d17c6c6,2018512,b4d775d24d905660d8ad00bfa1fc0157ec83c4b4f0c4aacca8818dad5d17c6c6,True,True,True,44640,44640,1.0,2023-08-01T00:00:00+00:00,2023-08-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-09,BTCUSDT-1m-2023-09.zip,22333eaa3f971ad0686c02532b7b23d02e5e32c298d9bf4fa55894fbb755da99,1967613,22333eaa3f971ad0686c02532b7b23d02e5e32c298d9bf4fa55894fbb755da99,True,True,True,43200,43200,1.0,2023-09-01T00:00:00+00:00,2023-09-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-10,BTCUSDT-1m-2023-10.zip,9e854972545806398d124571916348238ce39961072730c200cca3c2e0bd50a3,2099200,9e854972545806398d124571916348238ce39961072730c200cca3c2e0bd50a3,True,True,True,44640,44640,1.0,2023-10-01T00:00:00+00:00,2023-10-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-11,BTCUSDT-1m-2023-11.zip,4b1462878f31fd736385b761f6bb0a3f525936a6ae9f5f52c3e3b95ee2df35b4,2056098,4b1462878f31fd736385b761f6bb0a3f525936a6ae9f5f52c3e3b95ee2df35b4,True,True,True,43200,43200,1.0,2023-11-01T00:00:00+00:00,2023-11-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
BTCUSDT,2023-12,BTCUSDT-1m-2023-12.zip,c8b684a66b5ddbb58bf116251359c2dd83a07ce46791f4caa16dd4301eb17636,2144300,c8b684a66b5ddbb58bf116251359c2dd83a07ce46791f4caa16dd4301eb17636,True,True,True,44640,44640,1.0,2023-12-01T00:00:00+00:00,2023-12-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-01,ETHUSDT-1m-2022-01.zip,38386e47208de53dddfcb47490533d19284dd2331099b0679fcf75e7e0eb5b1e,2114115,38386e47208de53dddfcb47490533d19284dd2331099b0679fcf75e7e0eb5b1e,True,True,True,44640,44640,1.0,2022-01-01T00:00:00+00:00,2022-01-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-02,ETHUSDT-1m-2022-02.zip,4a316d17bac7b19f6d55e23910479b0354177bead4d6488f5829cb959df85178,1912778,4a316d17bac7b19f6d55e23910479b0354177bead4d6488f5829cb959df85178,True,True,True,40320,40320,1.0,2022-02-01T00:00:00+00:00,2022-02-28T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-03,ETHUSDT-1m-2022-03.zip,41d2ebb5fc88f090ec38e51b785b6621738dac1ce996de14e0f9945024c02f78,2089094,41d2ebb5fc88f090ec38e51b785b6621738dac1ce996de14e0f9945024c02f78,True,True,True,44640,44640,1.0,2022-03-01T00:00:00+00:00,2022-03-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-04,ETHUSDT-1m-2022-04.zip,f5eefaafeebe9934811c1ccc46acc93e3de342761dc33349ab6917ade9018e5c,2008130,f5eefaafeebe9934811c1ccc46acc93e3de342761dc33349ab6917ade9018e5c,True,True,True,43200,43200,1.0,2022-04-01T00:00:00+00:00,2022-04-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-05,ETHUSDT-1m-2022-05.zip,7f3e2df3fc5c365cd678233c27d7a8864855bab0709370ac665d388e5795dfc3,2110136,7f3e2df3fc5c365cd678233c27d7a8864855bab0709370ac665d388e5795dfc3,True,True,True,44640,44640,1.0,2022-05-01T00:00:00+00:00,2022-05-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-06,ETHUSDT-1m-2022-06.zip,c189abf1f43601f3a389819f93a955ba0d96dab19dee0804dc1c741e26977e8c,2056565,c189abf1f43601f3a389819f93a955ba0d96dab19dee0804dc1c741e26977e8c,True,True,True,43200,43200,1.0,2022-06-01T00:00:00+00:00,2022-06-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-07,ETHUSDT-1m-2022-07.zip,d536b2ae7c8161736f3f54e6d196ab53c86616e983b6c195ddad02936517e079,2119356,d536b2ae7c8161736f3f54e6d196ab53c86616e983b6c195ddad02936517e079,True,True,True,44640,44640,1.0,2022-07-01T00:00:00+00:00,2022-07-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-08,ETHUSDT-1m-2022-08.zip,6d5171bf39094bf479c49d7835bd99e4880b497bfcb3ccd655fc9298a7f508d9,2107847,6d5171bf39094bf479c49d7835bd99e4880b497bfcb3ccd655fc9298a7f508d9,True,True,True,44640,44640,1.0,2022-08-01T00:00:00+00:00,2022-08-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-09,ETHUSDT-1m-2022-09.zip,2f608ec0e0072c8ec88dc8df798e101af9937702edd37f3447107faa00c84445,2020746,2f608ec0e0072c8ec88dc8df798e101af9937702edd37f3447107faa00c84445,True,True,True,43200,43200,1.0,2022-09-01T00:00:00+00:00,2022-09-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-10,ETHUSDT-1m-2022-10.zip,99648a89a2a713738cf36780f748a6ab9f84737d52fde3728dd59218ac832bc3,2020787,99648a89a2a713738cf36780f748a6ab9f84737d52fde3728dd59218ac832bc3,True,True,True,44640,44640,1.0,2022-10-01T00:00:00+00:00,2022-10-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-11,ETHUSDT-1m-2022-11.zip,925acf2264f9ffbe1dea1beada4b480eed9bfd7585bebe799a276d7e85ada0df,1994209,925acf2264f9ffbe1dea1beada4b480eed9bfd7585bebe799a276d7e85ada0df,True,True,True,43200,43200,1.0,2022-11-01T00:00:00+00:00,2022-11-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2022-12,ETHUSDT-1m-2022-12.zip,0a4c1f1a0d983cdf3207737bcff6550e6fa00dd6e0e4abb7a6c686beaca5a58f,1955495,0a4c1f1a0d983cdf3207737bcff6550e6fa00dd6e0e4abb7a6c686beaca5a58f,True,True,True,44640,44640,1.0,2022-12-01T00:00:00+00:00,2022-12-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-01,ETHUSDT-1m-2023-01.zip,c69ea0c9b620b53f15dc5e20a1446a2f233e2d8c8dd8eaa8bf49dae92f3162c3,1989184,c69ea0c9b620b53f15dc5e20a1446a2f233e2d8c8dd8eaa8bf49dae92f3162c3,True,True,True,44640,44640,1.0,2023-01-01T00:00:00+00:00,2023-01-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-02,ETHUSDT-1m-2023-02.zip,4ee0c9bf3c53c038798df52b085156f0fae2c59406e3e1c02ade5f680a129a11,1828792,4ee0c9bf3c53c038798df52b085156f0fae2c59406e3e1c02ade5f680a129a11,True,True,True,40320,40320,1.0,2023-02-01T00:00:00+00:00,2023-02-28T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-03,ETHUSDT-1m-2023-03.zip,e2552c2298f4b67027bfa1f7da364b0d398e96a76dae8fa2085dddf357f60a69,2052232,e2552c2298f4b67027bfa1f7da364b0d398e96a76dae8fa2085dddf357f60a69,True,True,True,44560,44640,0.9982078853046595,2023-03-01T00:00:00+00:00,2023-03-31T23:59:00+00:00,True,True,True,True,True,True,True,False,True,True,1,80
ETHUSDT,2023-04,ETHUSDT-1m-2023-04.zip,87d0e7d1a21d72636f60cdd50557c90cc1921664596f5b4e9713c0365c3410c5,1956086,87d0e7d1a21d72636f60cdd50557c90cc1921664596f5b4e9713c0365c3410c5,True,True,True,43200,43200,1.0,2023-04-01T00:00:00+00:00,2023-04-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-05,ETHUSDT-1m-2023-05.zip,fe57aa54eb3467ec40d04c1585e8019c8fb0fb2085abf28bb8e615ab5461def0,1980623,fe57aa54eb3467ec40d04c1585e8019c8fb0fb2085abf28bb8e615ab5461def0,True,True,True,44640,44640,1.0,2023-05-01T00:00:00+00:00,2023-05-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-06,ETHUSDT-1m-2023-06.zip,c12d39ce1b3b6a47e09e4b5a1c64d39939b9b58108f2c6f87e39d544cb0430f3,1907373,c12d39ce1b3b6a47e09e4b5a1c64d39939b9b58108f2c6f87e39d544cb0430f3,True,True,True,43200,43200,1.0,2023-06-01T00:00:00+00:00,2023-06-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-07,ETHUSDT-1m-2023-07.zip,ad0b53a0f9b7ec4dd13c3d9c8a2f93dcbf797ea7ae40c8a109f5a275983869f2,1920823,ad0b53a0f9b7ec4dd13c3d9c8a2f93dcbf797ea7ae40c8a109f5a275983869f2,True,True,True,44640,44640,1.0,2023-07-01T00:00:00+00:00,2023-07-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-08,ETHUSDT-1m-2023-08.zip,fd3f848b8ee996504745083b8b2a34e5bdf2bd388a8fc7edf426d8dc10bffe7f,1884880,fd3f848b8ee996504745083b8b2a34e5bdf2bd388a8fc7edf426d8dc10bffe7f,True,True,True,44640,44640,1.0,2023-08-01T00:00:00+00:00,2023-08-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-09,ETHUSDT-1m-2023-09.zip,7bfed19a472eaa4691d1920c865d07436262e7dc9ad737509db14dc6bcc2429e,1840420,7bfed19a472eaa4691d1920c865d07436262e7dc9ad737509db14dc6bcc2429e,True,True,True,43200,43200,1.0,2023-09-01T00:00:00+00:00,2023-09-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-10,ETHUSDT-1m-2023-10.zip,e7c67fa12dd93c7bebd4a5893852b3b1b0ac3faf30ec2a590fa6c942fabf4e4d,1958976,e7c67fa12dd93c7bebd4a5893852b3b1b0ac3faf30ec2a590fa6c942fabf4e4d,True,True,True,44640,44640,1.0,2023-10-01T00:00:00+00:00,2023-10-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-11,ETHUSDT-1m-2023-11.zip,b3a5ba98d81b4bc62022d35d85d4e28c6ab7ca550d8283643191f66f6f986c66,1960231,b3a5ba98d81b4bc62022d35d85d4e28c6ab7ca550d8283643191f66f6f986c66,True,True,True,43200,43200,1.0,2023-11-01T00:00:00+00:00,2023-11-30T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
ETHUSDT,2023-12,ETHUSDT-1m-2023-12.zip,9a0d342828ced43d17a97341234ec9d6344eba9945b5a5dccc73eabb253a83bb,2040096,9a0d342828ced43d17a97341234ec9d6344eba9945b5a5dccc73eabb253a83bb,True,True,True,44640,44640,1.0,2023-12-01T00:00:00+00:00,2023-12-31T23:59:00+00:00,True,True,True,True,True,True,True,True,True,True,0,0
