scope,variant_id,cost_multiplier,trade_count,net_return,monthly_geometric_return,maximum_drawdown,profit_factor,minimum_cash,minimum_equity,capital_feasible
STANDALONE,CS_TOP1_BALANCED_12PCT,1.0,351,-0.06892305450961589,-0.0009911532680415558,0.1629012553368152,0.8300597877224993,81484.68211539727,93107.69454903841,True
STANDALONE,CS_TOP1_BALANCED_12PCT,1.5,351,-0.10842028885081034,-0.0015922925818786515,0.19005886299516006,0.7476049124423945,77549.91950343698,89157.97111491897,True
STANDALONE,CS_TOP1_BALANCED_12PCT,2.0,351,-0.1479175231920039,-0.002220288205671217,0.21820167569116822,0.6748680623740771,73615.15689147677,85208.24768079961,True
STANDALONE,CS_TOP1_BALANCED_12PCT,3.0,351,-0.22691199187439237,-0.0035673519699965794,0.2821830110662511,0.5550124816488929,65745.63166755623,77308.80081256076,True
OVERLAY,CS_TOP1_BALANCED_12PCT,1.0,786,0.8915326814538156,0.008890036036074411,0.13884331903897928,1.3652810989506743,5584.611239784215,95274.529737011,True
OVERLAY,CS_TOP1_BALANCED_12PCT,1.5,786,0.6240065701018256,0.006755981828836521,0.18461282127655176,1.2395366472054656,4489.470210955893,94489.1370556399,True
OVERLAY,CS_TOP1_BALANCED_12PCT,2.0,786,0.3564804587498016,0.004242720725113225,0.24087392294098176,1.1282396940932968,-3856.4798944177383,93627.43400711392,False
OVERLAY,CS_TOP1_BALANCED_12PCT,3.0,786,-0.17857176395421237,-0.002727794605275724,0.41052893549006686,0.9434014902984776,-56524.69302475738,82142.82360457876,False
STANDALONE,CS_TOP2_DIVERSIFIED_8PCT,1.0,437,-0.05315994211126085,-0.0007582356099116172,0.11508219196523839,0.8341079338540826,79200.31620654522,94684.00578887391,True
STANDALONE,CS_TOP2_DIVERSIFIED_8PCT,1.5,437,-0.0853580624822321,-0.0012381767032897395,0.1379610288618437,0.749079817722556,76042.45119185558,91464.1937517768,True
STANDALONE,CS_TOP2_DIVERSIFIED_8PCT,2.0,437,-0.11755618285320413,-0.0017350764240802174,0.161693032797536,0.674653164272824,72884.58617716582,88244.38171467959,True
STANDALONE,CS_TOP2_DIVERSIFIED_8PCT,3.0,437,-0.18195242359514874,-0.002784903665072447,0.21700159606999347,0.5529988514433546,66568.85614778625,81804.75764048513,True
OVERLAY,CS_TOP2_DIVERSIFIED_8PCT,1.0,839,0.9438362550442982,0.00927223006818445,0.1319783412663188,1.3979331240993091,5198.01035138053,95287.4355816492,True
OVERLAY,CS_TOP2_DIVERSIFIED_8PCT,1.5,839,0.6807959976862075,0.007236598981947173,0.17539672853819377,1.268776040982224,4140.541351477419,94472.8856753837,True
OVERLAY,CS_TOP2_DIVERSIFIED_8PCT,2.0,839,0.41775574032809115,0.004859019237891227,0.2283190822369704,1.154463349463074,-120.0793175519284,93644.49579372059,False
OVERLAY,CS_TOP2_DIVERSIFIED_8PCT,3.0,839,-0.10832477438810806,-0.001590807430816521,0.3786556836654833,0.9647519455301012,-49597.21224998153,89167.5225611892,False
STANDALONE,MTF_STRONG_BULL_TOP1_15PCT,1.0,219,-0.05368263445477117,-0.0007658974840425437,0.10946148475808315,0.8402543691264209,80051.37653570523,94631.73655452288,True
STANDALONE,MTF_STRONG_BULL_TOP1_15PCT,1.5,219,-0.08384093114230096,-0.00121519110844015,0.13548140566054856,0.7636512535469138,77091.99096814939,91615.9068857699,True
STANDALONE,MTF_STRONG_BULL_TOP1_15PCT,2.0,219,-0.11399922782982874,-0.0016793126545461279,0.1616442128615181,0.6956334629392353,74094.41185933953,88600.07721701713,True
STANDALONE,MTF_STRONG_BULL_TOP1_15PCT,3.0,219,-0.1743158212048863,-0.002656228154345186,0.21440322004628676,0.5828530235358185,68099.25364171964,82568.41787951137,True
OVERLAY,MTF_STRONG_BULL_TOP1_15PCT,1.0,701,0.9157028408983778,0.009067931307745969,0.13400307253661603,1.384285158321966,5548.500718517222,95224.71308462265,True
OVERLAY,MTF_STRONG_BULL_TOP1_15PCT,1.5,701,0.6541931593766279,0.007013481894299067,0.17795634800789428,1.2572624607305265,4551.594206336165,94461.13586251608,True
OVERLAY,MTF_STRONG_BULL_TOP1_15PCT,2.0,701,0.3926834778548498,0.0046100825741619555,0.23160226690364305,1.144734801216819,-6123.682425437473,93697.5586404095,False
OVERLAY,MTF_STRONG_BULL_TOP1_15PCT,3.0,701,-0.13033588518867067,-0.0019372740671755873,0.38442485517781166,0.9576735330390198,-51640.293922059005,86966.41148113293,False
STANDALONE,MTF_STRUCTURE_TOP1_10PCT,1.0,183,-0.011037403558412762,-0.0001541054428988442,0.0746618725862832,0.9385247962494292,89413.3901031486,98630.07304087708,True
STANDALONE,MTF_STRUCTURE_TOP1_10PCT,1.5,183,-0.027904742192151444,-0.00039291667261898144,0.08551821639720236,0.8532423658874285,87758.28148745172,96953.54515664658,True
STANDALONE,MTF_STRUCTURE_TOP1_10PCT,2.0,183,-0.04477208082588946,-0.0006358495726579427,0.09649149931460166,0.7777863470968939,86103.17287175491,95277.01727241617,True
STANDALONE,MTF_STRUCTURE_TOP1_10PCT,3.0,183,-0.0785067580933656,-0.0011346716048339367,0.11879652242003236,0.6525102142627346,82792.95564036128,91923.96150395532,True
OVERLAY,MTF_STRUCTURE_TOP1_10PCT,1.0,686,0.978372357277824,0.009519073720653637,0.12357796713023506,1.4292196207367014,5234.308438638698,95223.22634840429,True
OVERLAY,MTF_STRUCTURE_TOP1_10PCT,1.5,686,0.7241745872723846,0.0075930505855179575,0.164334757970789,1.2974598135016226,4242.95086692561,94500.9229930554,True
OVERLAY,MTF_STRUCTURE_TOP1_10PCT,2.0,686,0.4699768172669119,0.005363863110942724,0.21355594436325742,1.1807886956611833,1206.5278387518701,93778.61963770643,True
OVERLAY,MTF_STRUCTURE_TOP1_10PCT,3.0,686,-0.03841872274399505,-0.0005438519776229667,0.3507034909919916,0.9869966700228565,-42813.4450344567,92334.01292700857,False
STANDALONE,CROSS_SECTIONAL_ROTATION_TOP2_6PCT,1.0,206,-0.006748725988303894,-9.402593612561905e-05,0.04355117643743922,0.9460489485990652,88069.06728751185,99158.7607741186,True
STANDALONE,CROSS_SECTIONAL_ROTATION_TOP2_6PCT,1.5,206,-0.018172041934852,-0.000254625171249967,0.05115036371063475,0.8625573559033372,87011.51082676754,98022.80791642838,True
STANDALONE,CROSS_SECTIONAL_ROTATION_TOP2_6PCT,2.0,206,-0.02959535788140011,-0.0004170776642913321,0.05880371846113097,0.7884024615911962,85953.95436602332,96886.85505873818,True
STANDALONE,CROSS_SECTIONAL_ROTATION_TOP2_6PCT,3.0,206,-0.052441989774496434,-0.0007477183178362656,0.07427526368062631,0.6647552916843091,83838.84144453483,94614.94934335777,True
OVERLAY,CROSS_SECTIONAL_ROTATION_TOP2_6PCT,1.0,701,1.0249043672184115,0.009845020782544678,0.11830784376378978,1.4587371369494675,5110.23504012348,95261.90715404847,True
OVERLAY,CROSS_SECTIONAL_ROTATION_TOP2_6PCT,1.5,701,0.7741806388628594,0.007993148506275416,0.15728892030164532,1.3243824085151663,4138.959587228463,94545.5916161179,True
OVERLAY,CROSS_SECTIONAL_ROTATION_TOP2_6PCT,2.0,701,0.5234569105072675,0.005862869871745335,0.204061437150166,1.2053661293510887,3032.5114699756305,93829.27607818731,True
OVERLAY,CROSS_SECTIONAL_ROTATION_TOP2_6PCT,3.0,701,0.022009453796133727,0.0003023538916364643,0.3326590059793626,1.007595209101716,-36770.62738044385,92305.2015297382,False
