variant_id,selection_decision,candidate_count,average_quality_score,hypothetical_net_pnl,hypothetical_return_on_initial_equity,hypothetical_profit_factor
CS_TOP1_BALANCED_12PCT,REJECTED_CROSS_SECTIONAL_RANK,134,0.8315207764230467,423.58697256961386,0.004235869725696138,1.0059403379956322
CS_TOP1_BALANCED_12PCT,REJECTED_QUALITY_GATE,49,0.6685185210757437,1334.4348414837132,0.013344348414837132,1.051980675186024
CS_TOP1_BALANCED_12PCT,SELECTED,634,0.8381228877872322,-18143.280145632278,-0.1814328014563228,0.9435624652560668
CS_TOP2_DIVERSIFIED_8PCT,REJECTED_CROSS_SECTIONAL_RANK,27,0.7846222242900842,-15930.211350114283,-0.15930211350114282,0.1392685106222179
CS_TOP2_DIVERSIFIED_8PCT,REJECTED_QUALITY_GATE,50,0.6673959308831329,1880.4695505486316,0.018804695505486316,1.073250543125503
CS_TOP2_DIVERSIFIED_8PCT,SELECTED,740,0.839184467338535,-2335.5165320132946,-0.023355165320132945,0.993759884044488
MTF_STRONG_BULL_TOP1_15PCT,REJECTED_CROSS_SECTIONAL_RANK,75,0.8946421624139053,3330.1727269947173,0.03330172726994717,1.075929223204679
MTF_STRONG_BULL_TOP1_15PCT,REJECTED_QUALITY_GATE,384,0.7578657895938585,-40683.16877723661,-0.4068316877723661,0.7881384453490857
MTF_STRONG_BULL_TOP1_15PCT,SELECTED,358,0.8866828967749169,20967.737718662953,0.20967737718662952,1.114848920303465
MTF_STRUCTURE_TOP1_10PCT,REJECTED_CROSS_SECTIONAL_RANK,45,0.8922702205100351,27146.38142663683,0.27146381426636834,2.1882157391111394
MTF_STRUCTURE_TOP1_10PCT,REJECTED_QUALITY_GATE,522,0.8032901951051646,-66259.37958936006,-0.6625937958936006,0.7535567697990102
MTF_STRUCTURE_TOP1_10PCT,SELECTED,250,0.8643258426506293,22727.73983114429,0.2272773983114429,1.1793185460147757
CROSS_SECTIONAL_ROTATION_TOP2_6PCT,REJECTED_QUALITY_GATE,516,0.8031056303079629,-63254.60796306281,-0.632546079630628,0.7614950576247925
CROSS_SECTIONAL_ROTATION_TOP2_6PCT,SELECTED,301,0.8676033129288903,46869.349631483856,0.46869349631483853,1.305853723409493
