period_id,universe_id,landmark_age_hours,frozen_decision_row_count,observed_decision_row_count,decision_row_count_delta,frozen_unique_control_position_count,observed_unique_control_position_count,unique_control_position_count_delta,frozen_unique_pair_count,observed_unique_pair_count,unique_pair_count_delta,frozen_unique_signal_day_count,observed_unique_signal_day_count,unique_signal_day_count_delta,frozen_resolved_target_count,observed_resolved_target_count,resolved_target_count_delta,frozen_right_censored_target_count,observed_right_censored_target_count,right_censored_target_count_delta,parity_pass
ROBUSTNESS_2022,C2,24,45,45,0,45,45,0,8,8,0,22,22,0,45,45,0,0,0,0,True
ROBUSTNESS_2022,C2,48,45,45,0,45,45,0,8,8,0,22,22,0,45,45,0,0,0,0,True
ROBUSTNESS_2022,C2,72,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,C2,96,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,C2,120,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,C2,144,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,D2,24,45,45,0,45,45,0,8,8,0,22,22,0,45,45,0,0,0,0,True
ROBUSTNESS_2022,D2,48,45,45,0,45,45,0,8,8,0,22,22,0,45,45,0,0,0,0,True
ROBUSTNESS_2022,D2,72,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,D2,96,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,D2,120,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,D2,144,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,E2,24,45,45,0,45,45,0,8,8,0,22,22,0,45,45,0,0,0,0,True
ROBUSTNESS_2022,E2,48,45,45,0,45,45,0,8,8,0,22,22,0,45,45,0,0,0,0,True
ROBUSTNESS_2022,E2,72,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,E2,96,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,E2,120,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2022,E2,144,21,21,0,21,21,0,7,7,0,12,12,0,21,21,0,0,0,0,True
ROBUSTNESS_2023,C2,24,124,124,0,124,124,0,12,12,0,69,69,0,124,124,0,0,0,0,True
ROBUSTNESS_2023,C2,48,124,124,0,124,124,0,12,12,0,69,69,0,124,124,0,0,0,0,True
ROBUSTNESS_2023,C2,72,60,60,0,60,60,0,10,10,0,38,38,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,C2,96,60,60,0,60,60,0,10,10,0,38,38,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,C2,120,60,60,0,60,60,0,10,10,0,38,38,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,C2,144,60,60,0,60,60,0,10,10,0,38,38,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,D2,24,127,127,0,127,127,0,12,12,0,69,69,0,127,127,0,0,0,0,True
ROBUSTNESS_2023,D2,48,127,127,0,127,127,0,12,12,0,69,69,0,127,127,0,0,0,0,True
ROBUSTNESS_2023,D2,72,60,60,0,60,60,0,11,11,0,41,41,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,D2,96,60,60,0,60,60,0,11,11,0,41,41,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,D2,120,60,60,0,60,60,0,11,11,0,41,41,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,D2,144,60,60,0,60,60,0,11,11,0,41,41,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,E2,24,126,126,0,126,126,0,14,14,0,71,71,0,126,126,0,0,0,0,True
ROBUSTNESS_2023,E2,48,126,126,0,126,126,0,14,14,0,71,71,0,126,126,0,0,0,0,True
ROBUSTNESS_2023,E2,72,60,60,0,60,60,0,11,11,0,39,39,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,E2,96,60,60,0,60,60,0,11,11,0,39,39,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,E2,120,60,60,0,60,60,0,11,11,0,39,39,0,60,60,0,0,0,0,True
ROBUSTNESS_2023,E2,144,60,60,0,60,60,0,11,11,0,39,39,0,60,60,0,0,0,0,True
