score_bin,candidate_count,accepted_count,mean_forward_20_bar_return
LT_50,3013,0,0.02564630896252456
50_60,441,0,0.049850062396131954
60_70,212,0,0.1212730571509341
70_80,58,16,0.1466607912653168
80_90,14,6,0.25787690873831987
90_100,2,1,0.061584794044878766
