component_id,layer,initial_status,first_economic_candidate
PIT_DYNAMIC_UNIVERSE,UNIVERSE,REUSE_AND_REVALIDATE_EXISTING,True
MULTI_TIMEFRAME_FEATURE_CONTEXT,FEATURES,ARCHITECTURE_SLOT_DEFINED,True
TREND_PULLBACK_CONTINUATION,SETUP,FIRST_SETUP_FAMILY_ONLY,True
MOMENTUM_BREAKOUT,SETUP,DEFERRED_REQUIRES_INDEPENDENT_EDGE_PROOF,False
VOLATILITY_EXPANSION,SETUP,DEFERRED_REQUIRES_INDEPENDENT_EDGE_PROOF,False
STRUCTURAL_REVERSAL_RECLAIM,SETUP,DEFERRED_REQUIRES_INDEPENDENT_EDGE_PROOF,False
MINIMAL_OPPORTUNITY_SCORER,SCORING,FIRST_CANDIDATE_LIMIT_2_TO_3_COMPONENTS,True
FULL_MULTI_COMPONENT_SCORER,SCORING,DEFERRED_REQUIRES_ABLATION,False
HORIZON_ALIGNED_EXPECTED_MOVE,ECONOMICS,P1_EVIDENCE_RECONCILIATION_REQUIRED,True
BASE_AND_2X_COST_MODEL,ECONOMICS,MANDATORY,True
FIXED_RISK_BASELINE_SIZER,RISK,FIRST_CANDIDATE_BASELINE,True
ADAPTIVE_POSITION_SIZER,RISK,DEFERRED_REQUIRES_INCREMENTAL_VALUE_TEST,False
MINIMAL_CAUSAL_EXIT,EXIT,FIRST_CANDIDATE_BASELINE_TO_BE_FROZEN,True
ADAPTIVE_FIVE_STATE_TRAILING,EXIT,DEFERRED_REQUIRES_INCREMENTAL_VALUE_TEST,False
DYNAMIC_PARTIAL_SELLING,EXIT,DEFERRED_REQUIRES_INCREMENTAL_VALUE_TEST,False
CONVEX_RUNNER_NO_UPSIDE_CAP,EXIT,DEFERRED_UNTIL_CONCENTRATION_GATES_DEFINED,False
CASH_FEASIBLE_ADMISSION,PORTFOLIO,MANDATORY_FROM_FIRST_RUN,True
CAPITAL_REPLACEMENT_ARBITRATION,PORTFOLIO,DEFERRED_REQUIRES_SWITCHING_HURDLE_ABLATION,False
CORRELATION_CLUSTER_RISK,PORTFOLIO,DEFERRED_BUT_INTERFACE_RESERVED,False
QUANTITATIVE_REENTRY_POLICY,PORTFOLIO,DEFERRED_REQUIRES_NEW_INFORMATION_RULE,False
