period_id,universe_id,terminal_outcome_archetype,control_position_count
ROBUSTNESS_2022,C2,MAX_HOLD_168H,21
ROBUSTNESS_2022,C2,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,24
ROBUSTNESS_2022,D2,MAX_HOLD_168H,21
ROBUSTNESS_2022,D2,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,24
ROBUSTNESS_2022,E2,MAX_HOLD_168H,21
ROBUSTNESS_2022,E2,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,24
ROBUSTNESS_2023,C2,MAX_HOLD_168H,60
ROBUSTNESS_2023,C2,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,64
ROBUSTNESS_2023,D2,MAX_HOLD_168H,60
ROBUSTNESS_2023,D2,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,67
ROBUSTNESS_2023,E2,MAX_HOLD_168H,60
ROBUSTNESS_2023,E2,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,66
