universe_id,frozen_reference_count,reconstructed_overlap_count,row_count_match,key_match,exit_reason_match,price_match,maximum_entry_price_absolute_error,maximum_exit_price_absolute_error,parity_pass
C2,169,169,True,True,True,True,0.0,0.0,True
D2,172,172,True,True,True,True,0.0,0.0,True
E2,171,171,True,True,True,True,0.0,0.0,True
ALL,512,512,True,True,True,True,0.0,0.0,True
