period_id,universe_id,control_position_count,resolved_count,right_censored_count,right_censored_share,original_overlap_resolved_count,boundary_extension_position_count,boundary_extension_resolved_count,boundary_extension_right_censored_count,force_close_at_cutoff_used,last_available_price_used_as_terminal_exit
ROBUSTNESS_2022,C2,45,45,0,0.0,45,0,0,0,False,False
ROBUSTNESS_2022,D2,45,45,0,0.0,45,0,0,0,False,False
ROBUSTNESS_2022,E2,45,45,0,0.0,45,0,0,0,False,False
ROBUSTNESS_2023,C2,124,124,0,0.0,124,0,0,0,False,False
ROBUSTNESS_2023,D2,127,127,0,0.0,127,0,0,0,False,False
ROBUSTNESS_2023,E2,126,126,0,0.0,126,0,0,0,False,False
