policy_id,portfolio_id,universe_id,cost_multiplier,pair,signal_time,entry_time,exit_time,holding_hours,exit_reason,entry_price,exit_price,quantity,entry_notional,exit_notional,entry_cost,exit_cost,gross_pnl,net_pnl,period_id,membership_rank,support_families,support_count,atr24_at_signal,high_water_at_exit,entry_market_state,exit_market_state,entry_market_context,exit_market_context,lifecycle_class,degraded_since_at_exit,replay_policy_id,control_position_id,risk_set_class,terminal_observed,censor_time,original_completion_eligible,boundary_extension
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,113.531,107.591,79.27350239141732,9000.0,8529.115395794981,11.25,10.661394244743727,-470.88460420501906,-492.7959984497628,ROBUSTNESS_2022,4,MOMENTUM_BREAKOUT,1,2.0215,117.5,TRANSITION,RISK_OFF,MIXED,STRESSED,MB_SUPPORTED,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000001,RESOLVED_CONTROL_OUTCOME,True,,True,False
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-05 18:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3839.21,3792.5,2.347874813094988,9013.984461182408,8904.315228662741,11.267480576478011,11.130394035828427,-109.66923251966728,-132.0671071319737,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,24.1875,3894.35,TRANSITION,RISK_OFF,MIXED,STRESSED,MB_SUPPORTED,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000002,RESOLVED_CONTROL_OUTCOME,True,,True,False
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,ETH-USDT,2022-02-09 20:00:00+00:00,2022-02-09 21:00:00+00:00,2022-02-12 21:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3246.99,2953.22,5.508955876364044,17887.524640995285,16269.15867319582,22.359405801244108,20.336448341494776,-1618.3659677994656,-1661.0618219422045,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,36.33166666666671,3284.0,RISK_ON,TRANSITION,SUPPORTIVE,STRESSED,MB_SUPPORTED,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000003,RESOLVED_CONTROL_OUTCOME,True,,True,False
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,ATOM-USDT,2022-02-14 23:00:00+00:00,2022-02-15 00:00:00+00:00,2022-02-22 00:00:00+00:00,168,MAX_HOLD_168H,27.1108,24.614,648.7648285202093,17588.53351304569,15968.697489196433,21.985666891307115,19.96087186149554,-1619.8360238492587,-1661.7825626020613,ROBUSTNESS_2022,3,RELATIVE_STRENGTH_ROTATION,1,0.4511666666666666,30.8568,RISK_ON,RISK_OFF,SUPPORTIVE,STRESSED,RS_ONLY,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000004,RESOLVED_CONTROL_OUTCOME,True,,True,False
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,BTC-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-18 03:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,43461.0,40791.6,0.4076875451953389,17718.508401734623,16630.227268590184,22.14813550216828,20.78778408573773,-1088.281133144439,-1131.217052732345,ROBUSTNESS_2022,1,MOMENTUM_BREAKOUT,1,342.4375000000003,44800.8,RISK_ON,RISK_OFF,SUPPORTIVE,STRESSED,MB_SUPPORTED,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000005,RESOLVED_CONTROL_OUTCOME,True,,True,False
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,ETH-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-18 03:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,3020.71,2908.91,5.864356968177758,17714.521737344236,17058.886628301963,22.143152171680295,21.323608285377453,-655.6351090422722,-699.10186949933,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,31.655416666666596,3197.57,RISK_ON,RISK_OFF,SUPPORTIVE,STRESSED,MB_SUPPORTED,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000006,RESOLVED_CONTROL_OUTCOME,True,,True,False
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,SOL-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-18 03:00:00+00:00,72,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,102.022,94.985,173.5952634721269,17710.535969953333,16488.946100899975,22.138169962441665,20.611182626124968,-1221.5898690533577,-1264.3392216419243,ROBUSTNESS_2022,4,MOMENTUM_BREAKOUT,1,1.5941249999999982,105.751,RISK_ON,RISK_OFF,SUPPORTIVE,STRESSED,MB_SUPPORTED,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000007,RESOLVED_CONTROL_OUTCOME,True,,True,False
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,AVAX-USDT,2022-02-15 08:00:00+00:00,2022-02-15 09:00:00+00:00,2022-02-22 09:00:00+00:00,168,MAX_HOLD_168H,85.128,68.945,199.988550810618,17024.62535340629,13788.210635638055,21.280781691757863,17.23526329454757,-3236.4147177682335,-3274.930762754539,ROBUSTNESS_2022,5,MOMENTUM_BREAKOUT,1,1.2844166666666652,98.683,RISK_ON,RISK_OFF,SUPPORTIVE,STRESSED,MB_SUPPORTED,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000008,RESOLVED_CONTROL_OUTCOME,True,,True,False
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,ETH-USDT,2022-03-22 04:00:00+00:00,2022-03-22 05:00:00+00:00,2022-03-29 05:00:00+00:00,168,MAX_HOLD_168H,3007.11,3370.1,5.368239488606753,16142.886648584254,18091.50390055362,20.17860831073032,22.614379875692027,1948.6172519693664,1905.824263782944,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,29.407916666666665,3430.0,RISK_ON,RISK_ON,SUPPORTIVE,SUPPORTIVE,MB_SUPPORTED,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000009,RESOLVED_CONTROL_OUTCOME,True,,True,False
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,BTC-USDT,2022-03-22 05:00:00+00:00,2022-03-22 06:00:00+00:00,2022-03-29 06:00:00+00:00,168,MAX_HOLD_168H,42994.0,47601.2,0.3758452875120835,16159.092291294519,17890.68669992019,20.19886536411815,22.363358374900237,1731.5944086256695,1689.0321848866513,ROBUSTNESS_2022,1,MOMENTUM_BREAKOUT,1,328.09583333333376,48195.2,RISK_ON,RISK_ON,SUPPORTIVE,SUPPORTIVE,MB_SUPPORTED,,REGIME_HYSTERESIS_ADMISSION_GOVERNOR,C2:000010,RESOLVED_CONTROL_OUTCOME,True,,True,False
