architecture_id,variant_id,decision,carry_forward,description,trend_source,compression_source,trend_cooldown_hours,compression_cooldown_hours,consensus_risk_multiplier,strong_bull_risk_multiplier,maximum_open_risk_fraction,candidate_count,trade_count,net_return,cagr,monthly_geometric_return,maximum_drawdown,profit_factor,win_rate,total_fees,turnover_on_initial_equity,minimum_cash,minimum_equity,capital_feasible,two_x_net_return,two_x_profit_factor,two_x_capital_feasible,positive_active_year_fraction,top_3_trade_profit_share,top_engine_profit_share,both_engines_positive,mean_high_opportunity_capture,high_opportunity_bull_adequacy,delta_net_return_vs_baseline,delta_monthly_return_vs_baseline,delta_maximum_drawdown_vs_baseline,delta_two_x_return_vs_baseline,delta_high_opportunity_capture_vs_baseline,strategic_objective_met,rationale
COMPOSITE_ALPHA_V1,BASELINE,REFERENCE_BASELINE,False,Frozen RD16-G COMPOSITE_ALPHA_V1 baseline.,FROZEN_RD16F,FROZEN_RD16F,24,24,1.0,1.0,0.015,631,554,0.49114198144670174,0.06884267638874997,0.005563456550970125,0.099340842472462,1.338906211649608,0.40613718411552346,32893.9737213666,164.05982774750282,29657.560719591755,96206.36168124848,True,0.1622022442330282,1.0978834295292306,True,0.8333333333333334,0.11744280129667305,0.6372070000863125,True,0.03498456181916195,False,0.0,0.0,0.0,0.0,0.0,False,Frozen RD16-G comparison baseline.
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_STRUCTURE_BREADTH,PROMISING_BUT_FRAGILE,False,Use retained Trend diagnostic-plus-structure trades inside STRONG_BULL and full-stack Trend trades elsewhere.,STRONG_BULL_STRUCTURE,FULL,24,24,1.0,1.0,0.015,682,560,0.5544320673813647,0.07627176796186474,0.006144047897558735,0.10249551634425258,1.3810003355678937,0.40714285714285714,33260.15858092638,165.85727607803656,29657.560719591755,96206.36168124848,True,0.2218304815720935,1.1331712312985622,True,0.8333333333333334,0.11710831357219972,0.6644983723526119,True,0.036940466391496535,False,0.06329008593466301,0.0005805913465886103,-0.003154673871790581,0.059628237339065304,0.001955904572334584,False,Improves at least two fixed dimensions but fails one or more retention gates.
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,PROMISING_BUT_FRAGILE,False,Use retained Trend all-diagnostic-gates trades inside STRONG_BULL and full-stack Trend trades elsewhere.,STRONG_BULL_DIAGNOSTIC,FULL,24,24,1.0,1.0,0.015,890,683,0.5722395489637722,0.07831655003537952,0.006303205034414061,0.08258605779870243,1.3132681857888187,0.404099560761347,40388.018010217274,201.45203018655337,29018.69531856892,95567.49628022565,True,0.16835936886159542,1.080805222937684,True,0.8333333333333334,0.09810462742082877,0.8893891534031776,True,0.04220812678472685,False,0.08109756751707042,0.0007397484834439361,0.01675478467375957,0.006157124628567212,0.007223564965564901,False,Improves at least two fixed dimensions but fails one or more retention gates.
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,REJECT_EXPANSION,False,Use retained Compression diagnostic-plus-structure trades inside STRONG_BULL and full-stack Compression trades elsewhere.,FULL,STRONG_BULL_STRUCTURE,24,24,1.0,1.0,0.015,773,621,0.43912691743039756,0.0625376790907084,0.005067805092011657,0.1390563771308987,1.2706811964702474,0.37359098228663445,37275.92398286163,185.97367683567862,28841.90756369171,95390.70852534844,True,0.06636767760177276,1.035517686017058,True,0.5,0.11375284750979875,0.6243242896819269,True,0.030426366238404657,False,-0.05201506401630418,-0.0004956514589584682,-0.03971553465843669,-0.09583456663125545,-0.004558195580757294,False,Does not provide sufficient robust and material expansion evidence.
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,REJECT_EXPANSION,False,Use retained diagnostic-plus-structure breadth for both engines inside STRONG_BULL.,STRONG_BULL_STRUCTURE,STRONG_BULL_STRUCTURE,24,24,1.0,1.0,0.015,824,627,0.5024170033650623,0.07018515055186847,0.005668645594142152,0.14044773348302086,1.3085518335073567,0.3748006379585327,37642.1088424214,187.77112516621239,28841.90756369171,95390.70852534844,True,0.12599591494083717,1.067117679149413,True,0.5,0.11093378675357381,0.6560639793999056,True,0.032771554490305936,False,0.011275021918360606,0.00010518904317202704,-0.041106891010558866,-0.03620632929219103,-0.002213007328856015,False,Does not provide sufficient robust and material expansion evidence.
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,RETAIN_FOR_COMPOSITE_V2_REGISTRATION,True,Reconstruct full-like Trend candidates before cooldown and apply a fixed 12-hour Trend cooldown; Compression remains at 24 hours.,PRECOOLDOWN_FEE_BUFFER,FULL,12,24,1.0,1.0,0.015,677,590,0.6226862404776115,0.0840061987662648,0.006744611588664684,0.09042490529773628,1.405460492249722,0.4135593220338983,34890.05612320508,173.9644872151706,29657.560719591755,96206.36168124848,True,0.27378567924555064,1.1561361223358,True,0.6666666666666666,0.109034798692895,0.7051191466974138,True,0.041768783168266405,False,0.13154425903090972,0.001181155037694559,0.008915937174725719,0.11158343501252244,0.006784221349104454,False,Passes all robust expansion gates and materially improves return or high-opportunity bull capture.
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,PROMISING_BUT_FRAGILE,False,Use baseline sources and scale fixed risk to 0.75% only when both engines signal the same symbol and entry time.,FULL,FULL,24,24,1.5,1.0,0.0225,631,554,0.5043066603846942,0.07040932280406809,0.005686198737777204,0.0994392273697241,1.3401341030848861,0.40613718411552346,34032.908821518104,169.74222623329058,13614.279826899474,96107.29206337284,True,0.16397757216950803,1.0966144229897858,False,0.8333333333333334,0.11816908765804451,0.6466775340688933,True,0.03440445695210385,False,0.013164678937992447,0.00012274218680707882,-9.838489726210486e-05,0.0017753279364798313,-0.0005801048670581038,False,Improves at least two fixed dimensions but fails one or more retention gates.
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,RETAIN_FOR_COMPOSITE_V2_REGISTRATION,True,Use baseline sources and scale fixed risk to 0.75% inside STRONG_BULL only.,FULL,FULL,24,24,1.0,1.5,0.0225,631,554,0.6958597909132738,0.09200257645063847,0.007361399249653955,0.12583577168468463,1.3306554335535514,0.40613718411552346,47757.99094594856,238.20323487955645,3359.8551604996246,95178.94982197955,True,0.21827988145377608,1.0906784367386215,False,0.6666666666666666,0.1220628921926535,0.6317537783758084,True,0.04906487871925844,False,0.20471780946657203,0.0017979426986838298,-0.02649492921222263,0.05607763722074788,0.014080316900096486,False,Passes all robust expansion gates and materially improves return or high-opportunity bull capture.
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,PROMISING_BUT_FRAGILE,False,Use baseline sources and scale fixed risk to 1.00% inside STRONG_BULL only.,FULL,FULL,24,24,1.0,2.0,0.03,631,554,0.9005776003798145,0.11293862581156788,0.008956868802751927,0.1455563262663827,1.3263228319452625,0.40613718411552346,62622.00817053051,312.34664201161,-29864.05199951015,94127.16867998967,False,0.2743575186744873,1.0868968972862576,False,0.6666666666666666,0.12451198521053232,0.6287797913312321,True,0.06159572708316178,False,0.40943561893311275,0.003393412251781802,-0.04621548379392071,0.11215527444145912,0.026611165263999828,False,Improves at least two fixed dimensions but fails one or more retention gates.
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,RETAIN_FOR_COMPOSITE_V2_REGISTRATION,True,"Combine Trend strong-bull structure breadth, 12-hour Trend cooldown, and a non-compounding 0.75% fixed risk cap for STRONG_BULL or engine agreement.",EVIDENCE_EXPANSION,FULL,12,24,1.5,1.5,0.0225,688,596,0.916365563453498,0.11447384855126796,0.009072777790036568,0.1130412238926507,1.409847927442455,0.41442953020134227,51297.12691843805,255.77096617587134,3359.8551604996246,95178.94982197955,True,0.4033942942691071,1.157795651363098,False,0.6666666666666666,0.11198954130627406,0.6986510648842382,True,0.057199754959560284,False,0.4252235820067962,0.003509321239066443,-0.0137003814201887,0.2411920500360789,0.022215193140398333,False,Passes all robust expansion gates and materially improves return or high-opportunity bull capture.
