architecture_id,variant_id,cost_multiplier,final_equity,net_return,cagr,monthly_geometric_return,maximum_drawdown,profit_factor,win_rate,total_fees,minimum_cash,minimum_equity,capital_feasible
COMPOSITE_ALPHA_V1,BASELINE,1.0,149114.19814467017,0.49114198144670174,0.06884267638874997,0.005563456550970125,0.099340842472462,1.338906211649608,0.40613718411552346,32893.9737213666,29657.560719591755,96206.36168124848,True
COMPOSITE_ALPHA_V1,BASELINE,1.5,132667.21128398867,0.3266721128398866,0.04822936487258378,0.00393291549085828,0.13182381160657108,1.2107769424749408,0.36462093862815886,49340.9605820499,23647.885431977673,95614.6455143022,True
COMPOSITE_ALPHA_V1,BASELINE,2.0,116220.22442330282,0.1622022442330282,0.025363868720485128,0.002089475206308311,0.17022062421682516,1.0978834295292306,0.33212996389891697,65787.9474427332,15105.393043231845,95022.9293473558,True
COMPOSITE_ALPHA_V1,BASELINE,3.0,83326.25070193777,-0.16673749298062235,-0.029937459868057403,-0.0025296895291012644,0.2891488274508819,0.9116606433909145,0.2833935018050541,98681.9211640998,-9321.464471433697,83326.25070193777,False
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_STRUCTURE_BREADTH,1.0,155443.20673813648,0.5544320673813647,0.07627176796186474,0.006144047897558735,0.10249551634425258,1.3810003355678937,0.40714285714285714,33260.15858092638,29657.560719591755,96206.36168124848,True
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_STRUCTURE_BREADTH,1.5,138813.12744767574,0.3881312744767573,0.05616910531394881,0.004564411173991756,0.13401300267995042,1.2492534915252578,0.36428571428571427,49890.23787138957,29065.844552645474,95614.6455143022,True
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_STRUCTURE_BREADTH,2.0,122183.04815720934,0.2218304815720935,0.033948228873111885,0.0027859323540260217,0.17104741260409673,1.1331712312985622,0.33214285714285713,66520.31716185276,22309.965074318912,95022.9293473558,True
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_STRUCTURE_BREADTH,3.0,88922.88957628477,-0.1107711042371523,-0.01937256803095877,-0.0016288948648907065,0.27441965980283867,0.9416709735459283,0.28214285714285714,99780.47574277913,-3724.825597086696,88922.88957628477,False
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,1.0,157223.95489637722,0.5722395489637722,0.07831655003537952,0.006303205034414061,0.08258605779870243,1.3132681857888187,0.404099560761347,40388.018010217274,29018.69531856892,95567.49628022565,True
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,1.5,137029.945891271,0.37029945891271,0.053896138073076916,0.004384074102114388,0.11458456661495287,1.1898050321094382,0.36603221083455345,60582.02701532591,23025.75582220049,94909.43313239892,True
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,2.0,116835.93688615954,0.16835936886159542,0.026267051198764158,0.0021630023133809573,0.16783462695250273,1.080805222937684,0.3294289897510981,80776.03602043455,12721.108262981099,94251.36998457207,True
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,3.0,76447.91887594378,-0.23552081124056223,-0.043764177512298,-0.0037222817456183943,0.35004700586934734,0.9006087619200847,0.2796486090775988,121164.05403065182,-9722.561473533104,76447.91887594378,False
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,1.0,143912.69174303976,0.43912691743039756,0.0625376790907084,0.005067805092011657,0.1390563771308987,1.2706811964702474,0.37359098228663445,37275.92398286163,28841.90756369171,95390.70852534844,True
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,1.5,125274.7297516111,0.2527472975161109,0.03826250036151735,0.003133954206149925,0.1796157731330349,1.1450635833444467,0.33816425120772947,55913.88597429244,27163.903074520917,94737.92594536861,True
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,2.0,106636.76776017727,0.06636767760177276,0.010764987197179332,0.0008926863097218352,0.22865648031413977,1.035517686017058,0.3107890499194847,74551.84796572325,15154.386448298828,94085.14336538872,True
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,3.0,69360.84377731735,-0.3063915622268265,-0.05914088132593698,-0.00506727325791545,0.4154756559357725,0.8566378428594412,0.2640901771336554,111827.77194858488,-21403.583572583484,69360.84377731735,False
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,1.0,150241.70033650624,0.5024170033650623,0.07018515055186847,0.005668645594142152,0.14044773348302086,1.3085518335073567,0.3748006379585327,37642.1088424214,28841.90756369171,95390.70852534844,True
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,1.5,131420.64591529826,0.3142064591529825,0.04658168609809188,0.003801316439848268,0.17957378219855014,1.1795826504680489,0.33811802232854865,56463.1632636321,28189.12498371188,94737.92594536861,True
