architecture_id,variant_id,regime_type,regime,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor,average_r,median_r,average_mfe_r,average_mae_r,average_holding_bars
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,MARKET_TREND,BULL,22,2222.004324619103,0.02222004324619103,0.4090909090909091,1.3330295269062722,0.20200039314719112,-0.8802937737211959,2.1806238937038036,-0.9813274165492009,19.045454545454547
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,MARKET_TREND,STRONG_BULL,630,49053.31864501692,0.49053318645016925,0.4015873015873016,1.2905904910297192,0.15572482109529182,-0.6476691444053535,2.1360430787893887,-1.0707279274971386,16.14920634920635
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,VOLATILITY,LOW_VOLATILITY,140,5584.305081401732,0.055843050814017324,0.40714285714285714,1.16148741239579,0.07977578687716756,-0.5552655687911829,2.0495018130984426,-1.0528338801406976,14.742857142857142
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,VOLATILITY,NORMAL_VOLATILITY,543,51639.649814976685,0.5163964981497668,0.40331491712707185,1.3487111256348956,0.19020128845295287,-0.6572153868181996,2.2212029428875417,-1.0595616439380726,16.681399631675873
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,MARKET_TREND,BEAR,31,5948.631926742401,0.059486319267424016,0.45161290322580644,1.8273626503291738,0.3837827049511227,-0.15658188199579115,3.2052447265457613,-0.8577715609932665,17.06451612903226
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,MARKET_TREND,BULL,22,2222.004324619103,0.02222004324619103,0.4090909090909091,1.3330295269062722,0.20200039314719112,-0.8802937737211959,2.1806238937038036,-0.9813274165492009,19.045454545454547
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,MARKET_TREND,STRONG_BULL,568,35742.055491679304,0.35742055491679303,0.36795774647887325,1.2409008352196698,0.1258523080692933,-0.575475637662447,2.113590581507476,-1.0884892260018373,15.36443661971831
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,VOLATILITY,LOW_VOLATILITY,156,11006.40457090145,0.1100640457090145,0.3717948717948718,1.29748892060118,0.14110775090899294,-0.4600371421899123,2.2591598731901272,-1.0442546271429853,14.685897435897436
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,VOLATILITY,NORMAL_VOLATILITY,465,32906.28717213935,0.32906287172139354,0.3741935483870968,1.2627613418464352,0.1415324179446854,-0.6482967488419299,2.14070284357632,-1.0828780216980898,15.879569892473118
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,MARKET_TREND,BEAR,31,5948.631926742401,0.059486319267424016,0.45161290322580644,1.8273626503291738,0.3837827049511227,-0.15658188199579115,3.2052447265457613,-0.8577715609932665,17.06451612903226
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,MARKET_TREND,BULL,22,2222.004324619103,0.02222004324619103,0.4090909090909091,1.3330295269062722,0.20200039314719112,-0.8802937737211959,2.1806238937038036,-0.9813274165492009,19.045454545454547
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,MARKET_TREND,STRONG_BULL,574,42071.06408514595,0.4207106408514595,0.3693379790940767,1.2824154632330373,0.14658907346740743,-0.5749928043971629,2.1363728073312345,-1.0864148263744977,15.390243902439025
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,VOLATILITY,LOW_VOLATILITY,157,10706.774248532167,0.10706774248532167,0.36942675159235666,1.2870654649656883,0.13639202864372182,-0.461890323698092,2.2540454722035568,-1.0478742025453736,14.598726114649681
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,VOLATILITY,NORMAL_VOLATILITY,470,39534.926087975284,0.39534926087975286,0.37659574468085105,1.3149356682572506,0.16823372803393735,-0.6371603711370083,2.169636520120367,-1.0792893236047059,15.936170212765957
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,MARKET_TREND,BEAR,33,4986.407167160241,0.049864071671602415,0.42424242424242425,1.6116717009425918,0.30220649497940855,-0.5712354391934793,3.0419723747767384,-0.8793884638961594,16.454545454545453
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,MARKET_TREND,BULL,23,1693.3382454862603,0.016933382454862603,0.391304347826087,1.2351610406887374,0.1472468039553269,-0.9246351478013075,2.10103592144615,-1.0034415751479113,18.391304347826086
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,MARKET_TREND,STRONG_BULL,534,55588.87863511595,0.5558887863511595,0.41385767790262173,1.402170367564252,0.20819804732253164,-0.6127265521649099,2.2792085884025672,-1.0911158035088795,16.352059925093634
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,VOLATILITY,LOW_VOLATILITY,126,13845.496258100673,0.13845496258100673,0.4365079365079365,1.4716484273177126,0.21976978187461377,-0.44508834586011775,2.244973368095718,-1.037644934257622,15.777777777777779
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,VOLATILITY,NORMAL_VOLATILITY,464,48423.127789661776,0.48423127789661774,0.4073275862068966,1.3898189671392385,0.20872037840371455,-0.6543639069588046,2.3339216732495784,-1.0862317950307252,16.61637931034483
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,MARKET_TREND,BEAR,31,7931.212575561408,0.07931212575561408,0.45161290322580644,2.1031089396102614,0.3837827049511227,-0.15658188199579115,3.2052447265457613,-0.8577715609932665,17.06451612903226
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,MARKET_TREND,BULL,22,2222.004324619103,0.02222004324619103,0.4090909090909091,1.3330295269062722,0.20200039314719112,-0.8802937737211959,2.1806238937038036,-0.9813274165492009,19.045454545454547
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,MARKET_TREND,STRONG_BULL,501,40277.44913828993,0.4027744913828993,0.4031936127744511,1.2996721586028628,0.16344735286750336,-0.616388536641294,2.1842800857918405,-1.0841338945821999,16.01197604790419
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,VOLATILITY,LOW_VOLATILITY,124,9300.282728796014,0.09300282728796014,0.4274193548387097,1.3063948852610976,0.1601920248145409,-0.46604929411785284,2.17978020544089,-1.0349311755139912,15.508064516129032
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,VOLATILITY,NORMAL_VOLATILITY,430,41130.38330967443,0.4113038330967443,0.4,1.3488194585390954,0.1822432214240445,-0.6543639069588048,2.2589950923056845,-1.0767435743646998,16.388372093023257
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,MARKET_TREND,BEAR,31,5948.631926742401,0.059486319267424016,0.45161290322580644,1.8273626503291738,0.3837827049511227,-0.15658188199579115,3.2052447265457613,-0.8577715609932665,17.06451612903226
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,MARKET_TREND,BULL,22,2222.004324619103,0.02222004324619103,0.4090909090909091,1.3330295269062722,0.20200039314719112,-0.8802937737211959,2.1806238937038036,-0.9813274165492009,19.045454545454547
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,MARKET_TREND,STRONG_BULL,501,61415.34283996438,0.6141534283996438,0.4031936127744511,1.3124085094753708,0.16344735286750334,-0.616388536641294,2.1842800857918405,-1.0841338945821999,16.01197604790419
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,VOLATILITY,LOW_VOLATILITY,124,14451.881629431917,0.14451881629431917,0.4274193548387097,1.3364800691380219,0.16019202481454092,-0.46604929411785284,2.17978020544089,-1.0349311755139912,15.508064516129032
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,VOLATILITY,NORMAL_VOLATILITY,430,55134.097461893965,0.5513409746189396,0.4,1.3291618722104706,0.18224322142404448,-0.6543639069588048,2.2589950923056845,-1.0767435743646998,16.388372093023257
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,MARKET_TREND,BEAR,31,5948.631926742401,0.059486319267424016,0.45161290322580644,1.8273626503291738,0.3837827049511227,-0.15658188199579115,3.2052447265457613,-0.8577715609932665,17.06451612903226
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,MARKET_TREND,BULL,22,2222.004324619103,0.02222004324619103,0.4090909090909091,1.3330295269062722,0.20200039314719112,-0.8802937737211959,2.1806238937038036,-0.9813274165492009,19.045454545454547
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,MARKET_TREND,STRONG_BULL,501,81887.12378661917,0.8188712378661916,0.4031936127744511,1.3124085094753706,0.16344735286750336,-0.616388536641294,2.1842800857918405,-1.0841338945821999,16.01197604790419
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,VOLATILITY,LOW_VOLATILITY,124,18971.8577203623,0.18971857720362298,0.4274193548387097,1.335518884959497,0.1601920248145409,-0.46604929411785284,2.17978020544089,-1.0349311755139912,15.508064516129032
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,VOLATILITY,NORMAL_VOLATILITY,430,71085.9023176184,0.710859023176184,0.4,1.3239531336273254,0.1822432214240445,-0.6543639069588046,2.2589950923056845,-1.0767435743646998,16.388372093023257
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,MARKET_TREND,BEAR,33,6968.987815979248,0.06968987815979248,0.42424242424242425,1.854870548743385,0.30220649497940855,-0.5712354391934793,3.0419723747767384,-0.8793884638961594,16.454545454545453
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,MARKET_TREND,BULL,23,1693.3382454862603,0.016933382454862603,0.391304347826087,1.2351610406887374,0.1472468039553269,-0.9246351478013075,2.10103592144615,-1.0034415751479113,18.391304347826086
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,MARKET_TREND,STRONG_BULL,540,82974.23028388288,0.8297423028388288,0.4148148148148148,1.398466544992464,0.204874642676254,-0.6044803447268257,2.278016167531877,-1.0881137251706312,16.325925925925926
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,VOLATILITY,LOW_VOLATILITY,127,19872.82222527669,0.1987282222527669,0.4330708661417323,1.4579030154024237,0.21332072339734465,-0.46189032369809196,2.2387625456563693,-1.042171572297467,15.661417322834646
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,VOLATILITY,NORMAL_VOLATILITY,469,71763.73412007169,0.7176373412007169,0.4093816631130064,1.3982734407976616,0.20660994882517572,-0.6482967488419299,2.3337202595517024,-1.0817155595892063,16.616204690831555
