architecture_id,variant_id,gross_profit,gross_loss,top_1_trade_profit_share,top_3_trade_profit_share,top_5_trade_profit_share,top_10_trade_profit_share,positive_trade_hhi,top_asset_profit_share,top_asset,top_year_profit_share,top_year,largest_loss_share,net_return_without_top_1,net_return_without_top_3,net_return_without_top_5,net_return_without_top_10,top_engine_profit_share,top_engine
COMPOSITE_ALPHA_V1,BASELINE,194033.93244405245,144919.73429938135,0.06038871671337932,0.11744280129667305,0.17035197354928602,0.2864042983654175,0.01617741123824421,0.3540558501500306,ETH/USDT,0.2806904216243953,2020,0.003905184436417891,0.37396737965524235,0.2632630957183217,0.16060134817297927,-0.06457954136050553,0.6372070000863125,TREND_CONTINUATION_CORE
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_STRUCTURE_BREADTH,200963.30622964556,145520.0994915078,0.05830646598616886,0.11710831357219972,0.1691896400863977,0.2866656851104702,0.016030045816944005,0.38069287994813145,ETH/USDT,0.27101199382599633,2020,0.0038890730070507327,0.4372574655899087,0.319087328556904,0.21442297286571477,-0.021660771242488337,0.6644983723526119,TREND_CONTINUATION_CORE
COMPOSITE_ALPHA_V1,TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,239891.57801388972,182667.6231175113,0.048844816796646456,0.09810462742082877,0.14173448577505962,0.24191802940389,0.012792689578039525,0.3549861134100142,ETH/USDT,0.2675320920116642,2021,0.0030981861002904064,0.45506494717231566,0.336894810139311,0.23223045444812174,-0.008101429273313188,0.8893891534031776,TREND_CONTINUATION_CORE
COMPOSITE_ALPHA_V1,COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,206142.99187350285,162230.30013046204,0.05684141902013891,0.11375284750979875,0.16452554404435535,0.2737608313985159,0.015210087166148628,0.35169630217014475,ETH/USDT,0.281730888147921,2020,0.0034884869870834543,0.32195231563893933,0.20463339423240548,0.09996903854121622,-0.12521185099226853,0.6243242896819269,TREND_CONTINUATION_CORE
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,213072.36565909593,162830.6653225885,0.054992866592067396,0.11093378675357381,0.16288997712790018,0.27441854434320667,0.015081091271280432,0.3768962653360505,ETH/USDT,0.2766502573352296,2021,0.003475624752834876,0.3852424015736057,0.26604775961401783,0.15534347567709716,-0.08229308087425131,0.6560639793999056,TREND_CONTINUATION_CORE
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,215843.69544932173,153575.07140155928,0.054286784493541185,0.109034798692895,0.1575256084306126,0.266902786956373,0.01454096568241001,0.374345868519149,ETH/USDT,0.26423508512004057,2021,0.003685092155588045,0.5055116386861559,0.38734150165315123,0.2826771459619619,0.04659340185375884,0.7051191466974138,TREND_CONTINUATION_CORE
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,198697.67478908846,148267.00875061803,0.05897129994895307,0.11816908765804451,0.17084426657107774,0.2896598210856431,0.016078244560427477,0.3531935952757491,ETH/USDT,0.2884260806309579,2020,0.005536734530018864,0.3871320585932358,0.2695074308886903,0.16484307519750102,-0.07124066891070208,0.6466775340688933,TREND_CONTINUATION_CORE
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,280034.5972902949,210448.61819896905,0.06276435282923319,0.1220628921926535,0.17705346221796323,0.29038463013575566,0.016572346773080143,0.3528855542671012,ETH/USDT,0.2681623731788572,2020,0.00403235197745505,0.520097888226056,0.3540414623206749,0.2000488410026612,-0.11731763868031674,0.6317537783758084,TREND_CONTINUATION_CORE
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,366035.2621365374,275977.5020985567,0.06402366870750312,0.12451198521053232,0.18060589646165534,0.29621096242552597,0.016915213178342086,0.35226518476782825,ETH/USDT,0.27155382707838144,2024,0.004099865123277301,0.6662283967968696,0.44481982892302835,0.2394963338323435,-0.18365897241162732,0.6287797913312321,TREND_CONTINUATION_CORE
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,315223.2825664165,223586.72622106812,0.055757906350134695,0.11198954130627406,0.1617944073233346,0.2712343131091531,0.014826315817832093,0.3710803705064284,ETH/USDT,0.2699977139123469,2021,0.0037954082341554204,0.7406036607662809,0.5633484552167739,0.40635192167998996,0.06137185822433952,0.6986510648842382,TREND_CONTINUATION_CORE
