pair,pre_delisting_kline_found,post_delisting_kline_checked,post_delisting_kline_found,announcement_non_spot_text,classification,technical_failure_reason
ACS-USDT,True,True,True,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,
BOND-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
CELR-USDT,True,True,True,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,
DAR-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
DC-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
KLAY-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
LIT-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
MSN-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
ORN-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
PERP-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
POLS-USDT,True,True,True,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,
QI-USDT,True,True,True,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,
RNDR-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
RPL-USDT,True,True,True,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,
XEM-USDT,True,True,True,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,
ZKX-USDT,False,True,False,True,NO_HISTORICAL_KLINES_FOUND,No E3 pre-event row in bounded window
