announcement_id,published_at,title,description,category,url,explicit_pairs,spot_explicit_pairs,candidate_symbols,non_spot,parsing_confidence,request_id
111812,2024-06-11T07:33:44+00:00,KuCoin Trading Bot Will Delist The Margin Grid of XEM/USDT,KuCoin Trading Bot Will Delist The Margin Grid of XEM/USDT,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-the-margin-grid-of-xem-usdt?lang=en_US,XEM-USDT,,XEM,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-04-01_2024-07-01_p1
109108,2024-05-17T07:39:37+00:00,KuCoin Trading Bot Will Delist STPT PERP/USDT,KuCoin Trading Bot Will Delist STPT PERP/USDT Trading Pair,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-stpt-perp-usdt?lang=en_US,PERP-USDT,,PERP,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-04-01_2024-07-01_p1
121806,2024-09-02T10:44:02+00:00,KuCoin Trading Bot Will Delist the ROOBEE/BTC Trading Pair,KuCoin Trading Bot Will Delist the ROOBEE/BTC Trading Pair,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-the-roobee-btc-trading-pair?lang=en_US,ROOBEE-BTC,,ROOBEE,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-07-01_2024-10-01_p1
118637,2024-08-13T10:04:53+00:00,KuCoin Trading Bot Will Delist The Margin Grid of MSN/USDT,KuCoin Trading Bot Will Delist The Margin Grid of MSN/USDT,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-the-margin-grid-of-msn-usdt?lang=en_US,MSN-USDT,,MSN,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-07-01_2024-10-01_p1
117607,2024-08-02T08:37:00+00:00,KuCoin Trading Bot Will Delist the ZKX/USDT Trading Pair,KuCoin Trading Bot Will Delist the ZKX/USDT Trading Pair,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-the-zkx-usdt-trading-pair?lang=en_US,ZKX-USDT,,ZKX,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-07-01_2024-10-01_p1
115794,2024-07-18T03:24:08+00:00,KuCoin Trading Bot Will Delist The Margin Grid of BOND/USDT and POLS/USDT,KuCoin Trading Bot Will Delist The Margin Grid of BOND/USDT and POLS/USDT,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-the-margin-grid-of-bond-usdt-and-pols-usdt?lang=en_US,BOND-USDT;POLS-USDT,,BOND;POLS,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-07-01_2024-10-01_p1
115268,2024-07-11T07:51:38+00:00,KuCoin Trading Bot Will Delist RNDR/USDT Trading Pair,KuCoin Trading Bot Will Delist RNDR/USDT Trading Pair,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-rndr-usdt-trading-pair?lang=en_US,RNDR-USDT,,RNDR,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-07-01_2024-10-01_p1
114591,2024-07-03T09:59:56+00:00,KuCoin Trading Bot Will Delist The Margin Grid of DAR/USDT and ACS/USDT,KuCoin Trading Bot Will Delist The Margin Grid of DAR/USDT and ACS/USDT,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-the-margin-grid-of-dar-usdt-and-acs-usdt?lang=en_US,ACS-USDT;DAR-USDT,,ACS;DAR,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-07-01_2024-10-01_p1
131110,2024-11-05T02:24:02+00:00,KuCoin Trading Bot Will Delist The Margin Grid of QI/USDT and RPL/USDT,KuCoin Trading Bot Will Delist The Margin Grid of QI/USDT and RPL/USDT,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-the-margin-grid-of-qi-usdt-and-rpl-usdt?lang=en_US,QI-USDT;RPL-USDT,,QI;RPL,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-10-01_2025-01-01_p1
128669,2024-10-21T03:55:25+00:00,KuCoin Trading Bot Will Delist The Margin Grid of KLAY/USDT and DC/USDT,KuCoin Trading Bot Will Delist The Margin Grid of KLAY/USDT and DC/USDT,delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-the-margin-grid-of-klay-usdt-and-dc-usdt?lang=en_US,DC-USDT;KLAY-USDT,,DC;KLAY,True,HIGH_EXPLICIT_PAIR,announcement_delistings_2024-10-01_2025-01-01_p1
