pair,first_observed_probe_open,last_observed_probe_open,boundary_status,full_history_downloaded
BTT-USDT,2020-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
C98-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CAKE-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CCD-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CELO-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CELR-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CERE-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CETUS-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CFG-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CFX-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CHZ-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CKB-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
COQ-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CPOOL-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CREDI-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CRO-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CRV-USDT,2021-01-21T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CSPR-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CTC-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CTSI-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
CVX-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
