pair,first_observed_probe_open,last_observed_probe_open,boundary_status,full_history_downloaded
RATS-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
RAY-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
REEF-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
REVU-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
RLC-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ROSE-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ROUTE-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
RPL-USDT,2023-01-20T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
RSR-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
RUNE-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
RVN-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SAND-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SAROS-USDT,2024-01-19T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SATS-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SCRT-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SD-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SEI-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SENSO-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SFP-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SFUND-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SHIB-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SHR-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SIN-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SKEY-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SKL-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SLP-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SOL-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SPA-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SSV-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
STG-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
STORJ-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
STX-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SUKU-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SUN-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SUPER-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SUSHI-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SWEAT-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SWFTC-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SYN-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
SYS-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TAO-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TFUEL-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
THETA-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TIA-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TLM-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TLOS-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TOKEN-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TOWER-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TRADE-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TRB-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TRVL-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TRX-USDT,2019-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TT-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TURBOS-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
TWT-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
UMA-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
UNI-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
UOS-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
UQC-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
VAI-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
VELO-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
VERSE-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
VR-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
VSYS-USDT,2020-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
WAVES-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
WAXL-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
WELL-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
WEMIX-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
WIF-USDT,2024-01-18T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
WILD-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
WIN-USDT,2020-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
WLD-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
WOO-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XAI-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XAVA-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XCH-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XCN-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XDC-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XEM-USDT,2020-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XEN-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XMR-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XPR-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XPRT-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XRP-USDT,2019-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
XTZ-USDT,2020-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
YFI-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
YGG-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ZEC-USDT,2020-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ZEN-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ZPAY-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
