candidate_pair,classification,end_exclusive,endpoint,error,first_open_time,last_open_time,probe_stage,probe_year,quote_volume_present,raw_byte_count,raw_path,raw_payload_sha256,reason,request_id,response_code,row_count,spot_only,start,status,url
AAVE-USDT,CONFIRMED_HISTORICAL_KLINE_ONLY,2021-01-22T00:00:00+00:00,/api/v1/market/candles,,2021-01-15T00:00:00+00:00,2021-01-21T00:00:00+00:00,E1_EXISTENCE_SCAN,2021,True,653,data\research\rd18_p0a\raw\klines_e1\e1_AAVE-USDT_2021.json,3a06e6ebef47203c2e49aa9333c162d6327f1014cdd2d254e8e116b497712291,,e1_AAVE-USDT_2021,200000,7,True,2021-01-15T00:00:00+00:00,SUCCESS,https://api.kucoin.com/api/v1/market/candles?endAt=1611273600&startAt=1610668800&symbol=AAVE-USDT&type=1day
AAVE-USDT,CONFIRMED_HISTORICAL_KLINE_ONLY,2022-01-22T00:00:00+00:00,/api/v1/market/candles,,2022-01-15T00:00:00+00:00,2022-01-21T00:00:00+00:00,E1_EXISTENCE_SCAN,2022,True,670,data\research\rd18_p0a\raw\klines_e1\e1_AAVE-USDT_2022.json,865fe7ef7749d4581e27730c871bfe99be69fa60522f5bf7a396ab4b68b5390f,,e1_AAVE-USDT_2022,200000,7,True,2022-01-15T00:00:00+00:00,SUCCESS,https://api.kucoin.com/api/v1/market/candles?endAt=1642809600&startAt=1642204800&symbol=AAVE-USDT&type=1day
AAVE-USDT,CONFIRMED_HISTORICAL_KLINE_ONLY,2023-01-22T00:00:00+00:00,/api/v1/market/candles,,2023-01-15T00:00:00+00:00,2023-01-21T00:00:00+00:00,E1_EXISTENCE_SCAN,2023,True,615,data\research\rd18_p0a\raw\klines_e1\e1_AAVE-USDT_2023.json,fb983c2f29cc23f8f6a53fcf67031b31660a2e425df9752f61c99588db0967b5,,e1_AAVE-USDT_2023,200000,7,True,2023-01-15T00:00:00+00:00,SUCCESS,https://api.kucoin.com/api/v1/market/candles?endAt=1674345600&startAt=1673740800&symbol=AAVE-USDT&type=1day
AAVE-USDT,CONFIRMED_HISTORICAL_KLINE_ONLY,2024-01-22T00:00:00+00:00,/api/v1/market/candles,,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,E1_EXISTENCE_SCAN,2024,True,608,data\research\rd18_p0a\raw\klines_e1\e1_AAVE-USDT_2024.json,f0981acf7898e420c07e716c2b4b632bf62d6381a35396341bea49b0c51a1f00,,e1_AAVE-USDT_2024,200000,7,True,2024-01-15T00:00:00+00:00,SUCCESS,https://api.kucoin.com/api/v1/market/candles?endAt=1705881600&startAt=1705276800&symbol=AAVE-USDT&type=1day
ABBC-USDT,NO_HISTORICAL_KLINES_FOUND,2018-01-22T00:00:00+00:00,/api/v1/market/candles,,,,E1_EXISTENCE_SCAN,2018,False,51,data\research\rd18_p0a\raw\klines_e1\e1_ABBC-USDT_2018.json,60c8a7ca4ffde72c5aaa41b7a3622210ae7583d117471013b27b6df03bdbacce,,e1_ABBC-USDT_2018,400100,0,True,2018-01-15T00:00:00+00:00,EMPTY_VALID_RESPONSE,https://api.kucoin.com/api/v1/market/candles?endAt=1516579200&startAt=1515974400&symbol=ABBC-USDT&type=1day
ABBC-USDT,NO_HISTORICAL_KLINES_FOUND,2019-01-22T00:00:00+00:00,/api/v1/market/candles,,,,E1_EXISTENCE_SCAN,2019,False,51,data\research\rd18_p0a\raw\klines_e1\e1_ABBC-USDT_2019.json,60c8a7ca4ffde72c5aaa41b7a3622210ae7583d117471013b27b6df03bdbacce,,e1_ABBC-USDT_2019,400100,0,True,2019-01-15T00:00:00+00:00,EMPTY_VALID_RESPONSE,https://api.kucoin.com/api/v1/market/candles?endAt=1548115200&startAt=1547510400&symbol=ABBC-USDT&type=1day
ABBC-USDT,NO_HISTORICAL_KLINES_FOUND,2020-01-22T00:00:00+00:00,/api/v1/market/candles,,,,E1_EXISTENCE_SCAN,2020,False,51,data\research\rd18_p0a\raw\klines_e1\e1_ABBC-USDT_2020.json,60c8a7ca4ffde72c5aaa41b7a3622210ae7583d117471013b27b6df03bdbacce,,e1_ABBC-USDT_2020,400100,0,True,2020-01-15T00:00:00+00:00,EMPTY_VALID_RESPONSE,https://api.kucoin.com/api/v1/market/candles?endAt=1579651200&startAt=1579046400&symbol=ABBC-USDT&type=1day
ABBC-USDT,NO_HISTORICAL_KLINES_FOUND,2021-01-22T00:00:00+00:00,/api/v1/market/candles,,,,E1_EXISTENCE_SCAN,2021,False,51,data\research\rd18_p0a\raw\klines_e1\e1_ABBC-USDT_2021.json,60c8a7ca4ffde72c5aaa41b7a3622210ae7583d117471013b27b6df03bdbacce,,e1_ABBC-USDT_2021,400100,0,True,2021-01-15T00:00:00+00:00,EMPTY_VALID_RESPONSE,https://api.kucoin.com/api/v1/market/candles?endAt=1611273600&startAt=1610668800&symbol=ABBC-USDT&type=1day
ABBC-USDT,NO_HISTORICAL_KLINES_FOUND,2022-01-22T00:00:00+00:00,/api/v1/market/candles,,,,E1_EXISTENCE_SCAN,2022,False,51,data\research\rd18_p0a\raw\klines_e1\e1_ABBC-USDT_2022.json,60c8a7ca4ffde72c5aaa41b7a3622210ae7583d117471013b27b6df03bdbacce,,e1_ABBC-USDT_2022,400100,0,True,2022-01-15T00:00:00+00:00,EMPTY_VALID_RESPONSE,https://api.kucoin.com/api/v1/market/candles?endAt=1642809600&startAt=1642204800&symbol=ABBC-USDT&type=1day
ABBC-USDT,NO_HISTORICAL_KLINES_FOUND,2023-01-22T00:00:00+00:00,/api/v1/market/candles,,,,E1_EXISTENCE_SCAN,2023,False,51,data\research\rd18_p0a\raw\klines_e1\e1_ABBC-USDT_2023.json,60c8a7ca4ffde72c5aaa41b7a3622210ae7583d117471013b27b6df03bdbacce,,e1_ABBC-USDT_2023,400100,0,True,2023-01-15T00:00:00+00:00,EMPTY_VALID_RESPONSE,https://api.kucoin.com/api/v1/market/candles?endAt=1674345600&startAt=1673740800&symbol=ABBC-USDT&type=1day
ABBC-USDT,NO_HISTORICAL_KLINES_FOUND,2024-01-22T00:00:00+00:00,/api/v1/market/candles,,,,E1_EXISTENCE_SCAN,2024,False,51,data\research\rd18_p0a\raw\klines_e1\e1_ABBC-USDT_2024.json,60c8a7ca4ffde72c5aaa41b7a3622210ae7583d117471013b27b6df03bdbacce,,e1_ABBC-USDT_2024,400100,0,True,2024-01-15T00:00:00+00:00,EMPTY_VALID_RESPONSE,https://api.kucoin.com/api/v1/market/candles?endAt=1705881600&startAt=1705276800&symbol=ABBC-USDT&type=1day
ACA-USDT,NO_HISTORICAL_KLINES_FOUND,2018-01-22T00:00:00+00:00,/api/v1/market/candles,,,,E1_EXISTENCE_SCAN,2018,False,51,data\research\rd18_p0a\raw\klines_e1\e1_ACA-USDT_2018.json,60c8a7ca4ffde72c5aaa41b7a3622210ae7583d117471013b27b6df03bdbacce,,e1_ACA-USDT_2018,400100,0,True,2018-01-15T00:00:00+00:00,EMPTY_VALID_RESPONSE,https://api.kucoin.com/api/v1/market/candles?endAt=1516579200&startAt=1515974400&symbol=ACA-USDT&type=1day
