raw_candidate_code,candidate_pair,canonical_asset_id,discovery_channels,earliest_discovery_timestamp,explicit_pair_evidence,candidate_only_evidence,current_metadata_only,historical_download_catalogue,listing_evidence_count,delisting_evidence_count,identity_status,probe_status,valid_kline_observation_count,first_observed_open,last_observed_open,membership_classification
00,00-USDT,00,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN
0G,0G-USDT,0G,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN
1000BONKUP,1000BONKUP-USDT,1000BONKUP,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,SKIPPED_EXCLUDED_OR_INVALID,0,,,INVALID_OR_NON_SPOT_PRODUCT
1CAT,1CAT-USDT,1CAT,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN
1EARTH,1EARTH-USDT,1EARTH,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN
1INCH,1INCH-USDT,1INCH,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,28,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR
2CRZ,2CRZ-USDT,2CRZ,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN
2U2,2U2-USDT,2U2,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN
2Z,2Z-USDT,2Z,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN
9BIT,9BIT-USDT,9BIT,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN
A,A-USDT,,current_currency_non_causal_seed,,,True,True,False,0,0,EXCLUDED_UNMAPPED_OR_INVALID_ASSET,SKIPPED_EXCLUDED_OR_INVALID,0,,,INVALID_OR_NON_SPOT_PRODUCT
A2Z,A2Z-USDT,A2Z,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,PROBED,0,,,CURRENT_METADATA_ONLY_UNPROVEN
A47,A47-USDT,A47,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN
AA,AA-USDT,AA,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND
AAVE,AAVE-USDT,AAVE,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,28,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,CONFIRMED_HISTORICAL_SPOT_USDT_PAIR
AAVE3L,AAVE3L-USDT,AAVE3L,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN
AAVE3S,AAVE3S-USDT,AAVE3S,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN
ABBC,ABBC-USDT,ABBC,announcement_listing;current_currency_non_causal_seed,,,True,False,False,1,0,HIGH,PROBED,0,,,NO_HISTORICAL_KLINES_FOUND
ABT,ABT-USDT,ABT,current_currency_non_causal_seed,,,True,True,False,0,0,HIGH,NOT_PROBED_SAFETY_BOUND,0,,,CURRENT_METADATA_ONLY_UNPROVEN
